Date,Open,High,Low,Close
1/3/2005,39.48,39.689999,39.009998,39.150002
1/4/2005,38.98,39.060001,38.32,38.41
1/5/2005,38.599998,38.919998,38.389999,38.490002
1/6/2005,38.77,38.98,38.639999,38.709999
1/7/2005,38.689999,38.869999,38.389999,38.400002
1/10/2005,38.27,38.509998,38.049999,38.27
1/11/2005,38.099998,38.25,37.900002,37.900002
1/12/2005,38,38.029999,37.57,37.990002
1/13/2005,38,38.380001,37.709999,37.77
1/14/2005,37.779999,37.98,37.650002,37.810001
1/18/2005,37.709999,38.490002,37.52,38.400002
1/19/2005,38.009998,38.450001,37.830002,37.84
1/20/2005,37.799999,37.830002,37.110001,37.25
1/21/2005,37.25,37.490002,36.849998,36.849998
1/24/2005,36.860001,37.220001,36.759998,36.880001
1/25/2005,36.990002,37.209999,36.830002,36.860001
1/26/2005,36.799999,37,36.759998,36.830002
1/27/2005,36.619999,36.900002,36.509998,36.75
1/28/2005,36.880001,37,36.630001,37
1/31/2005,37.279999,37.400002,37.240002,37.330002
2/1/2005,37.5,37.639999,37.299999,37.5
2/2/2005,37.5,37.540001,37.380001,37.52
2/3/2005,37.470001,37.529999,37.349998,37.389999
2/4/2005,37.439999,37.740002,37.400002,37.689999
2/7/2005,37.700001,38.07,37.599998,37.970001
2/8/2005,37.919998,37.990002,37.689999,37.759998
2/9/2005,37.610001,37.740002,37.450001,37.5
2/10/2005,37.560001,37.66,37.389999,37.450001
2/11/2005,37.299999,37.580002,37.139999,37.48
2/14/2005,37.57,37.57,37.27,37.5
2/15/2005,37.669998,37.75,37.450001,37.549999
2/16/2005,37.34,37.43,37.18,37.330002
2/17/2005,37.279999,37.369999,36.779999,36.779999
2/18/2005,36.650002,36.759998,36.299999,36.509998
2/22/2005,36.509998,36.630001,35.900002,35.93
2/23/2005,36.18,36.580002,36,36.48
2/24/2005,36.52,36.889999,36.450001,36.68
2/25/2005,36.68,37.080002,36.650002,36.970001
2/28/2005,36.970001,37.02,36.52,36.549999
3/1/2005,37,37.34,36.880001,37.09
3/2/2005,37,37.419998,36.869999,36.990002
3/3/2005,37.150002,37.18,36.700001,37.009998
3/4/2005,37.25,37.790001,37.119999,37.509998
3/7/2005,37.509998,37.549999,37.310001,37.34
3/8/2005,37.23,37.279999,36.91,36.939999
3/9/2005,36.73,36.82,36.34,36.470001
3/10/2005,36.48,36.599998,36.290001,36.360001
3/11/2005,36.259998,36.380001,36,36.110001
3/14/2005,36.110001,36.490002,35.860001,36.450001
3/15/2005,36.509998,36.669998,36.189999,36.25
3/16/2005,36.25,36.400002,36.049999,36.25
3/17/2005,36.220001,36.279999,35.900002,36.150002
3/18/2005,36.16,36.25,35.82,36.009998
3/21/2005,35.880001,35.950001,35.5,35.790001
3/22/2005,36,36,34.959999,35.060001
3/23/2005,35.060001,35.290001,34.880001,34.93
3/24/2005,35.099998,35.150002,34.869999,34.93
3/28/2005,34.93,35.080002,34.73,34.849998
3/29/2005,34.650002,35.099998,34.32,34.580002
3/30/2005,34.52,34.98,34.470001,34.950001
3/31/2005,34.900002,34.93,34.529999,34.599998
4/1/2005,34.790001,35.110001,33.84,34.25
4/4/2005,33.669998,33.950001,33.349998,33.77
4/5/2005,34,34.759998,33.970001,34.580002
4/6/2005,34.75,34.91,34.619999,34.68
4/7/2005,34.75,35.099998,34.669998,34.799999
4/8/2005,34.860001,34.950001,34.5,34.5
4/11/2005,34.669998,34.810001,34.57,34.619999
4/12/2005,34.619999,35.200001,34.25,35.040001
4/13/2005,35.049999,35.09,34.5,34.57
4/14/2005,34.57,34.610001,34.189999,34.189999
4/15/2005,34.25,34.700001,33.889999,33.93
4/18/2005,34.25,34.919998,34.209999,34.639999
4/19/2005,34.73,35.16,34.68,34.950001
4/20/2005,35.630001,35.880001,34.73,34.759998
4/21/2005,35.02,35.169998,34.32,35.040001
4/22/2005,34.77,35.18,34.560001,34.869999
4/25/2005,34.98,35.200001,34.889999,35.169998
4/26/2005,35.18,35.43,35.040001,35.080002
4/27/2005,35.080002,35.75,34.970001,35.5
4/28/2005,35.299999,35.509998,35,35.02
4/29/2005,35.029999,35.5,34.919998,35.490002
5/2/2005,35.580002,35.599998,35.119999,35.57
5/3/2005,35.580002,35.82,35.27,35.5
5/4/2005,35.509998,36.169998,35.450001,36.099998
5/5/2005,36.150002,36.189999,35.52,35.900002
5/6/2005,36,36.049999,35.5,35.610001
5/9/2005,35.560001,36,35.540001,35.959999
5/10/2005,35.599998,35.619999,35,35.139999
5/11/2005,35.139999,35.439999,34.860001,35.299999
5/12/2005,35.349998,35.389999,34.630001,34.830002
5/13/2005,34.830002,34.830002,34.110001,34.459999
5/16/2005,34.59,34.919998,34.529999,34.740002
5/17/2005,34.509998,35.259998,34.5,35.209999
5/18/2005,35.599998,36.099998,35.459999,36.049999
5/19/2005,35.830002,36.299999,35.810001,36.189999
5/20/2005,36.189999,36.259998,35.91,36.060001
5/23/2005,35.900002,36,35.720001,35.91
5/24/2005,35.970001,36,35.66,35.889999
5/25/2005,35.790001,36,35.700001,35.91
5/26/2005,36.040001,36.09,35.720001,35.939999
5/27/2005,35.950001,36.040001,35.709999,35.799999
5/31/2005,35.830002,36,35.639999,35.75
6/1/2005,35.560001,36.5,35.560001,35.759998
6/2/2005,35.25,35.779999,35.009998,35.740002
6/3/2005,35.619999,35.849998,35.41,35.549999
6/6/2005,35.470001,35.59,35.200001,35.509998
6/7/2005,35.52,35.939999,35.450001,35.48
6/8/2005,35.549999,35.810001,35.48,35.669998
6/9/2005,35.52,35.700001,35.310001,35.5
6/10/2005,35.599998,35.639999,35.240002,35.43
6/13/2005,35.290001,35.759998,35.27,35.5
6/14/2005,35.450001,35.73,35.389999,35.599998
6/15/2005,35.740002,35.900002,35.610001,35.709999
6/16/2005,35.66,36.049999,35.610001,35.900002
6/17/2005,36.189999,36.200001,35.880001,36.080002
6/20/2005,35.900002,36.189999,35.799999,36.049999
6/21/2005,36.049999,36.139999,35.900002,36.040001
6/22/2005,36.200001,36.43,36.060001,36.259998
6/23/2005,36.419998,36.43,35.919998,35.93
6/24/2005,35.900002,36.029999,35.400002,35.57
6/27/2005,35.580002,35.77,35.52,35.59
6/28/2005,35.77,35.919998,35.619999,35.919998
6/29/2005,35.98,36.099998,35.880001,35.959999
6/30/2005,35.709999,36,35.32,35.32
7/1/2005,35.220001,35.299999,35.009998,35.060001
7/5/2005,35,35.279999,34.810001,34.970001
7/6/2005,35,35.150002,34.43,34.599998
7/7/2005,34.599998,34.599998,34.299999,34.459999
7/8/2005,34.610001,35.029999,34.5,34.810001
7/11/2005,34.810001,35.330002,34.75,34.959999
7/12/2005,34.959999,35.349998,34.860001,35.25
7/13/2005,35.25,35.57,35.169998,35.490002
7/14/2005,35.650002,35.860001,35.48,35.689999
7/15/2005,35.689999,35.950001,35.599998,35.860001
7/18/2005,35.669998,35.689999,35.380001,35.509998
7/19/2005,35.509998,35.709999,35.099998,35.209999
7/20/2005,35.220001,35.509998,34.84,35.16
7/21/2005,35.700001,35.700001,35,35.400002
7/22/2005,35.400002,35.599998,35.32,35.599998
7/25/2005,35.549999,35.599998,35.240002,35.439999
7/26/2005,35.639999,35.650002,35.310001,35.369999
7/27/2005,35.52,35.529999,35.07,35.349998
7/28/2005,35.360001,35.490002,35.18,35.459999
7/29/2005,35.450001,35.450001,35.110001,35.139999
8/1/2005,35.32,35.439999,35.150002,35.299999
8/2/2005,35.470001,35.639999,35.299999,35.549999
8/3/2005,35.560001,35.650002,35.419998,35.610001
8/4/2005,35.419998,35.52,35.349998,35.459999
