Date,Open,High,Low,Close
1/3/2005,418.149994,436.725006,418.149994,433.049988
1/4/2005,421.174988,433.950012,420.25,423.149994
1/5/2005,418,422.875,406,410.975006
1/6/2005,410,412,397.325012,399.549988
1/7/2005,407.5,407.5,397.5,405.424988
1/10/2005,416.450012,416.450012,395,396.649994
1/11/2005,396.049988,399.5,378.25,382.149994
1/12/2005,386.5,386.5,361,365.774994
1/13/2005,363.5,379.399994,363.5,374.674988
1/14/2005,377,377.049988,368,371.674988
1/17/2005,370.024994,375.25,358,364.225006
1/18/2005,374.450012,374.450012,353.549988,356.174988
1/19/2005,355.024994,360.5,354.024994,354.700012
1/20/2005,355.950012,363.450012,351.5,359.950012
1/24/2005,360,367.600006,360,364.600006
1/25/2005,365,366,361,364.575012
1/27/2005,365.024994,372.5,361.25,365.575012
1/28/2005,367,373.5,365.625,371.5
1/31/2005,367.5,384.375,365.575012,368.225006
2/1/2005,359,359,345,355.225006
2/2/2005,356.5,359.924988,353,354.700012
2/3/2005,359.924988,372.5,349.049988,355.549988
2/4/2005,358.899994,367.950012,356.25,366.149994
2/7/2005,365,369,361,363.524994
2/8/2005,364,368.5,363.5,366.899994
2/9/2005,370,370,367.5,369.299988
2/10/2005,369,374.5,367.549988,370.850006
2/11/2005,372.325012,373.5,369.549988,372.25
2/14/2005,372.25,377,370.049988,373.024994
2/15/2005,374.5,379.899994,370.049988,376.375
2/16/2005,376.5,377.5,371.5,372.875
2/17/2005,370.5,374,370,370.524994
2/18/2005,371.5,371.950012,358.549988,360
2/21/2005,363.5,366.5,359.549988,360.799988
2/22/2005,360.5,364,357.5,361.75
2/23/2005,361.75,364.975006,357.524994,364.299988
2/24/2005,364,366,359,359.899994
2/25/2005,365,365,354.5,355.325012
2/28/2005,355.524994,361.25,355.524994,360.149994
3/1/2005,360.5,365,357.5,362.274994
3/2/2005,360.5,364.450012,359.549988,362.200012
3/3/2005,361,364.5,359.100006,360.950012
3/4/2005,362.5,366.899994,361.024994,362.450012
3/7/2005,364.424988,365,359.5,362.075012
3/8/2005,364,375.299988,362.5,372.5
3/9/2005,370.5,379.450012,365,375.75
3/10/2005,375.75,383.5,373.75,379.075012
3/11/2005,379.125,383.5,370.125,371.924988
3/14/2005,371.924988,375.975006,369.049988,370.774994
3/15/2005,368.075012,381,367,376.825012
3/16/2005,376,382.700012,376,378.375
3/17/2005,377,378.5,371.25,373.850006
3/18/2005,373,373.75,358,359.375
3/21/2005,362.450012,365.5,352.524994,361.674988
3/22/2005,356,368.524994,356,365.424988
3/23/2005,365.5,385,365.024994,376.975006
3/24/2005,376.5,379.850006,370.149994,375.625
3/28/2005,385.049988,389,378.549988,386.274994
3/29/2005,388.049988,389,368.200012,371
3/30/2005,372,377.5,362.5,372.799988
3/31/2005,375,379.149994,365.75,369.575012
4/1/2005,372.450012,373.5,370,371.75
4/4/2005,372.5,377.450012,371.024994,372.25
4/5/2005,374,377.950012,371,373.274994
4/6/2005,375,377.5,372.524994,373.875
