Date,Open,High,Low,Close
1/3/2005,375.5,391,375.5,384.375
1/4/2005,377.5,385.149994,377.5,381.575012
1/5/2005,377.549988,386,366.375,371.225006
1/6/2005,363.5,370,356.024994,360.399994
1/7/2005,360.5,367.299988,357.5,358.725006
1/10/2005,357.75,357.950012,350.049988,353.049988
1/11/2005,353,357,350.149994,352.274994
1/12/2005,350,351.899994,340.549988,343.350006
1/13/2005,345,351.25,341.174988,349.424988
1/14/2005,349,351,337.25,340.774994
1/17/2005,340,345.5,339.5,342.350006
1/18/2005,397.5,397.5,334,339.825012
1/19/2005,337.524994,349.225006,333.5,334.899994
1/20/2005,336,347.5,332.5,337.200012
1/24/2005,343.5,343.5,337.5,339.975006
1/25/2005,337.5,340,335,337.899994
1/27/2005,365.5,365.5,333.5,334.774994
1/28/2005,340.450012,347.350006,335.524994,345.975006
1/31/2005,347.5,357.5,347.5,352.75
2/1/2005,352,356.975006,343,348.725006
2/2/2005,349.5,349.75,337.725006,341.924988
2/3/2005,340,345,338.549988,343.975006
2/4/2005,341.25,346.950012,341.25,343.450012
2/7/2005,344.5,345.950012,337.5,342.700012
2/8/2005,348.5,348.5,337.649994,343.875
2/9/2005,340.049988,347.5,335.049988,336.850006
2/10/2005,339.049988,345.75,336,339.100006
2/11/2005,336.149994,345,336.149994,340.475006
2/14/2005,343.899994,347.375,341.149994,343.850006
2/15/2005,352,357,341,351.475006
2/16/2005,361.5,369.5,349.575012,351.774994
2/17/2005,351,353.475006,346,351.875
2/18/2005,354.975006,357,351.25,355.975006
2/21/2005,369.5,369.5,353.5,363
2/22/2005,362.5,365.700012,359.450012,365.075012
2/23/2005,367.5,373.75,360.100006,372.674988
2/24/2005,373.5,382.5,373,378.700012
2/25/2005,383.899994,383.899994,366,368.975006
2/28/2005,370.5,372.299988,362,368.375
3/1/2005,370,372.950012,360.5,364.725006
3/2/2005,363.5,375,363.5,374.299988
3/3/2005,373,379,370.524994,374
3/4/2005,373.5,378,369.125,371.399994
3/7/2005,370.149994,374.899994,367.649994,370.475006
3/8/2005,386.5,387,372.5,374.200012
3/9/2005,379.450012,379.450012,368.075012,374.475006
3/10/2005,376.975006,384.5,373.5,381.774994
3/11/2005,384.774994,385.799988,378.25,379.450012
3/14/2005,385,387.5,380.299988,384.549988
3/15/2005,385,392,382.5,385.049988
3/16/2005,382,382,373,374.825012
3/17/2005,375,376,364,365.475006
3/18/2005,365.5,366,358.174988,360.774994
3/21/2005,363.049988,365.5,359.174988,364.475006
3/22/2005,362.5,365.5,357.5,360.649994
3/23/2005,351.024994,363.899994,347.5,349.975006
3/24/2005,347.5,352.5,346.225006,349.25
3/28/2005,350.75,351.75,344.5,347.649994
3/29/2005,342.5,357,342.5,350.950012
3/30/2005,352,353.375,348,350.424988
3/31/2005,355.024994,361.950012,352.049988,359.475006
4/1/2005,362.5,364.5,355,362.5
4/4/2005,358.024994,362.5,354.600006,355.100006
4/5/2005,355.5,357.5,347.75,349.5
4/6/2005,349,354.399994,348.149994,352.899994
4/7/2005,353.5,356.875,350,353.299988
4/8/2005,353.5,355.5,351,351.875
4/11/2005,351.049988,351.399994,347.5,350.075012
4/12/2005,350.100006,354.475006,350,350.524994
4/13/2005,350.049988,359,350,358.475006
4/15/2005,356,360,351.299988,358.049988
4/18/2005,353.5,366.5,351.524994,358.649994
4/19/2005,356.75,361.5,352.149994,355.325012
4/20/2005,355,357.450012,354,355.024994
4/21/2005,355,357.200012,354.024994,355.075012
4/22/2005,353,365.274994,353,363.25
4/25/2005,369.5,369.5,358.75,361.350006
4/26/2005,371.899994,372.200012,356.600006,359
4/27/2005,360,361.475006,355.5,356.950012
4/28/2005,353.125,365.625,353.125,364.375
4/29/2005,361.049988,362.5,355,356.549988
5/2/2005,346.049988,370.899994,346.049988,364.625
5/3/2005,366.325012,369,364,365.450012
5/4/2005,369,369,361.5,365.350006
5/5/2005,368.975006,372,365.125,367.100006
5/6/2005,367,371,367,369.524994
5/9/2005,372.825012,374,367.75,372.299988
5/10/2005,369.5,373.25,369.049988,371.350006
5/11/2005,371.5,374,370.075012,373.125
5/12/2005,372,376.149994,371.975006,375.125
5/13/2005,372.5,376.299988,372,374.975006
5/16/2005,372.5,377.450012,372,373.700012
5/17/2005,372,374.899994,360.674988,363.799988
5/18/2005,370,370,357.549988,362.674988
5/19/2005,357.75,370,357.75,367.549988
5/20/2005,365.024994,370.299988,365.024994,369.899994
5/23/2005,366.575012,372.399994,366.575012,371.375
5/24/2005,374.975006,394.5,366,370.725006
5/25/2005,372.5,377.5,368.524994,375.225006
5/26/2005,370.924988,378.5,370.924988,377.625
5/27/2005,380.5,380.725006,374.5,375
5/30/2005,379.5,390,371.774994,375.299988
5/31/2005,371.274994,380.975006,371.274994,379.149994
6/1/2005,371.774994,386.200012,371.774994,385.424988
6/2/2005,385,400.5,385,389.899994
6/3/2005,390,391.924988,386.549988,387.799988
6/6/2005,378.5,392,378.5,383.799988
6/7/2005,393.5,393.5,380,382.600006
6/8/2005,382.75,389.5,381,387.600006
6/9/2005,394.399994,394.399994,381.149994,384.899994
6/10/2005,394.5,394.5,375.5,383.549988
6/13/2005,378.25,387.5,378.25,386.649994
6/14/2005,382.5,387,382,385.399994
6/15/2005,384.5,388,383,387.5
6/16/2005,389.899994,389.899994,382.075012,387.700012
6/17/2005,381,392.5,380.625,391.5
6/20/2005,386.524994,397.5,386.5,393.424988
6/21/2005,390.5,395,390,390.399994
6/22/2005,390,397.75,390,396.149994
6/23/2005,398,398,385.274994,391.299988
6/24/2005,391.5,399.475006,391.5,395.575012
6/27/2005,388,397.5,388,394
6/28/2005,394.524994,394.725006,390,391.825012
6/29/2005,390.725006,399.399994,390.549988,395.274994
6/30/2005,395.5,405,395.5,402.325012
7/1/2005,404,431,401.725006,428.5
7/4/2005,429,437.5,423.700012,430.575012
7/5/2005,425,430,412.024994,414.325012
7/6/2005,410.024994,426.5,410,423.700012
7/7/2005,418.25,425.825012,407.5,413.549988
7/8/2005,423.5,423.5,411,417.024994
7/11/2005,415.225006,431.450012,414.075012,428.475006
