Date,Open,High,Low,Close
1/3/2005,698.450012,714.549988,692.5,710.650024
1/4/2005,749.799988,769.849976,711,720.299988
1/5/2005,701.25,729.950012,690,716.200012
1/6/2005,694,746.450012,694,736.349976
1/7/2005,740,760,736.349976,754.400024
1/10/2005,750,760,735,747.950012
1/11/2005,715,741,715,731.299988
1/12/2005,710,730,700,712.299988
1/13/2005,720,729.799988,701.25,723.900024
1/14/2005,720,730,710,720.25
1/17/2005,714.950012,714.950012,683.099976,689.950012
1/18/2005,687,699.900024,665,671.049988
1/19/2005,671.049988,687.900024,670,684.349976
1/20/2005,685.900024,690,670.099976,688.049988
1/24/2005,693.75,693.75,660,675.650024
1/25/2005,675,675,652.150024,660.950012
1/27/2005,665,672.5,661.049988,664.400024
1/28/2005,669.700012,680,667.549988,669.25
1/31/2005,675,692.5,669.5,674.200012
2/1/2005,675,678.700012,660.049988,671.599976
2/2/2005,671.599976,679.950012,670,673.349976
2/3/2005,674,699.950012,674,694.849976
2/4/2005,700,739,685.099976,691.25
2/7/2005,707.799988,707.799988,685,687.5
2/8/2005,694.950012,694.950012,676,681.549988
2/9/2005,700,700,678.049988,680.950012
2/10/2005,689.849976,694.900024,675.200012,682.450012
2/11/2005,680,695.900024,677,689.799988
2/14/2005,695,698.950012,680,681.349976
2/15/2005,696.900024,696.900024,682.5,688.599976
2/16/2005,701.700012,701.700012,676.049988,679.799988
2/17/2005,681,687.950012,672,679.200012
2/18/2005,687,687,660.099976,667.049988
2/21/2005,676,679,655,657.700012
2/22/2005,655,664.900024,655,658.099976
2/23/2005,660.5,664,656.799988,658.549988
2/24/2005,664,674,660,666.299988
2/25/2005,665,680,641.5,649.75
2/28/2005,660,664.900024,653,661.900024
3/1/2005,660,667,660,664.650024
3/2/2005,664.950012,680.400024,661.75,675.25
3/3/2005,680,688,675,684.5
3/4/2005,641.099976,688,641.099976,682.849976
3/7/2005,667,689,666.799988,687.349976
3/8/2005,692,695.650024,686,693.200012
3/9/2005,696,717,693.049988,714.150024
3/10/2005,744.799988,745,715,730.299988
3/11/2005,735,739,729,736.150024
3/14/2005,735,736,721.099976,731.150024
3/15/2005,740,740,720,725.650024
3/16/2005,730,730,720.299988,725.25
3/17/2005,724,725.099976,707.5,711.5
3/18/2005,706,709.849976,671,679.200012
3/21/2005,692,700,685,692.450012
3/22/2005,703,703,684.099976,688
3/23/2005,688,694.650024,678,684.099976
3/24/2005,688,691.900024,670.049988,680.849976
3/28/2005,682,685,673.099976,674.950012
3/29/2005,675,675,660,665.200012
3/30/2005,665.049988,740,659,694.650024
3/31/2005,715,722,695.049988,716.349976
4/1/2005,718.5,725,703,713.950012
4/4/2005,711.549988,719.950012,705.049988,712
4/5/2005,705.200012,710,700,701.150024
4/6/2005,709,710.5,703.5,706.200012
4/7/2005,709,709.299988,698,700.650024
4/8/2005,709.950012,709.950012,692.5,694.049988
4/11/2005,681,734,662,690.200012
4/12/2005,689,698.900024,689,693.5
4/13/2005,681.049988,695,681.049988,689.5
4/15/2005,699.900024,710,678.299988,701
4/18/2005,702,702,662.349976,695.599976
4/19/2005,704.450012,704.450012,687.200012,696.950012
4/20/2005,686,690.150024,663,686.450012
4/21/2005,667,690,665.099976,687
4/22/2005,690,705,690,700.349976
4/25/2005,695.049988,715,695.049988,711.849976
4/26/2005,711,719.900024,702,712.799988
4/27/2005,692,718,690,693.950012
4/28/2005,696,704.599976,690.099976,700.599976
4/29/2005,692.5,702.900024,692.5,700.450012
5/2/2005,700,715.950012,700,710.450012
5/3/2005,714.799988,716,710,710.099976
5/4/2005,720,720,705.400024,715.049988
5/5/2005,715,720,713.25,717.849976
5/6/2005,710.5,720.5,701.150024,719.799988
5/9/2005,681.099976,734,681.099976,725.650024
5/10/2005,726,732.950012,725,729.549988
5/11/2005,725,740,725,736.099976
5/12/2005,738,740,712,720
5/13/2005,720,739.950012,720,736.400024
5/16/2005,722.049988,736,722.049988,729.549988
5/17/2005,734.400024,736.200012,720.549988,724.049988
5/18/2005,734,735,723,733.349976
5/19/2005,735.75,735.75,730.099976,732.599976
5/20/2005,730,734.799988,720.200012,723.900024
5/23/2005,744.900024,744.900024,715.25,728
5/24/2005,722,729,720,720.549988
5/25/2005,735,739,718.450012,733.299988
5/26/2005,725,751.950012,725,742.049988
5/27/2005,746,749,737,741.700012
5/30/2005,740,760,720,723.5
5/31/2005,720,757.900024,720,753.349976
6/1/2005,745,751,742.099976,747.650024
6/2/2005,750,750,721.25,745.099976
6/3/2005,748,748,737.5,741.950012
6/6/2005,753,753,725.299988,728.75
6/7/2005,747,752.900024,701.099976,746.049988
6/8/2005,751,751,742,746.75
6/9/2005,750,750,739,742.349976
6/10/2005,739.950012,747,737.5,740.400024
6/13/2005,741,749.099976,741,745.25
6/14/2005,759,759,735.049988,740.650024
6/15/2005,743,747,742,745.099976
6/16/2005,752,752.450012,738,744.299988
6/17/2005,753.349976,753.349976,730.049988,731.25
6/20/2005,759.200012,759.200012,730.099976,741.549988
6/21/2005,745,745,735.150024,741.900024
6/22/2005,733,749.200012,726.049988,729.5
6/23/2005,730,738.950012,728,731.650024
6/24/2005,730,745,702.049988,740.099976
6/27/2005,745,759,735.200012,746.150024
6/28/2005,763,789.900024,752,765.299988
6/29/2005,760.049988,774.799988,741.200012,763.299988
6/30/2005,763.299988,800,763.299988,796.599976
7/1/2005,796.599976,840,785.049988,839.549988
7/4/2005,838,853.950012,838,845.650024
7/5/2005,845,845,820.049988,825.700012
7/6/2005,824.200012,839.900024,824.200012,830.450012
7/7/2005,835,835,815,820
7/8/2005,800.049988,829.5,800.049988,818.900024
7/11/2005,820,839.900024,810,816.900024
7/12/2005,811,852.799988,811,842.049988
7/13/2005,843,868.900024,842,850.849976
7/14/2005,852,860.5,850,852.75
7/15/2005,858.950012,865,850.25,858.25
7/18/2005,851.5,867,851.5,858.75
7/19/2005,857,865,855,860.049988
7/20/2005,831.299988,867.700012,831.299988,860
7/21/2005,860,860,821.049988,841.099976
7/22/2005,869.700012,869.700012,831,841.25
7/25/2005,828.299988,841.950012,828.299988,840.200012
7/26/2005,831,845,830.049988,841.549988
7/27/2005,817,848.75,817,832.099976
7/28/2005,850.849976,850.849976,850.849976,850.849976
7/29/2005,831.200012,844.900024,742,811.049988
8/1/2005,806,823.950012,805,819.400024
8/2/2005,839,839,830,831.650024
8/3/2005,802,842.950012,802,835.349976
8/4/2005,825.299988,855,823,845.650024
8/5/2005,840,844.849976,822.099976,827.75
8/8/2005,762.650024,835,762.650024,819.349976
8/9/2005,848,848,770.25,785.900024
8/10/2005,786,817,786,811.849976
8/11/2005,821.400024,860,807.049988,837.75
8/12/2005,840,860,822.549988,850.75
8/16/2005,869.799988,870,840,844.700012
8/17/2005,845,850,831.049988,832.450012
8/18/2005,850.049988,850.049988,822.75,827.650024
8/19/2005,832,846.75,815,816.900024
8/22/2005,820,829.400024,800,806.200012
8/23/2005,806,820,795,797.900024
8/24/2005,794,800,771,778.950012
8/25/2005,817.900024,817.900024,780,790.849976
8/26/2005,855.200012,855.200012,775.049988,805.25
8/29/2005,800,803.700012,790,800.25
8/30/2005,805,805,789,800.299988
8/31/2005,791.049988,945,791.049988,810.450012
9/1/2005,824,825,802.150024,803.5
9/2/2005,840,840,794,798.599976
9/5/2005,800,806,791.099976,799.950012
9/6/2005,796.150024,804.950012,795.049988,796.150024
9/8/2005,790,801,790,798.75
9/9/2005,802.950012,802.950012,790,791.549988
9/12/2005,814.25,814.950012,790,792.650024
9/13/2005,788,790,780,784.150024
9/14/2005,808.5,808.5,782,783.799988
9/15/2005,792.5,792.5,775.400024,779.799988
9/16/2005,780,795,774,781.349976
9/19/2005,783,783,775,780.299988
9/20/2005,778,785,759.549988,780.549988
9/21/2005,770,797,756,775.099976
9/22/2005,771,785,771,775.099976
9/23/2005,775,782,771,776.400024
9/26/2005,785,801,775,796.200012
9/27/2005,809.599976,828,799.950012,803.450012
9/28/2005,805,811.5,747.299988,800.299988
9/29/2005,790,808.950012,771,776.150024
9/30/2005,786,824.950012,777.099976,816.5
10/3/2005,820,864.849976,805.099976,842.400024
10/4/2005,842.400024,855,835,844.950012
10/5/2005,844,844,825.099976,835.75
10/6/2005,820,831.549988,815,818.299988
10/7/2005,820,822.450012,811,815.5
10/10/2005,815,830,808,809.049988
10/11/2005,815,815,798,800.400024
10/13/2005,829,859,802.5,814.400024
10/14/2005,816,816,795.150024,797.849976
10/17/2005,795,801,786.049988,790.650024
10/18/2005,792,825,785,786.450012
10/19/2005,756,790,756,775.450012
10/20/2005,776,789.900024,770,771.049988
10/21/2005,750,779,745,776.599976
10/24/2005,788,789,772.5,775.400024
