Date,Open,High,Low,Close
1/3/2005,51.605,52.779999,51.605,52.525002
1/4/2005,52.505001,53.099998,50.5,51.945
1/5/2005,52,52,48.700001,50.005001
1/6/2005,50.005001,50.98,47.900002,48.514999
1/7/2005,48.799999,49.375,48.450001,49.025002
1/10/2005,50,50.799999,48.525002,48.974998
1/11/2005,49,49.174999,48,48.34
1/12/2005,48.34,48.689999,47.509998,48.095001
1/13/2005,48,50.799999,48,49.889999
1/14/2005,49.900002,52.200001,49.224998,51.494999
1/17/2005,52,52.900002,50.814999,52.005001
1/18/2005,52.790001,52.790001,50,51.355
1/19/2005,51.77,52.5,50.955002,51.889999
1/20/2005,51.099998,52.099998,50,51.134998
1/24/2005,51.389999,51.389999,48.599998,49.134998
1/25/2005,52.5,53.939999,49.209999,52.060001
1/27/2005,52.224998,54.799999,51.799999,53.764999
1/28/2005,53.764999,54.880001,52.724998,53.985001
1/31/2005,53.650002,57,53.5,56.459999
2/1/2005,56.599998,56.875,55.025002,56.014999
2/2/2005,56.494999,56.494999,55.299999,55.860001
2/3/2005,55.900002,57.5,55.700001,57.349998
2/4/2005,57,57.900002,56.305,56.715
2/7/2005,56.525002,57.5,55.205002,56.174999
2/8/2005,55.799999,57.5,55.705002,57.044998
2/9/2005,57.200001,58.990002,57,58.810001
2/10/2005,59,59,57.509998,57.950001
2/11/2005,57.994999,57.994999,56.799999,57.5
2/14/2005,56.240002,57.825001,56.240002,56.865002
2/15/2005,57.5,57.799999,56.009998,56.25
2/16/2005,56.5,57.299999,55.700001,56.200001
2/17/2005,56,56.360001,55.509998,55.830002
2/18/2005,56.195,56.700001,56,56.419998
2/21/2005,56.889999,56.889999,55.424999,56.049999
2/22/2005,55.599998,56.5,55.599998,56.060001
2/23/2005,56,56.080002,55.41,55.810001
2/24/2005,56.375,57.825001,55.904999,57.599998
2/25/2005,57.595001,57.595001,56.209999,57.014999
2/28/2005,57.685001,59.985001,57.125,58.73
3/1/2005,58.700001,58.700001,57.314999,57.755001
3/2/2005,58.200001,58.200001,57,57.674999
3/3/2005,57.990002,58,57.43,57.610001
3/4/2005,57.900002,59.68,57.715,58.59
3/7/2005,59.200001,60.5,58.900002,60.115002
3/8/2005,60.299999,62.5,60.299999,61.419998
3/9/2005,61.895,62.5,61.025002,62.415001
3/10/2005,62.014999,62.860001,61.224998,61.540001
3/11/2005,62,62,60.615002,60.970001
3/14/2005,60.970001,61.200001,60.099998,60.27
3/15/2005,60.290001,60.290001,58.200001,59.389999
3/16/2005,59.490002,60.400002,58.400002,59.415001
3/17/2005,59.299999,59.299999,57.099998,57.240002
3/18/2005,57.200001,57.395,56.209999,56.59
3/21/2005,56.990002,57,55.599998,55.919998
3/22/2005,55.005001,55.599998,54.555,55.174999
3/23/2005,55,55,52.299999,53.165001
3/24/2005,60.400002,60.400002,50.799999,51.945
3/28/2005,52.900002,53.98,52.645,53.294998
3/29/2005,53.400002,54.5,52.505001,53.695
3/30/2005,53.5,53.790001,52.605,53.325001
3/31/2005,53.889999,54.990002,53.52,54.485001
4/1/2005,54.599998,55.700001,54.099998,55.154999
4/4/2005,55.200001,55.389999,54.025002,55.220001
4/5/2005,55.700001,56.200001,53.705002,53.994999
4/6/2005,53.625,55.700001,53.625,55.334999
4/7/2005,56,56.695,55.849998,56.314999
4/8/2005,56.395,56.5,53.799999,54.665001
4/11/2005,56.779999,56.779999,54.505001,55.705002
4/12/2005,55.900002,55.994999,55,55.849998
4/13/2005,56.5,57.349998,55.700001,56.145
4/15/2005,56.099998,56.169998,53.299999,53.855
4/18/2005,53.439999,53.439999,51.610001,52.035
4/19/2005,53,53.5,52.654999,53.130001
4/20/2005,52.224998,54.599998,52.224998,54.075001
4/21/2005,63.224998,63.224998,52.5,54.575001
4/22/2005,56.290001,56.290001,53.52,54.02
4/25/2005,54.5,54.5,53.514999,54
4/26/2005,54.09,54.369999,53.630001,53.865002
4/27/2005,53.105,54.080002,53.105,53.744999
4/28/2005,53.700001,54.400002,52.525002,53.985001
4/29/2005,53.639999,54.025002,52.299999,53.5
5/2/2005,53.5,54.025002,53.5,53.974998
5/3/2005,53.900002,54.189999,53.705002,54.029999
5/4/2005,53.445,54,53.25,53.915001
5/5/2005,54.400002,55.490002,54.400002,54.654999
5/6/2005,54.674999,54.674999,53.650002,54.095001
5/9/2005,44.799999,55.48,44.799999,54.025002
5/10/2005,54.009998,54.494999,53.5,54.075001
5/11/2005,53.375,53.700001,52.799999,53.5
5/12/2005,53.5,53.990002,52.715,52.935001
5/13/2005,52.700001,53.549999,52.700001,53.299999
5/16/2005,53.900002,54.200001,53.450001,53.959999
5/17/2005,55.48,55.48,53.5,53.68
5/18/2005,53.689999,53.700001,52.849998,53.494999
5/19/2005,54.48,54.5,53.900002,54.310001
5/20/2005,53.610001,54.395,53.599998,53.764999
5/23/2005,53.799999,55.25,53.799999,54.994999
5/24/2005,55.009998,55.384998,53.5,54.650002
5/25/2005,54.720001,54.720001,53.715,54.025002
5/26/2005,54.080002,54.485001,53.035,53.794998
5/27/2005,53.849998,54.369999,53.605,54.064999
5/30/2005,53.82,54.200001,53.299999,54.02
5/31/2005,54.400002,54.400002,53.400002,53.955002
6/1/2005,54.150002,54.25,53.400002,53.595001
6/2/2005,54.200001,54.314999,53.625,53.974998
6/3/2005,54,54.700001,53.549999,54.580002
6/6/2005,54.349998,55.700001,54.115002,55.325001
6/7/2005,55.325001,59.994999,54.799999,58.834999
6/8/2005,59.200001,59.48,58.200001,58.584999
6/9/2005,58.799999,58.849998,57.5,57.91
6/10/2005,58,58.900002,57,57.630001
6/13/2005,58.400002,58.5,56.82,58.23
6/14/2005,58.400002,59.490002,58.200001,59.349998
6/15/2005,60.709999,60.709999,58,59.115002
6/16/2005,59.200001,59.900002,59,59.544998
6/17/2005,60,60.099998,58.799999,59.715
6/20/2005,59.974998,60,59.310001,59.860001
6/21/2005,59.549999,60.5,59.215,60.259998
6/22/2005,60.389999,60.389999,58.505001,59.005001
6/23/2005,59.84,59.84,57.5,58.055
6/24/2005,58.5,58.735001,57.310001,58.244999
6/27/2005,58,60.34,58,59.965
6/28/2005,59.785,59.785,58.224998,59
6/29/2005,59.470001,60.990002,59,60.16
6/30/2005,60.16,64.294998,60.16,63.605
7/1/2005,61.625,62.5,61.299999,61.805
7/4/2005,62.294998,63.5,62,63.195
7/5/2005,61.224998,63.990002,53.790001,63.310001
7/6/2005,63.299999,65,62.720001,64.654999
7/7/2005,64.510002,66.199997,63.400002,64.055
7/8/2005,64.400002,65.400002,64.224998,65.18
7/11/2005,65.550003,66.900002,65.5,66.394997
7/12/2005,66.300003,67,64.815002,65.805
7/13/2005,65.800003,65.800003,63.700001,64.285004
7/14/2005,64.285004,65.5,62.900002,64.519997
7/15/2005,64.5,64.5,62.709999,63.060001
7/18/2005,63.299999,63.799999,62.400002,62.775002
7/19/2005,63.5,64,63.139999,63.974998
7/20/2005,64.300003,67.5,63.650002,64.139999
7/21/2005,64.489998,64.885002,61.224998,64.160004
7/22/2005,63.700001,64.980003,61.325001,64.849998
7/25/2005,64.769997,69.5,64.769997,67.464996
7/26/2005,67.5,68.800003,67.400002,67.824997
7/27/2005,68,71.599998,66.735001,70.519997
7/28/2005,null,null,null,null
7/29/2005,70,73,68.004997,69.945
8/1/2005,68.989998,69.599998,67,67.650002
8/2/2005,68,68.195,66.550003,66.900002
8/3/2005,67.110001,68.900002,67,67.675003
8/4/2005,74,74,67.699997,68.449997
8/5/2005,68.690002,69,67.110001,67.415001
8/8/2005,76.5,76.5,65.114998,65.775002
8/9/2005,64.5,66.459999,64.5,65.43
8/10/2005,67.5,67.5,65.525002,66.025002
8/11/2005,66.75,67.199997,65.5,66.114998
8/12/2005,65.099998,67,65.099998,66.019997
8/16/2005,66.800003,66.800003,64.300003,64.720001
8/17/2005,64.900002,66.800003,64.900002,65.610001
8/18/2005,66.809998,66.809998,65.620003,66.300003
8/19/2005,65.800003,66.400002,65.514999,65.885002
8/22/2005,67.290001,67.290001,65.300003,65.760002
8/23/2005,65,66.389999,62.990002,64.860001
8/24/2005,64.5,65.800003,62.935001,65.160004
8/25/2005,64.989998,65.199997,63.834999,64.945
8/26/2005,65.900002,66.389999,63.035,63.470001
8/29/2005,64.300003,64.699997,62.825001,63.880001
8/30/2005,63.5,64.995003,63.5,64.660004
8/31/2005,64.900002,64.995003,63.205002,64.025002
9/1/2005,64.964996,64.964996,62.924999,63.185001
9/2/2005,63.099998,64.044998,63.099998,63.630001
9/5/2005,63.610001,64.400002,63.610001,64.019997
9/6/2005,64.099998,64.400002,63.555,64.25
9/8/2005,64.400002,65.699997,64,65.584999
9/9/2005,65.699997,68,65.209999,67.605003
9/12/2005,67.599998,67.995003,66.099998,67.735001
9/13/2005,67.5,69,66.605003,68.724998
9/14/2005,68.300003,69.199997,67.620003,68.794998
9/15/2005,68.800003,69.300003,68.614998,69.224998
9/16/2005,69.800003,69.800003,68.629997,69.235001
9/19/2005,69.699997,71.485001,69.699997,70.839996
9/20/2005,70.300003,74,70.300003,73.235001
9/21/2005,73.029999,73.555,71.110001,72.459999
9/22/2005,72,72.044998,68.449997,69.18
9/23/2005,69.190002,69.190002,66.099998,66.995003
9/26/2005,67,68.004997,66.540001,67.919998
9/27/2005,68,69.599998,67.519997,68.224998
9/28/2005,69,70.394997,68.300003,69.599998
9/29/2005,69.790001,70.699997,68.014999,69.599998
9/30/2005,69.970001,69.970001,63.224998,68.514999
10/3/2005,68.514999,69.480003,67.43,67.665001
10/4/2005,69,71.5,69,70.989998
10/5/2005,70.110001,71.449997,69.714996,70.264999
10/6/2005,69.480003,69.485001,67,68.205002
10/7/2005,67.900002,68.339996,66.5,67.855003
10/10/2005,69.25,69.25,68,68.824997
10/11/2005,69.790001,69.790001,67.135002,68.980003
10/13/2005,68.150002,68.790001,67.504997,67.790001
10/14/2005,67.199997,67.199997,65.5,65.940002
10/17/2005,66.5,66.5,64.099998,65.440002
10/18/2005,65.900002,66.974998,65.5,65.775002
10/19/2005,64.349998,66,63.200001,64.764999
10/20/2005,65.099998,65.300003,64.010002,64.389999
10/21/2005,66,66,64.199997,64.764999
10/24/2005,65.269997,65.269997,62.825001,63.549999
10/25/2005,64.449997,64.449997,62.224998,63.064999
10/26/2005,64,64,62.700001,63.009998
10/27/2005,63.099998,63.290001,62.02,62.459999
10/28/2005,62.200001,62.200001,60.299999,61.095001
10/31/2005,61.23,62.599998,60.400002,60.665001
11/2/2005,61.549999,64.980003,61.549999,62.07
11/4/2005,null,null,null,null
11/7/2005,62.5,63.5,61.610001,62.525002
11/8/2005,63.494999,64.099998,62.830002,63.799999
11/9/2005,64.300003,64.794998,62.395,63.189999
11/10/2005,63.099998,63.5,62.404999,63.084999
11/11/2005,63.084999,64,62.724998,63.52
11/14/2005,64.699997,68.199997,64.199997,67.574997
11/16/2005,67.5,70,67.205002,68.995003
11/17/2005,69.5,70.004997,69.025002,69.885002
11/18/2005,70,70.699997,69.610001,69.934998
11/21/2005,69.934998,69.934998,67.599998,67.964996
11/22/2005,68.300003,69.190002,67.415001,67.75
11/23/2005,67.900002,69.5,67.599998,68.949997
11/24/2005,70.400002,70.400002,68.599998,69.110001
11/25/2005,69.300003,69.879997,69.125,69.764999
11/28/2005,69.900002,70.400002,69.199997,69.57
11/29/2005,69.68,69.68,68.025002,68.489998
11/30/2005,68.599998,70.199997,68.105003,68.690002
12/1/2005,68.709999,70.010002,67.650002,69.675003
12/2/2005,70,71.389999,69.5,69.870003
12/5/2005,70,70.099998,68.5,68.739998
12/6/2005,68.199997,69.389999,67.705002,68.095001
12/7/2005,68.105003,69.779999,68.099998,69.400002
12/8/2005,69.400002,69.650002,68.660004,68.824997
12/9/2005,69,69.480003,68,68.800003
12/12/2005,69.300003,70.099998,68.404999,68.754997
12/13/2005,69.400002,70.400002,68.529999,69.480003
12/14/2005,69.699997,72.300003,69.629997,71.860001
12/15/2005,72.400002,73.400002,70.089996,70.389999
12/16/2005,70.150002,70.970001,68.809998,70.084999
12/19/2005,70.699997,71.495003,69.699997,71.160004
12/20/2005,71.25,74.099998,71.099998,73.544998
12/21/2005,74.440002,74.800003,72.120003,72.695
12/22/2005,73,74.699997,72.5,74.214996
12/23/2005,74.099998,74.849998,71.5,72.029999
12/26/2005,71.800003,72.480003,70,70.839996
12/27/2005,70.199997,71.489998,70.010002,70.839996
12/28/2005,71.800003,72.699997,70.035004,70.264999
12/29/2005,71,71.25,70.400002,70.644997
12/30/2005,71.300003,71.300003,70.324997,70.875
1/2/2006,70.875,71.995003,70.699997,71.345001
1/3/2006,68,71.800003,68,71.330002
1/4/2006,72,73.504997,71.400002,73.205002
1/5/2006,73.199997,74.300003,72.525002,73.949997
1/6/2006,74,77.5,73,76.894997
1/9/2006,75.82,77.300003,74,76.485001
1/10/2006,76.489998,77,74.529999,74.834999
1/12/2006,74.834999,75.879997,74,74.665001
1/13/2006,75.279999,75.279999,72.599998,72.989998
1/16/2006,73.900002,74.709999,72.699997,74.139999
1/17/2006,74.099998,75.294998,74.099998,74.900002
1/18/2006,74.400002,75.25,72.010002,74.470001
1/19/2006,74.470001,74.470001,72.029999,72.845001
1/20/2006,73.050003,74.400002,72.209999,72.514999
1/23/2006,72.550003,72.980003,70.099998,71.949997
1/24/2006,72.199997,72.900002,71.355003,71.589996
1/25/2006,71.625,72.900002,71.315002,71.889999
1/27/2006,74.480003,75,73.105003,73.709999
1/30/2006,73.709999,74.894997,73.410004,74.355003
1/31/2006,73.620003,76.639999,73,76.245003
2/1/2006,76.5,77.400002,73.5,73.879997
2/2/2006,73.879997,75.199997,73.605003,73.949997
2/3/2006,73.400002,73.964996,72.449997,73.184998
2/6/2006,73.184998,75,72.599998,74.480003
2/7/2006,73.599998,77.5,73.519997,77.074997
2/8/2006,77.199997,77.199997,75,76.245003
2/10/2006,76.889999,77.199997,75.220001,76.205002
2/13/2006,75.099998,76.199997,74.305,74.644997
2/14/2006,75.099998,75.995003,73.919998,74.790001
2/15/2006,74.900002,75.5,73.699997,74.375
2/16/2006,74.375,76.889999,73.629997,76
2/17/2006,76.75,76.75,73.650002,74.235001
2/20/2006,74,74.489998,72,72.220001
2/21/2006,73,73,72.25,72.480003
2/22/2006,72.480003,72.970001,72.154999,72.665001
2/23/2006,72.199997,72.879997,71.199997,72.195
2/24/2006,72.220001,72.220001,70.599998,71.144997
2/27/2006,72.010002,73.169998,71.605003,72.815002
2/28/2006,73.434998,74.400002,72.375,73.714996
3/1/2006,73.5,75,72.5,74.684998
3/2/2006,74.989998,76,73.504997,75.824997
3/3/2006,76,76.224998,74.705002,75.970001
3/6/2006,76,76.400002,75.599998,76.010002
3/7/2006,74.925003,76.400002,74.925003,75.775002
3/8/2006,75.5,76.974998,74,76.004997
3/9/2006,74.525002,75.949997,73.900002,75.019997
3/10/2006,75.199997,76.440002,74.514999,74.900002
3/13/2006,75.495003,77.5,73.099998,76.925003
3/14/2006,77.599998,77.599998,75.035004,76.199997
3/16/2006,75.510002,77.199997,75.510002,76.760002
3/17/2006,77.199997,77.199997,75.324997,76.425003
3/20/2006,76.5,77.5,75.900002,76.555
3/21/2006,77.300003,77.300003,75.099998,75.480003
3/22/2006,75.190002,76.5,75.004997,75.735001
3/23/2006,74.919998,75.900002,73.830002,74.195
3/24/2006,74.989998,74.989998,73.004997,73.485001
3/27/2006,76.879997,76.879997,73.5,73.824997
3/28/2006,73.110001,74.699997,72.099998,74.269997
3/29/2006,74.199997,75,73.650002,74.625
3/30/2006,74.199997,81.199997,74.199997,77.949997
3/31/2006,77.5,78.5,76,77.425003
4/3/2006,77.425003,78.089996,76.199997,77.385002
4/4/2006,77.800003,83.894997,77.800003,83.285004
4/5/2006,83.900002,84.599998,83.199997,84.099998
4/7/2006,83.739998,85.400002,80.099998,81.769997
4/10/2006,81.900002,83.989998,81,82.529999
4/12/2006,82.400002,82.5,80.224998,80.900002
4/13/2006,80.900002,81.699997,79.029999,80.394997
4/17/2006,80.519997,82.205002,79.525002,81.459999
4/18/2006,82.400002,84.199997,82.400002,83.445
4/19/2006,84.014999,85.769997,84,84.849998
4/20/2006,84.949997,85.5,83.025002,85
4/21/2006,83.75,86.5,83.75,84.864998
4/24/2006,84.25,84.769997,80.900002,82.239998
4/25/2006,82.309998,83.5,82,82.464996
4/26/2006,82.5,85.199997,82.144997,83.705002
4/27/2006,83.699997,85.400002,80.625,82.419998
4/28/2006,79.900002,82.099998,74.089996,81.735001
5/2/2006,83.900002,87.099998,83.099998,85.129997
5/3/2006,85.300003,87.400002,85.010002,86.32
5/4/2006,85,89.489998,84.605003,88.375
5/5/2006,88,89.099998,86.110001,87.864998
5/8/2006,88.800003,89.5,86.5,87.610001
5/9/2006,88.105003,89.389999,84.800003,85.264999
5/10/2006,85.5,87.980003,85.345001,87.105003
5/11/2006,86.900002,87.879997,83.5,87.050003
5/12/2006,86,87.889999,85.129997,87.529999
5/15/2006,86.699997,87.5,83.105003,84.355003
5/16/2006,84,85,82.099998,84.769997
5/17/2006,86.5,86.5,82.699997,84.43
5/18/2006,83.699997,84.400002,80.400002,81.964996
5/19/2006,83.400002,83.5,76.519997,80.964996
5/22/2006,81,83.400002,71,78.695
5/23/2006,79.5,80,74.300003,78.120003
5/24/2006,79.099998,79.900002,74.699997,76.860001
5/25/2006,75.105003,79,72.82,75.815002
5/26/2006,76,78.900002,75,77.394997
5/29/2006,78,78.800003,75.805,76.43
5/30/2006,76.82,76.82,72.610001,75.010002
5/31/2006,73.224998,77.5,71.525002,74.519997
6/1/2006,76,77.25,73.300003,73.864998
6/2/2006,74,77.5,73.400002,76.504997
6/5/2006,76.300003,77.400002,73.010002,73.940002
6/6/2006,73.5,73.5,71.525002,72.260002
6/7/2006,72.169998,72.970001,71,72.074997
6/8/2006,71.099998,72.5,64,69.264999
6/9/2006,68.699997,72,66.125,71.269997
6/12/2006,71.790001,72.785004,66.514999,69.224998
6/13/2006,67.099998,67.785004,64,65.165001
6/14/2006,64.800003,67.279999,61.52,63.895
6/15/2006,64.400002,72.480003,64.400002,69.769997
6/16/2006,71,76.650002,71,73.449997
6/19/2006,70.449997,74.010002,70.449997,73.629997
6/20/2006,72,72.699997,70.025002,70.894997
6/21/2006,71.5,71.709999,70.199997,70.904999
6/22/2006,74.480003,76,72.5,73.095001
6/23/2006,70.480003,75.050003,70.260002,74.940002
6/26/2006,72.525002,77.199997,72.525002,76.160004
6/27/2006,75,75.989998,73.099998,74.105003
6/28/2006,77.5,77.5,72.205002,72.665001
6/29/2006,74,76.099998,73.114998,74.934998
6/30/2006,75.510002,81.480003,75.510002,79.595001
7/3/2006,80,80,77.099998,77.849998
7/4/2006,78,78.995003,78,78.724998
7/5/2006,78,81.599998,77.805,80.739998
7/6/2006,80.050003,80.495003,78.699997,80
7/7/2006,80.199997,80.995003,75.099998,77.93
7/10/2006,77.110001,78,76.300003,77.860001
7/11/2006,77.504997,77.504997,75.504997,76.154999
7/12/2006,68,77.199997,68,76.120003
7/13/2006,75.599998,76.5,74.264999,74.635002
7/14/2006,74.599998,74.599998,71.559998,72.93
7/17/2006,73,73,70.224998,70.745003
7/18/2006,70.5,71.400002,70.099998,71.025002
