Date,Open,High,Low,Close
1/3/2005,68.181801,68.181801,67.300003,67.518204
1/4/2005,67.554604,68.545403,66.927299,67.981796
1/5/2005,68.199997,68.909103,62.736401,65.772697
1/6/2005,65.454597,65.8909,63.818199,64.254501
1/7/2005,63.636398,65.809097,63.636398,65.218201
1/10/2005,65.454597,65.800003,62.9636,63.436401
1/11/2005,63.599998,64.363602,62.200001,63.772701
1/12/2005,63.636398,64.363602,61.927299,62.745399
1/13/2005,63.636398,64.8909,63.1273,64.372704
1/14/2005,65.254501,65.254501,63.209099,63.845501
1/17/2005,65.418198,65.418198,63.099998,64.018204
1/18/2005,64.545403,64.881798,63.3909,63.818199
1/19/2005,64.545403,65.236397,63.681801,63.927299
1/20/2005,63.818199,64.181801,59.1273,62.9454
1/24/2005,63.636398,63.818199,61.1091,61.5546
1/25/2005,61.636398,63.0364,60,62.4636
1/27/2005,63.081799,63.081799,61.0182,61.363602
1/28/2005,62.545399,63.472698,61.636398,63.281799
1/31/2005,63.636398,65.981796,63.136398,65.618202
2/1/2005,66,66.909103,65.118202,65.781799
2/2/2005,65.636398,67.272697,65.636398,66.554604
2/3/2005,67.172699,67.509102,66.090897,67.209099
2/4/2005,67.545403,67.954597,66.018204,66.490898
2/7/2005,66.545403,67.345497,65.318199,65.654503
2/8/2005,66,66.454597,65.090897,65.9636
2/9/2005,66.363602,67.090897,65.836403,66.627296
2/10/2005,66.636398,68.818199,66.4636,68.127296
2/11/2005,68.409103,69.027298,67.681801,68.163597
2/14/2005,68.863602,69.909103,68.727303,69.236397
2/15/2005,69.454597,70.363602,69.245499,69.663597
2/16/2005,70,70.163597,67.827301,68.290901
2/17/2005,67.909103,69.090897,66.818199,68.381798
2/18/2005,68.363602,70,68.363602,69.409103
2/21/2005,69.454597,70,68.045403,68.445396
2/22/2005,68.445503,68.445503,67.363602,68.118202
2/23/2005,68.363602,68.363602,66.827301,67.954597
2/24/2005,68,68.645401,66.581802,67.163597
2/25/2005,68,68.727303,66.736397,66.845497
2/28/2005,68,69.699997,66.409103,69.254501
3/1/2005,69.363602,69.454597,67.099998,67.681801
3/2/2005,68.181801,72.163597,67.745499,70.818199
3/3/2005,70.827301,72.709099,70.736397,72.181801
3/4/2005,72.545403,73.363602,71.472702,72.309097
3/7/2005,72.181801,73.454597,71.836403,72.599998
3/8/2005,73.045403,73.199997,72.181801,72.5364
3/9/2005,72,72.272697,70.427299,71
3/10/2005,70.927299,71.6091,69.709099,71.281799
3/11/2005,71.818199,72.545403,70.727303,71
3/14/2005,66.654503,71.445396,63.636398,69.854599
3/15/2005,70.1091,70.290901,68.409103,69.563599
3/16/2005,70,74.145401,69.818199,72.900002
3/17/2005,72.727303,73.636398,72.181801,72.981796
3/18/2005,73.236397,75.9636,71.900002,75.099998
3/21/2005,75.454597,75.718201,73.881798,74.263603
3/22/2005,74.181801,74.181801,71.272697,71.863602
3/23/2005,70.181801,72.554604,70.181801,70.954597
3/24/2005,71.272697,71.809097,68.545403,70.972702
3/28/2005,71.599998,72.727303,71.599998,72.336403
3/29/2005,71.654503,72.363602,70.054604,70.881798
3/30/2005,70.727303,70.818199,68.181801,69.636398
3/31/2005,70.727303,74.081802,70.690903,71.418198
4/1/2005,71.454597,74.081802,71.454597,73.827301
4/4/2005,74,77.272697,74,76.063599
4/5/2005,76,78.090897,74.454597,77.354599
4/6/2005,76.872704,78,76.099998,77.318199
4/7/2005,77.363602,77.363602,73.636398,74.309097
4/8/2005,74.509102,75.618202,72.754501,73.445396
4/11/2005,73.445396,73.818199,71.4636,71.736397
4/12/2005,71.836403,75.454597,71.090897,74.254501
4/13/2005,74.909103,75.6091,74.409103,74.909103
4/15/2005,74.545403,74.545403,69.736397,73.290901
4/18/2005,71.818199,71.818199,70,70.327301
4/19/2005,71.818199,73.454597,69.227303,69.781799
4/20/2005,70,71.436401,68.027298,68.781799
4/21/2005,68.181801,70.181801,66.636398,69.718201
4/22/2005,70.363602,72.545403,69.554604,72.081802
4/25/2005,71.781799,74.736397,70.936401,74.199997
4/26/2005,73.636398,74,72.727303,73.581802
4/27/2005,70.936401,72.909103,69.290901,69.800003
4/28/2005,70.363602,70.363602,66.909103,68.936401
4/29/2005,69.072701,69.454597,64.736397,65.445396
5/2/2005,66.909103,67.990898,65.009102,65.518204
5/3/2005,66.627296,67.072701,65.490898,65.900002
5/4/2005,66.181801,67.090897,66,66.781799
5/5/2005,67.727303,69.136398,67.727303,68.490898
5/6/2005,68.545403,70.181801,68.181801,68.672699
5/9/2005,69.454597,69.800003,68.272697,69.509102
5/10/2005,69.636398,72.045403,69.290901,71.281799
5/11/2005,71.136398,71.809097,69.818199,71.490898
5/12/2005,71.163597,71.781799,70.572701,71.218201
5/13/2005,71.818199,71.818199,70.045403,71.309097
5/16/2005,71.636398,72.727303,71.290901,72.381798
5/17/2005,72.727303,73.272697,71.654503,72.090897
5/18/2005,71.809097,71.809097,70.727303,71.027298
5/19/2005,71.909103,75.418198,70.581802,71.581802
5/20/2005,70.900002,72.545403,70,72.263603
5/23/2005,72.690903,73.454597,71.636398,73.190903
5/24/2005,72.727303,73.090897,71.690903,72.599998
5/25/2005,72.199997,72.545403,71.727303,72.254501
5/26/2005,74.509102,74.509102,71.454597,72.727303
5/27/2005,72.727303,73.090897,72.181801,72.554604
5/30/2005,72.718201,72.718201,70.236397,70.854599
5/31/2005,70.872704,71.836403,70.454597,71.281799
6/1/2005,71.627296,72.909103,71.454597,72.618202
6/2/2005,73.090897,73.272697,71.272697,71.300003
6/3/2005,71.363602,72,71.090897,71.454597
6/6/2005,72.272697,73.090897,71.272697,71.581802
