Date,Open,High,Low,Close
1/3/2005,46.950001,47.59,46.950001,47.349998
1/4/2005,46.869999,47.029999,46.529999,46.599998
1/5/2005,46.799999,46.93,46.41,46.41
1/6/2005,46.299999,46.630001,46.290001,46.41
1/7/2005,46.869999,46.990002,46.34,46.900002
1/10/2005,46.84,46.98,46.549999,46.82
1/11/2005,46.299999,46.330002,45.990002,46.200001
1/12/2005,45.650002,45.799999,45.470001,45.709999
1/13/2005,45.700001,45.700001,45.43,45.470001
1/14/2005,45.450001,45.639999,45.299999,45.459999
1/18/2005,44.91,45.5,44.830002,45.41
1/19/2005,45.27,45.27,44.59,44.77
1/20/2005,44.419998,44.73,44.419998,44.540001
1/21/2005,44.25,44.669998,44.169998,44.48
1/24/2005,44.369999,44.849998,44.369999,44.66
1/25/2005,44.400002,44.709999,44.400002,44.700001
1/26/2005,44.869999,45.290001,44.869999,45.150002
1/27/2005,44.68,45.049999,44.630001,45.049999
1/28/2005,44.919998,45,44.59,44.810001
1/31/2005,44.68,44.810001,44.509998,44.57
2/1/2005,44.470001,44.740002,44.360001,44.549999
2/2/2005,44.959999,45.09,44.830002,45.040001
2/3/2005,44.610001,44.75,44.509998,44.650002
2/4/2005,45.419998,45.669998,45.349998,45.540001
2/7/2005,45.32,45.380001,45.150002,45.25
2/8/2005,45.18,45.450001,45.099998,45.349998
2/9/2005,46.200001,46.34,45.720001,45.720001
2/10/2005,46.150002,46.75,46.150002,46.669998
2/11/2005,46.380001,46.720001,46.299999,46.669998
2/14/2005,47.610001,47.970001,47.52,47.759998
2/15/2005,48.279999,48.470001,48.200001,48.43
2/16/2005,47.779999,47.799999,47.009998,47.43
2/17/2005,47.25,47.310001,47.049999,47.130001
2/18/2005,47,47.59,46.990002,47.560001
2/22/2005,49.330002,49.450001,48.549999,48.599998
2/23/2005,48.560001,48.900002,48.349998,48.849998
2/24/2005,48.330002,48.459999,48.049999,48.419998
2/25/2005,48.330002,48.689999,48.25,48.639999
2/28/2005,48.610001,48.66,47.849998,48.220001
3/1/2005,48.799999,49.450001,48.790001,49.220001
