Date,Open,High,Low,Close
1/3/2005,27.309999,27.35,26.450001,26.450001
1/4/2005,26.41,26.6,26.030001,26.450001
1/5/2005,26.48,26.52,26.15,26.27
1/6/2005,26.4,26.52,26.280001,26.290001
1/7/2005,26.540001,26.6,26.27,26.299999
1/10/2005,26.33,26.51,26.25,26.440001
1/11/2005,26.26,26.440001,26,26.15
1/12/2005,26.18,26.25,25.92,26.030001
1/13/2005,25.85,25.879999,25.26,25.33
1/14/2005,25.34,25.51,25.24,25.25
1/18/2005,25.26,25.34,25.110001,25.299999
1/19/2005,25.5,25.719999,24.82,24.879999
1/20/2005,24.879999,24.99,24.76,24.98
1/21/2005,25,25.059999,24.48,24.48
1/24/2005,24.74,24.74,24.26,24.26
1/25/2005,24.41,24.719999,24.299999,24.59
1/26/2005,24.73,24.83,24.58,24.59
1/27/2005,24.65,24.719999,24.549999,24.68
1/28/2005,24.65,24.709999,24.17,24.35
1/31/2005,24.620001,24.68,23.99,24.16
2/1/2005,24.129999,24.16,23.799999,23.860001
2/2/2005,24.049999,24.209999,23.92,24.07
2/3/2005,24.139999,24.200001,23.809999,23.91
2/4/2005,24,24.41,23.93,24.23
2/7/2005,24.58,25.02,24.540001,24.91
2/8/2005,25.35,25.860001,25.120001,25.549999
2/9/2005,25.639999,25.879999,25.049999,25.049999
2/10/2005,25.15,25.18,24.690001,25.049999
2/11/2005,25.299999,25.52,24.879999,25.15
2/14/2005,25.209999,25.52,24.4,25.48
2/15/2005,25.469999,25.530001,25.190001,25.219999
2/16/2005,25,25.049999,24.73,24.950001
2/17/2005,25,25.059999,24.73,25.059999
2/18/2005,25.059999,26.84,24.6,26.799999
2/22/2005,26.99,27.200001,26.290001,26.59
2/23/2005,26.65,26.77,26.309999,26.309999
2/24/2005,26.4,26.5,25.889999,26.4
2/25/2005,26.5,26.9,26.33,26.860001
2/28/2005,26.940001,27.15,26.27,26.290001
3/1/2005,26.530001,26.790001,26.450001,26.610001
3/2/2005,26.700001,26.799999,26.41,26.610001
3/3/2005,26.870001,26.870001,26.5,26.59
3/4/2005,26.889999,27.01,26.709999,26.85
3/7/2005,26.98,27.25,26.9,27.18
3/8/2005,27.27,27.34,26.74,26.76
3/9/2005,26.809999,26.85,26.57,26.74
3/10/2005,26.82,26.91,26.65,26.75
3/11/2005,26.85,26.85,26.280001,26.360001
3/14/2005,26.530001,26.58,26.280001,26.530001
3/15/2005,26.75,26.83,26.280001,26.290001
3/16/2005,26.27,26.42,25.950001,26.049999
3/17/2005,25.950001,26.15,25.799999,26.01
3/18/2005,26.01,26.1,25.58,25.83
3/21/2005,25.799999,25.9,25.4,25.709999
3/22/2005,25.879999,26.02,25.4,25.42
3/23/2005,25.42,26.08,25.42,26.040001
3/24/2005,26.25,26.530001,25.799999,26.17
3/28/2005,26.299999,26.6,26.139999,26.23
3/29/2005,26,26.09,25.639999,25.639999
3/30/2005,25.9,26.33,25.780001,26.290001
3/31/2005,26.41,26.41,26.049999,26.27
4/1/2005,26.370001,26.540001,25.93,26.15
4/4/2005,26.15,26.15,25.799999,25.93
4/5/2005,26.719999,27.049999,26.610001,26.9
4/6/2005,27.09,27.16,26.799999,26.860001
4/7/2005,26.049999,26.91,25.76,26.9
4/8/2005,26.52,26.889999,26.49,26.6
4/11/2005,26.610001,26.76,26.280001,26.459999
4/12/2005,26.4,26.9,26.34,26.879999
4/13/2005,26.9,27.41,26.75,27.280001
4/14/2005,27.48,27.719999,27.25,27.450001
4/15/2005,28,28.23,27.629999,27.709999
4/18/2005,27.57,27.75,27.18,27.6
4/19/2005,27.639999,27.85,27.209999,27.42
4/20/2005,27.200001,27.41,26.540001,26.76
4/21/2005,27,27.25,26.85,27.25
4/22/2005,27.24,27.299999,26.99,27.219999
4/25/2005,27.17,27.200001,26.889999,27.030001
4/26/2005,26.950001,27.1,26.809999,26.91
4/27/2005,26.860001,26.99,26.719999,26.92
4/28/2005,26.860001,27.059999,26.59,26.690001
4/29/2005,26.780001,27.219999,26.719999,27.17
5/2/2005,27.25,27.450001,27.200001,27.41
5/3/2005,27.450001,27.639999,27.26,27.5
5/4/2005,27.51,27.84,27.48,27.83
5/5/2005,27.68,27.98,27.65,27.85
5/6/2005,27.93,27.98,27.6,27.610001
5/9/2005,27.559999,27.98,27.379999,27.969999
5/10/2005,27.83,28.1,27.559999,27.66
5/11/2005,27.49,27.68,27.43,27.65
5/12/2005,27.75,27.9,27.530001,27.629999
5/13/2005,27.879999,27.9,27.65,27.860001
5/16/2005,28,28.25,27.860001,28.23
5/17/2005,28.139999,28.23,27.940001,28.200001
5/18/2005,28.23,28.49,28.120001,28.440001
5/19/2005,28.4,28.75,28.26,28.719999
5/20/2005,28.700001,28.73,28.469999,28.58
5/23/2005,28.51,28.85,28.51,28.76
5/24/2005,28.57,28.870001,28.379999,28.84
5/25/2005,28.690001,28.889999,28.35,28.67
5/26/2005,28.700001,28.940001,28.549999,28.9
5/27/2005,28.75,28.76,28.02,28.35
5/31/2005,28.120001,28.35,27.9,27.9
6/1/2005,27.93,28.23,27.93,28.17
6/2/2005,28.200001,28.389999,28.1,28.200001
6/3/2005,28.1,28.16,27.799999,27.959999
6/6/2005,28.030001,28.219999,27.98,28.01
6/7/2005,28.1,28.25,27.870001,27.959999
6/8/2005,28.1,28.1,27.6,27.65
6/9/2005,27.57,27.610001,27.309999,27.530001
6/10/2005,27.719999,27.879999,27.559999,27.68
6/13/2005,27.610001,27.940001,27.51,27.889999
6/14/2005,27.889999,28.450001,27.879999,28.389999
6/15/2005,28.48,28.49,28.07,28.43
6/16/2005,28.17,28.68,28.16,28.6
6/17/2005,28.889999,28.889999,28,28.780001
6/20/2005,28.6,28.84,28.469999,28.76
6/21/2005,28.67,28.790001,28.59,28.610001
6/22/2005,28.75,28.889999,28.309999,28.790001
6/23/2005,28.790001,29.209999,28.73,28.9
6/24/2005,28.85,29.02,28.5,28.52
6/27/2005,28.370001,28.4,27.940001,28.08
6/28/2005,28.1,28.17,27.700001,27.9
6/29/2005,28,28,27.76,27.84
6/30/2005,27.610001,27.82,27.49,27.58
7/1/2005,26.85,27.41,26.74,27.1
7/5/2005,27.02,27.17,26.99,27.049999
7/6/2005,27.07,27.08,26.719999,26.77
7/7/2005,26.4,26.790001,26.299999,26.75
7/8/2005,26.799999,27.27,26.459999,27.139999
7/11/2005,27.219999,27.23,26.91,27.120001
7/12/2005,27.09,27.120001,26.950001,27.07
7/13/2005,27,27.23,26.870001,27.23
7/14/2005,27.360001,27.67,27.309999,27.6
7/15/2005,27.549999,27.610001,27.450001,27.57
7/18/2005,27.41,27.43,27.01,27.25
7/19/2005,27.25,27.469999,27.16,27.379999
7/20/2005,27.6,27.82,27,27.059999
7/21/2005,27.200001,27.32,26.540001,26.59
7/22/2005,26.75,26.889999,26.48,26.5
7/25/2005,26.5,26.620001,26.379999,26.42
7/26/2005,26.59,26.6,26.200001,26.24
7/27/2005,26.4,26.780001,26.25,26.700001
7/28/2005,26.700001,26.85,26.68,26.77
7/29/2005,26.780001,26.959999,26.440001,26.5
8/1/2005,26.98,26.98,26.57,26.639999
8/2/2005,26.889999,26.959999,26.700001,26.940001
8/3/2005,26.889999,26.940001,26.66,26.93
8/4/2005,26.9,26.950001,26.51,26.6
8/5/2005,26.51,26.549999,26.219999,26.25
8/8/2005,26.4,26.43,26.139999,26.209999
8/9/2005,26.370001,26.709999,26.209999,26.700001
8/10/2005,26.73,26.85,26.370001,26.389999
8/11/2005,26.440001,26.59,26.209999,26.440001
8/12/2005,26.48,26.5,26.129999,26.16
8/15/2005,26.219999,26.25,26.040001,26.200001
8/16/2005,26.219999,26.290001,26.01,26.049999
8/17/2005,26.049999,26.290001,26.02,26.16
8/18/2005,26.16,26.200001,25.809999,25.879999
8/19/2005,26,26.049999,25.450001,25.549999
8/22/2005,25.66,25.84,25.33,25.360001
8/23/2005,25.26,25.42,25.07,25.09
8/24/2005,25.09,25.459999,25.059999,25.059999
8/25/2005,25.059999,25.190001,24.83,24.870001
8/26/2005,24.969999,25.01,24.76,24.889999
8/29/2005,24.780001,25.16,24.76,25.1
8/30/2005,25.01,25.25,25,25.139999
8/31/2005,25.25,25.48,25.1,25.48
9/1/2005,25.459999,25.6,25.16,25.299999
9/2/2005,25.4,25.440001,25.129999,25.33
9/6/2005,25.42,25.9,25.33,25.870001
9/7/2005,25.9,26.379999,25.889999,26.299999
9/8/2005,26.5,26.610001,26.15,26.51
9/9/2005,26.65,26.65,26.209999,26.33
9/12/2005,26.299999,26.49,26.25,26.34
9/13/2005,26.17,26.24,25.77,25.98
9/14/2005,25.959999,26.09,25.92,26.030001
9/15/2005,26.01,26.049999,25.65,25.700001
9/16/2005,25.790001,25.98,25.6,25.9
9/19/2005,25.690001,25.85,25.41,25.6
9/20/2005,25.549999,25.65,25.34,25.4
9/21/2005,25.16,25.530001,25.15,25.309999
9/22/2005,25.209999,25.48,25.190001,25.25
9/23/2005,25.1,25.190001,24.870001,24.870001
9/26/2005,25.040001,25.25,24.9,25.190001
9/27/2005,25.26,25.299999,24.780001,24.799999
9/28/2005,24.92,25.120001,24.67,24.860001
9/29/2005,24.959999,25.15,24.790001,25.09
9/30/2005,24.950001,25.040001,24.9,24.969999
10/3/2005,25.18,25.440001,24.91,25.290001
10/4/2005,25.450001,25.57,25.219999,25.24
10/5/2005,25.4,25.450001,24.780001,24.799999
10/6/2005,24.9,24.940001,24.360001,24.65
10/7/2005,24.68,24.799999,24.389999,24.389999
10/10/2005,24.360001,24.6,24.26,24.450001
10/11/2005,24.450001,24.52,24.030001,24.299999
10/12/2005,25.469999,25.469999,24.700001,24.84
10/13/2005,24.809999,24.860001,24.4,24.5
10/14/2005,24.440001,24.68,24.15,24.32
10/17/2005,24.360001,24.4,23.98,24.120001
10/18/2005,24.139999,24.290001,24.059999,24.129999
10/19/2005,24.08,24.129999,23.58,23.969999
10/20/2005,22.360001,22.58,21.889999,21.9
10/21/2005,22,22.09,20.709999,21.25
10/24/2005,21.309999,21.309999,20.93,21.09
10/25/2005,21.23,21.32,21.049999,21.200001
10/26/2005,21.299999,21.299999,21.040001,21.059999
10/27/2005,21.07,21.24,21.02,21.1
10/28/2005,21.16,21.530001,21.110001,21.5
10/31/2005,21.799999,21.93,21.549999,21.74
11/1/2005,21.75,21.84,21.42,21.549999
11/2/2005,21.51,21.68,21.48,21.6
11/3/2005,21.700001,22.25,21.629999,21.870001
11/4/2005,22.07,22.290001,21.940001,22.26
11/7/2005,22.35,22.389999,22,22.27
11/8/2005,22.219999,22.24,21.870001,21.91
11/9/2005,21.969999,22.26,21.709999,22.16
11/10/2005,22.16,22.290001,21.879999,22.209999
11/11/2005,22.35,22.469999,22.030001,22.43
11/14/2005,22.57,22.610001,22.1,22.25
11/15/2005,21.75,22.09,21.700001,21.889999
11/16/2005,21.9,21.940001,21.26,21.370001
11/17/2005,21.450001,21.51,21.17,21.35
11/18/2005,21.700001,21.799999,21.35,21.6
11/21/2005,21.719999,21.74,21.43,21.74
11/22/2005,21.700001,21.700001,21.309999,21.379999
11/23/2005,21.4,21.790001,21.370001,21.639999
11/25/2005,21.700001,21.99,21.629999,21.67
11/28/2005,21.799999,21.860001,21.52,21.59
11/29/2005,21.59,21.780001,21.459999,21.469999
11/30/2005,21.450001,21.559999,21.18,21.200001
12/1/2005,21.27,21.440001,21.200001,21.379999
12/2/2005,21.360001,21.42,21.23,21.299999
12/5/2005,21.290001,21.4,21.209999,21.35
12/6/2005,21.42,21.42,21.110001,21.139999
12/7/2005,21.190001,21.27,21,21.1
12/8/2005,21.1,21.120001,20.91,20.98
