Date,Open,High,Low,Close
1/3/2005,490,490,482,482.700012
1/4/2005,482.799988,487.700012,477,478.600006
1/5/2005,480.5,487.799988,480.200012,484.600006
1/6/2005,488,492.399994,487.399994,489.299988
1/7/2005,491,491.100006,486,486.5
1/10/2005,485.100006,487.399994,480.200012,483.399994
1/11/2005,483.299988,484.799988,480.200012,482.200012
1/12/2005,481,481.899994,477.100006,480.700012
1/13/2005,480,482.799988,474.5,476
1/14/2005,477.5,478.5,474.600006,475.100006
1/18/2005,474,483.200012,472.5,481.700012
1/19/2005,481,484.399994,480.100006,480.399994
1/20/2005,475,480.5,474.5,477.700012
1/21/2005,485,485,478.5,479.299988
1/24/2005,482.799988,487.700012,481.600006,483.600006
1/25/2005,485.5,487.5,483.600006,485.100006
1/26/2005,485.200012,486.799988,481.299988,484.799988
1/27/2005,484.899994,487.700012,481,485.600006
1/28/2005,485,486.100006,482.100006,483.799988
1/31/2005,490,493,489.200012,490.5
2/1/2005,493,496,491.200012,494.799988
2/2/2005,495.299988,497.5,492.5,496.799988
2/3/2005,492.399994,493.5,487.5,491.5
2/4/2005,491.5,497.899994,491.399994,497.799988
2/7/2005,497.600006,499.899994,495.399994,497.299988
2/8/2005,498,498.899994,494.200012,494.799988
2/9/2005,494.799988,496.399994,490.600006,491.799988
2/10/2005,495,495,489.5,489.799988
2/11/2005,490,495.899994,488.5,494
2/14/2005,494.100006,494.600006,491,492.5
2/15/2005,493.799988,495.299988,492.299988,494
2/16/2005,491.200012,493.5,490.5,491.799988
2/17/2005,491.899994,492.600006,487.200012,488
2/18/2005,485.5,487.700012,483.600006,485.700012
2/22/2005,483,486.5,479,479.5
2/23/2005,483.299988,485,479.700012,483.799988
2/24/2005,484.299988,485.600006,481.700012,483
2/25/2005,480.5,484.100006,479.600006,482.799988
2/28/2005,482.5,482.600006,476,477.200012
3/1/2005,479.299988,481.799988,476.799988,478.799988
3/2/2005,476.5,484.100006,476.200012,481.299988
3/3/2005,483.799988,483.899994,477.399994,479.700012
3/4/2005,481.799988,486.799988,480.200012,484
3/7/2005,485.399994,486.5,483.399994,484.700012
3/8/2005,484.700012,486.799988,482.100006,484.700012
3/9/2005,481.5,483.399994,477,478.799988
3/10/2005,478.899994,483.200012,478.700012,481.5
3/11/2005,481.5,482.5,474.700012,477.899994
3/14/2005,477.899994,482.5,477.5,482.200012
3/15/2005,484,484.5,477.799988,478
3/16/2005,475,476.899994,473,473.700012
3/17/2005,474.100006,475,470,472.399994
3/18/2005,471.200012,472.600006,460.5,468.5
3/21/2005,464.700012,464.700012,455.5,457.600006
3/22/2005,459,460.100006,443.899994,444.399994
3/23/2005,443,448.5,440.5,444.5
3/24/2005,446.5,451,445.200012,445.200012
3/28/2005,448.5,451.700012,447.700012,447.700012
3/29/2005,446.600006,449.100006,442.600006,443.5
3/30/2005,444.5,450,443.899994,449.200012
3/31/2005,450,452,447.899994,449.399994
4/1/2005,455,457,444,446.200012
4/4/2005,446.299988,447.600006,438,445.899994
4/5/2005,448.200012,450.5,445.299988,449.399994
4/6/2005,452,453.299988,445.700012,451.5
4/7/2005,453,457.5,452,454.600006
4/8/2005,457.100006,457.799988,453.5,454
4/11/2005,456.700012,459,455,456.100006
4/12/2005,456.100006,466.100006,453.399994,464.5
4/13/2005,465,465.899994,456.899994,458.100006
4/14/2005,459,459.700012,451.799988,454
4/15/2005,460.5,463.700012,456.5,457.5
4/18/2005,460,464.100006,459.799988,462.100006
4/19/2005,465.5,468.100006,463.5,463.5
4/20/2005,462,466.200012,458.899994,461.299988
4/21/2005,463.5,464.5,456.600006,462.700012
4/22/2005,461.5,467,457.600006,463.200012
4/25/2005,464.5,470,464,467.799988
4/26/2005,468,471.399994,465.899994,466.200012
4/27/2005,465,471.5,464.100006,470.5
4/28/2005,465.100006,467.399994,461.299988,461.899994
4/29/2005,462.399994,469.799988,457.5,469.600006
5/2/2005,469.600006,472.200012,461.5,465.299988
5/3/2005,466.799988,468.700012,463.200012,468
5/4/2005,468,471.899994,465.5,469.700012
5/5/2005,470,471.899994,464.5,468.799988
5/6/2005,468.899994,469.5,465.200012,465.899994
5/9/2005,465.700012,469.600006,465.600006,468.5
5/10/2005,465,466,461.799988,463.799988
5/11/2005,464.5,468.899994,462.700012,467
5/12/2005,469,470,462.100006,464.100006
5/13/2005,467,467,457.600006,459.100006
5/16/2005,459.799988,468.899994,459.799988,468
5/17/2005,465.700012,472.399994,465.600006,471.600006
5/18/2005,473.799988,481.399994,473,477.399994
5/19/2005,479.200012,480,475.799988,478.399994
5/20/2005,478.5,478.600006,473.600006,478
5/23/2005,475.5,479.700012,475.5,476
5/24/2005,474,477.899994,474,477.100006
5/25/2005,475.399994,476.5,472.600006,474.5
5/26/2005,474.5,477.399994,472.700012,473.799988
5/27/2005,473,474.399994,470.5,472.799988
5/31/2005,472.899994,474,470.200012,471.100006
6/1/2005,471.200012,481,471.100006,477.200012
6/2/2005,476.5,477.799988,474.5,477.100006
6/3/2005,477.100006,478.5,474.5,475.600006
6/6/2005,475.600006,477,473.100006,476.899994
6/7/2005,477.399994,481,476.299988,476.600006
6/8/2005,478,479.799988,477,477.5
6/9/2005,477.700012,479,474,476.799988
6/10/2005,478,479.799988,473.700012,476.399994
6/13/2005,475,478.399994,474.200012,476
6/14/2005,475.200012,476.700012,473.799988,474.100006
6/15/2005,476,476.5,471.200012,474
