Date,Open,High,Low,Close
1/3/2005,104.900002,105.25,104.339996,104.949997
1/4/2005,104.800003,105.199997,103.910004,104.269997
1/5/2005,103.75,104.980003,103.580002,103.800003
1/6/2005,103.959999,105.25,103.910004,105.230003
1/7/2005,105.230003,105.459999,104.400002,104.779999
1/10/2005,104.279999,105.43,104.269997,104.980003
1/11/2005,104.050003,104.68,103.400002,104.169998
1/12/2005,104.099998,104.260002,102.410004,103.269997
1/13/2005,102.800003,103.959999,102.779999,102.940002
1/14/2005,103.099998,104.349998,102.940002,104.220001
1/18/2005,103.599998,105.18,103.559998,105
1/19/2005,104.330002,104.720001,103.809998,104.059998
1/20/2005,103.5,103.769997,102.879997,103.400002
1/21/2005,103.199997,104.540001,102.790001,103.330002
1/24/2005,103.330002,104.540001,103.040001,103.239998
1/25/2005,104.099998,104.699997,102.610001,102.860001
1/26/2005,103.18,103.519997,101.790001,103.260002
1/27/2005,103.370003,104.339996,103.010002,104
1/28/2005,104.650002,106.709999,104,106.120003
1/31/2005,107.379997,107.970001,107.150002,107.849998
2/1/2005,107.650002,108.940002,107.300003,108.400002
2/2/2005,108.150002,108.970001,107.989998,108.589996
2/3/2005,108.400002,108.940002,108.199997,108.739998
2/4/2005,108.739998,110.330002,108.709999,110.019997
2/7/2005,110.019997,110.209999,109.330002,109.589996
2/8/2005,109.970001,111.93,109.910004,111.550003
2/9/2005,112,113.349998,111.349998,111.449997
2/10/2005,111.800003,112.980003,111.75,112.769997
2/11/2005,112.779999,113.93,112.07,112.769997
2/14/2005,112.779999,113.379997,111.690002,111.970001
2/15/2005,112.5,113.190002,112.25,112.709999
2/16/2005,112.349998,112.620003,111.610001,112.269997
2/17/2005,112.599998,112.809998,110.540001,110.599998
2/18/2005,110.650002,110.800003,108.599998,109
2/22/2005,108.050003,109.260002,107.519997,107.860001
2/23/2005,108.620003,109.410004,108.169998,109.110001
2/24/2005,108.650002,109.209999,108.129997,108.5
2/25/2005,108.730003,110.25,108.529999,110.099998
2/28/2005,110,110.110001,108.349998,108.800003
3/1/2005,108.389999,110.760002,108.389999,110.019997
3/2/2005,109.25,111.32,109.220001,109.730003
3/3/2005,110.400002,110.860001,109,109.410004
3/4/2005,110.199997,112.830002,110.029999,111.529999
3/7/2005,111.949997,113.120003,111.529999,112.800003
3/8/2005,112.800003,113.169998,112.099998,112.629997
3/9/2005,112.5,112.5,110.82,110.870003
3/10/2005,111.449997,112,110.82,111.330002
3/11/2005,111.339996,111.550003,108.910004,109.550003
3/14/2005,109.809998,110.75,109.059998,110
3/15/2005,111.699997,111.900002,110.43,110.540001
3/16/2005,110.540001,110.580002,108.599998,109.970001
3/17/2005,109.970001,111.239998,108.449997,110.040001
3/18/2005,109.699997,110.699997,109.559998,109.980003
3/21/2005,110.099998,110.839996,109.599998,109.599998
3/22/2005,109.75,110.989998,107.669998,107.989998
3/23/2005,107.599998,108.919998,107.5,108.059998
3/24/2005,108.779999,109.5,108.370003,108.400002
3/28/2005,108.949997,109.989998,108.550003,109.68
3/29/2005,109.68,110.629997,108.370003,108.449997
3/30/2005,108.190002,109.900002,108.190002,109.800003
3/31/2005,110,110.260002,109.059998,109.989998
4/1/2005,110.739998,111.059998,108.309998,109.300003
4/4/2005,109.150002,111.330002,108.580002,111
4/5/2005,110.949997,111.900002,110.449997,110.589996
4/6/2005,110.949997,112.639999,110.790001,112.5
4/7/2005,112.5,113.93,112.199997,113.529999
4/8/2005,113.25,114.25,112.779999,112.93
4/11/2005,113.449997,113.809998,111.919998,112.089996
4/12/2005,111.550003,112.470001,110.139999,111.760002
4/13/2005,111.769997,112,109.730003,110.010002
4/14/2005,110.150002,110.400002,108.43,108.489998
4/15/2005,108.349998,109.07,106.489998,106.489998
4/18/2005,106.690002,107.989998,106.300003,107.349998
4/19/2005,107.5,107.919998,106.660004,106.690002
4/20/2005,106.699997,106.889999,104.07,104.330002
4/21/2005,105.5,106.919998,103.449997,105.110001
4/22/2005,105,105.75,103.209999,104.190002
4/25/2005,105.5,106.410004,104.550003,105.739998
4/26/2005,105.739998,107.190002,105.120003,105.720001
4/27/2005,105.669998,108.160004,105.209999,107.760002
4/28/2005,106.949997,107.889999,105.940002,106.230003
4/29/2005,107.129997,107.279999,104.5,106.790001
5/2/2005,105.849998,105.849998,103,104.459999
5/3/2005,103.550003,104.900002,103.050003,104.370003
5/4/2005,105.199997,107.150002,104.650002,106.269997
5/5/2005,106.800003,107.290001,104.559998,105.300003
5/6/2005,105.75,106.18,104.5,104.68
5/9/2005,104.480003,105.540001,104.220001,105.5
5/10/2005,104.220001,104.269997,101.809998,102.110001
5/11/2005,102.550003,104.040001,101.970001,103.75
5/12/2005,103.5,103.730003,99.339996,100.220001
5/13/2005,99.5,100.199997,96.419998,97.82
