Date,PL,VaR,ES,Exception_VaR,Exception_ES
11/21/2008,-0.398145722,-0.231287751,-0.24927651,TRUE,TRUE
11/20/2008,-0.388917924,-0.210237441,-0.216440187,TRUE,TRUE
1/20/2009,-0.381538462,-0.27311216,-0.300394395,TRUE,TRUE
3/18/2020,-0.300041715,-0.257875352,-0.246217657,TRUE,TRUE
2/23/2009,-0.293883434,-0.328891113,-0.322888398,FALSE,FALSE
3/9/2020,-0.292978214,-0.14800595,-0.151784881,TRUE,TRUE
3/12/2020,-0.274532415,-0.203328296,-0.208839809,TRUE,TRUE
11/19/2008,-0.274094894,-0.192909889,-0.199736426,TRUE,TRUE
3/16/2020,-0.272876867,-0.223602701,-0.228309382,TRUE,TRUE
1/16/2009,-0.272089314,-0.258621134,-0.294523193,TRUE,FALSE
3/19/2020,-0.251557408,-0.273721196,-0.261997263,FALSE,FALSE
1/21/2009,-0.242637224,-0.328891113,-0.322857922,FALSE,FALSE
11/24/2008,-0.242515792,-0.256333327,-0.282635284,FALSE,FALSE
3/11/2020,-0.242261531,-0.187066953,-0.191736074,TRUE,TRUE
12/1/2008,-0.242239622,-0.258621134,-0.290374472,FALSE,FALSE
11/18/2008,-0.237846798,-0.18904853,-0.187644792,TRUE,TRUE
2/24/2009,-0.229472169,-0.338587498,-0.331092649,FALSE,FALSE
1/15/2009,-0.228036815,-0.258621134,-0.29438016,FALSE,FALSE
3/20/2020,-0.227424145,-0.273721196,-0.269646995,FALSE,FALSE
10/15/2008,-0.224460987,-0.147874258,-0.149725399,TRUE,TRUE
5/21/2012,-0.221876525,-0.181130595,-0.184142639,TRUE,TRUE
5/17/2012,-0.211113658,-0.169901693,-0.168605849,TRUE,TRUE
3/6/2020,-0.204182287,-0.133103059,-0.136893112,TRUE,TRUE
3/10/2020,-0.202439447,-0.164610737,-0.179562086,TRUE,TRUE
3/6/2009,-0.199497487,-0.338587498,-0.331092649,FALSE,FALSE
3/17/2020,-0.198358389,-0.257875352,-0.245126002,FALSE,FALSE
5/18/2012,-0.197844263,-0.175857767,-0.177907071,TRUE,TRUE
11/17/2008,-0.195433342,-0.179781489,-0.181121419,TRUE,TRUE
3/5/2009,-0.194174757,-0.338587498,-0.331092649,FALSE,FALSE
10/27/2008,-0.190283439,-0.163894424,-0.1721156,TRUE,TRUE
2/20/2009,-0.189079088,-0.328891113,-0.322888398,FALSE,FALSE
10/16/2008,-0.187763217,-0.153372752,-0.163666165,TRUE,TRUE
3/9/2009,-0.185033316,-0.338587498,-0.331092649,FALSE,FALSE
8/8/2011,-0.183017467,-0.098383858,-0.095861806,TRUE,TRUE
12/22/2008,-0.18278985,-0.258621134,-0.29438016,FALSE,FALSE
11/25/2008,-0.181017837,-0.258621134,-0.290374472,FALSE,FALSE
5/16/2012,-0.179166709,-0.16381156,-0.163077051,TRUE,TRUE
5/22/2012,-0.178105433,-0.190579133,-0.193160666,FALSE,FALSE
1/22/2009,-0.177643289,-0.328891113,-0.322888398,FALSE,FALSE
5/15/2012,-0.172413766,-0.157602635,-0.157114188,TRUE,TRUE
3/10/2008,-0.171473976,-0.117357621,-0.120613618,TRUE,TRUE
3/5/2020,-0.17106701,-0.124481686,-0.124442412,TRUE,TRUE
5/14/2012,-0.167287087,-0.151133704,-0.151108656,TRUE,TRUE
5/24/2012,-0.166175765,-0.190579133,-0.194276399,FALSE,FALSE
1/14/2009,-0.164463076,-0.258621134,-0.29438016,FALSE,FALSE
11/14/2008,-0.164363612,-0.179781489,-0.178864563,FALSE,FALSE
1/12/2009,-0.164093932,-0.258621134,-0.29438016,FALSE,FALSE
11/22/2011,-0.160194175,-0.132823679,-0.141888318,TRUE,TRUE
2/28/2020,-0.157890943,-0.082842416,-0.087312253,TRUE,TRUE
5/23/2012,-0.156988217,-0.190579133,-0.194276399,FALSE,FALSE
10/9/2008,-0.156005503,-0.143022814,-0.145976161,TRUE,TRUE
8/10/2011,-0.154905319,-0.106118479,-0.117648772,TRUE,TRUE
3/23/2020,-0.154216638,-0.273721196,-0.27057667,FALSE,FALSE
8/19/2008,-0.150632541,-0.137398943,-0.141795245,TRUE,TRUE
10/24/2008,-0.149135426,-0.163894424,-0.171379829,FALSE,FALSE
11/28/2008,-0.148695863,-0.258621134,-0.290374472,FALSE,FALSE
5/11/2012,-0.147208145,-0.146044715,-0.148108464,TRUE,FALSE
6/22/2020,-0.147201388,-0.273721196,-0.27057667,FALSE,FALSE
1/13/2016,-0.145072313,-0.119204276,-0.11845967,TRUE,TRUE
3/7/2008,-0.145003392,-0.113221476,-0.113953696,TRUE,TRUE
10/17/2008,-0.143137249,-0.163894424,-0.171292794,FALSE,FALSE
2/19/2009,-0.143094878,-0.328891113,-0.322888398,FALSE,FALSE
3/2/2009,-0.142972898,-0.338587498,-0.331092649,FALSE,FALSE
12/23/2008,-0.142815022,-0.258621134,-0.29438016,FALSE,FALSE
