Date,PL,VaR,ES,Exception_VaR,Exception_ES
8/10/2017,-0.257942688,-0.185504239,-0.190503459,TRUE,TRUE
8/9/2017,-0.243411445,-0.181255644,-0.180512012,TRUE,TRUE
11/19/2015,-0.243140336,-0.186174604,-0.185569595,TRUE,TRUE
11/20/2015,-0.224340102,-0.199545399,-0.199160427,TRUE,TRUE
8/8/2017,-0.221570129,-0.181255644,-0.177155227,TRUE,TRUE
11/18/2015,-0.216314013,-0.172429853,-0.171940592,TRUE,TRUE
2/1/2008,-0.213534329,-0.185508464,-0.181521947,TRUE,TRUE
1/31/2008,-0.21224973,-0.16433295,-0.171763281,TRUE,TRUE
11/10/2015,-0.203010248,-0.116904584,-0.121502763,TRUE,TRUE
1/30/2008,-0.202813341,-0.155356435,-0.162034601,TRUE,TRUE
8/3/2016,-0.200590217,-0.209795168,-0.21214857,FALSE,FALSE
1/29/2008,-0.197800611,-0.154031035,-0.151066557,TRUE,TRUE
11/23/2015,-0.197710246,-0.209795168,-0.208148936,FALSE,FALSE
11/17/2015,-0.195939128,-0.167643452,-0.159932205,TRUE,TRUE
11/6/2008,-0.191055309,-0.200357103,-0.194386476,FALSE,FALSE
8/4/2017,-0.189317837,-0.167203986,-0.171307709,TRUE,TRUE
8/11/2017,-0.184101071,-0.205766506,-0.205499856,FALSE,FALSE
7/29/2016,-0.181897966,-0.209795168,-0.211913113,FALSE,FALSE
8/7/2017,-0.181534984,-0.175448187,-0.175262637,TRUE,TRUE
8/4/2016,-0.180964902,-0.209795168,-0.213454391,FALSE,FALSE
5/31/2006,-0.177166109,-0.140770764,-0.141069675,TRUE,TRUE
11/13/2015,-0.176011528,-0.12918139,-0.1379634,TRUE,TRUE
7/27/2016,-0.175738503,-0.209795168,-0.211913113,FALSE,FALSE
8/16/2017,-0.175320286,-0.205766506,-0.210857784,FALSE,FALSE
10/13/2008,-0.174096424,-0.200357103,-0.192881311,FALSE,FALSE
7/28/2016,-0.173992509,-0.209795168,-0.211913113,FALSE,FALSE
1/24/2008,-0.172714596,-0.137931862,-0.13877973,TRUE,TRUE
3/19/2020,-0.172607921,-0.116543954,-0.109158098,TRUE,TRUE
8/2/2016,-0.1697063,-0.209795168,-0.21214857,FALSE,FALSE
11/16/2015,-0.168701986,-0.150187325,-0.149990569,TRUE,TRUE
10/10/2008,-0.166825783,-0.200357103,-0.191407059,FALSE,FALSE
11/9/2015,-0.166541712,-0.104765983,-0.110623328,TRUE,TRUE
6/8/2006,-0.166338092,-0.148976408,-0.150854946,TRUE,TRUE
8/1/2016,-0.164599538,-0.209795168,-0.21214857,FALSE,FALSE
8/5/2016,-0.164215212,-0.209795168,-0.213454391,FALSE,FALSE
5/19/2014,-0.162321608,-0.077145326,-0.082149813,TRUE,TRUE
2/7/2018,-0.162275836,-0.205766506,-0.211473316,FALSE,FALSE
5/21/2014,-0.161239118,-0.102225716,-0.110638073,TRUE,TRUE
5/22/2014,-0.161134691,-0.13740802,-0.124708339,TRUE,TRUE
11/5/2008,-0.160614822,-0.200357103,-0.194386476,FALSE,FALSE
2/6/2018,-0.160561611,-0.205766506,-0.211473316,FALSE,FALSE
8/14/2017,-0.159931986,-0.205766506,-0.210658827,FALSE,FALSE
2/4/2008,-0.15827921,-0.200357103,-0.190959223,FALSE,FALSE
10/17/2008,-0.157761289,-0.200357103,-0.194386476,FALSE,FALSE
1/22/2008,-0.155609196,-0.127355978,-0.12541017,TRUE,TRUE
5/26/2014,-0.155275559,-0.157365546,-0.148830411,FALSE,TRUE
3/5/2007,-0.155093357,-0.152196625,-0.155237823,TRUE,FALSE
8/3/2017,-0.154958049,-0.175448187,-0.175618096,FALSE,FALSE
8/17/2017,-0.154421829,-0.205766506,-0.211473316,FALSE,FALSE
5/20/2014,-0.153442558,-0.081640244,-0.097423693,TRUE,TRUE
1/28/2008,-0.152925354,-0.150763151,-0.147119817,TRUE,TRUE
6/1/2006,-0.152336029,-0.143582963,-0.148159904,TRUE,TRUE
5/30/2006,-0.152051531,-0.138140205,-0.137315151,TRUE,TRUE
5/23/2014,-0.150588686,-0.157365546,-0.137903465,FALSE,TRUE
2/5/2018,-0.150119495,-0.205766506,-0.211473316,FALSE,FALSE
11/7/2008,-0.150041683,-0.200357103,-0.197556543,FALSE,FALSE
