Date,PL,VaR,ES,Exception_VaR,Exception_ES
6/1/2009,-0.492624694,-0.118309784,-0.112587677,TRUE,TRUE
5/22/2006,-0.298895889,-0.074908579,-0.107617318,TRUE,TRUE
5/23/2006,-0.245479017,-0.116995395,-0.145473175,TRUE,TRUE
2/12/2020,-0.229991433,-0.174333606,-0.170284747,TRUE,TRUE
5/19/2006,-0.229358093,-0.066435603,-0.080803606,TRUE,TRUE
1/28/2008,-0.228310502,-0.187317042,-0.164195679,TRUE,TRUE
2/10/2020,-0.223322963,-0.1301226,-0.121238395,TRUE,TRUE
1/31/2008,-0.216260247,-0.190955394,-0.198735727,TRUE,TRUE
2/11/2020,-0.215831604,-0.162033425,-0.146577094,TRUE,TRUE
1/23/2008,-0.214559888,-0.095564536,-0.112016781,TRUE,TRUE
2/17/2020,-0.200018181,-0.207006106,-0.205404754,FALSE,FALSE
2/14/2020,-0.197820384,-0.206909749,-0.200502465,FALSE,FALSE
2/13/2020,-0.197623736,-0.196340474,-0.191345808,TRUE,TRUE
3/11/2014,-0.194331723,-0.113003409,-0.11717842,TRUE,TRUE
1/24/2008,-0.193315146,-0.110719608,-0.132412998,TRUE,TRUE
1/22/2008,-0.188499326,-0.090766329,-0.095181818,TRUE,TRUE
5/24/2006,-0.188017145,-0.191233855,-0.174546417,FALSE,TRUE
1/25/2008,-0.186086501,-0.155447274,-0.14896101,TRUE,TRUE
1/30/2008,-0.185190462,-0.190955394,-0.196092605,FALSE,FALSE
1/29/2008,-0.184545875,-0.190955394,-0.185089666,FALSE,FALSE
5/25/2006,-0.184323683,-0.209101029,-0.193834492,FALSE,FALSE
3/12/2014,-0.184007901,-0.118887515,-0.133446718,TRUE,TRUE
10/4/2018,-0.183609762,-0.154402561,-0.150663197,TRUE,TRUE
10/5/2018,-0.182025894,-0.156532906,-0.158191064,TRUE,TRUE
5/26/2006,-0.178843092,-0.209101029,-0.210861446,FALSE,FALSE
2/6/2020,-0.176053788,-0.066797817,-0.084223495,TRUE,TRUE
6/13/2006,-0.173246482,-0.209101029,-0.218358984,FALSE,FALSE
2/7/2020,-0.172543213,-0.088822457,-0.103643076,TRUE,TRUE
3/23/2020,-0.172132675,-0.208083027,-0.20937948,FALSE,FALSE
10/8/2018,-0.171859942,-0.159171503,-0.164571148,TRUE,TRUE
3/10/2014,-0.171482732,-0.103759968,-0.104068203,TRUE,TRUE
3/13/2014,-0.168102542,-0.147390814,-0.147553963,TRUE,TRUE
3/19/2008,-0.161439524,-0.204149964,-0.203732676,FALSE,FALSE
9/25/2018,-0.160066348,-0.075033642,-0.082649884,TRUE,TRUE
3/24/2008,-0.159472839,-0.204149964,-0.203732676,FALSE,FALSE
6/8/2006,-0.159306934,-0.209101029,-0.218048848,FALSE,FALSE
9/28/2018,-0.158240134,-0.137083582,-0.123995219,TRUE,TRUE
3/18/2008,-0.157208547,-0.204149964,-0.203732676,FALSE,FALSE
10/1/2018,-0.154755995,-0.148797902,-0.136767381,TRUE,TRUE
9/26/2018,-0.154034702,-0.085058759,-0.097818051,TRUE,TRUE
5/18/2006,-0.151553526,-0.063316863,-0.066069146,TRUE,TRUE
6/14/2006,-0.151371671,-0.209101029,-0.218916566,FALSE,FALSE
2/5/2020,-0.151094665,-0.0649444,-0.068851289,TRUE,TRUE
