Date,PL,VaR,ES,Exception_VaR,Exception_ES
2/4/2009,-0.511581067,-0.469352384,-0.459821824,TRUE,TRUE
2/3/2009,-0.496037081,-0.465504338,-0.443865317,TRUE,TRUE
1/30/2009,-0.475744819,-0.397988443,-0.416880671,TRUE,TRUE
2/2/2009,-0.472802537,-0.432827039,-0.431118714,TRUE,TRUE
2/5/2009,-0.472501114,-0.474303101,-0.477909968,FALSE,FALSE
1/29/2009,-0.465761408,-0.395801676,-0.402691246,TRUE,TRUE
10/29/2008,-0.465236775,-0.344863117,-0.322186469,TRUE,TRUE
10/8/2008,-0.399094457,-0.202860855,-0.213069852,TRUE,TRUE
2/6/2009,-0.398658059,-0.474303101,-0.481717955,FALSE,FALSE
10/31/2008,-0.396837284,-0.385205079,-0.359657967,TRUE,TRUE
11/6/2008,-0.394723797,-0.392690122,-0.39735849,TRUE,FALSE
10/10/2008,-0.388373688,-0.227976401,-0.250794589,TRUE,TRUE
10/27/2008,-0.381907138,-0.277925451,-0.294997134,TRUE,TRUE
11/5/2008,-0.36258858,-0.392690122,-0.395685979,FALSE,FALSE
1/28/2009,-0.361418558,-0.395801676,-0.402691246,FALSE,FALSE
11/3/2008,-0.357810557,-0.392690122,-0.383976445,FALSE,FALSE
11/4/2008,-0.335109885,-0.392690122,-0.394533868,FALSE,FALSE
11/7/2008,-0.332277457,-0.395801676,-0.402691246,FALSE,FALSE
3/12/2020,-0.326799591,-0.177426853,-0.178661928,TRUE,TRUE
3/23/2020,-0.326530562,-0.289005485,-0.283516174,TRUE,TRUE
5/25/2017,-0.324799974,-0.217917151,-0.231071465,TRUE,TRUE
10/7/2008,-0.306307096,-0.182717519,-0.189419249,TRUE,TRUE
3/18/2020,-0.29613884,-0.230843385,-0.239916103,TRUE,TRUE
3/19/2020,-0.291443398,-0.266540625,-0.257333917,TRUE,TRUE
2/9/2009,-0.291011779,-0.474303101,-0.481717955,FALSE,FALSE
5/24/2017,-0.28826445,-0.215524705,-0.217176766,TRUE,TRUE
3/13/2020,-0.286468065,-0.184868176,-0.204061298,TRUE,TRUE
3/24/2020,-0.283323943,-0.293838074,-0.297654026,FALSE,FALSE
6/14/2006,-0.273943145,-0.19679062,-0.186522104,TRUE,TRUE
3/20/2020,-0.271507252,-0.289005485,-0.273524487,FALSE,FALSE
3/25/2020,-0.260139021,-0.293838074,-0.300572994,FALSE,FALSE
1/13/2009,-0.25696539,-0.395801676,-0.402691246,FALSE,FALSE
6/15/2006,-0.254730246,-0.21636667,-0.208213646,TRUE,TRUE
1/21/2009,-0.253745909,-0.395801676,-0.402691246,FALSE,FALSE
10/13/2008,-0.248385371,-0.270989842,-0.284551274,FALSE,FALSE
3/17/2020,-0.245799821,-0.20309062,-0.229158358,TRUE,TRUE
2/10/2009,-0.245679321,-0.474303101,-0.481717955,FALSE,FALSE
5/23/2017,-0.24350854,-0.21315267,-0.207943768,TRUE,TRUE
6/13/2006,-0.239147136,-0.160817235,-0.169652787,TRUE,TRUE
10/6/2008,-0.234231068,-0.173061929,-0.175721795,TRUE,TRUE
1/22/2008,-0.221466442,-0.13137306,-0.139638062,TRUE,TRUE
6/8/2006,-0.220256201,-0.132144397,-0.133092736,TRUE,TRUE
5/19/2017,-0.21943275,-0.201221228,-0.179079012,TRUE,TRUE
1/12/2009,-0.21687366,-0.395801676,-0.402691246,FALSE,FALSE
5/22/2017,-0.216339692,-0.206698851,-0.195030285,TRUE,TRUE
3/16/2020,-0.215276482,-0.190103498,-0.222565263,TRUE,FALSE
5/18/2017,-0.214676454,-0.171410888,-0.163585855,TRUE,TRUE
12/11/2008,-0.214154168,-0.395801676,-0.402691246,FALSE,FALSE
6/18/2009,-0.213385063,-0.474303101,-0.481717955,FALSE,FALSE
6/12/2006,-0.212318383,-0.13979576,-0.15627055,TRUE,TRUE
5/17/2017,-0.21156669,-0.130639656,-0.148082369,TRUE,TRUE
1/22/2009,-0.209149109,-0.395801676,-0.402691246,FALSE,FALSE
6/19/2006,-0.204183573,-0.229890578,-0.228541724,FALSE,FALSE
5/16/2017,-0.201632326,-0.119452196,-0.13391575,TRUE,TRUE
5/15/2017,-0.200793351,-0.116882176,-0.118903248,TRUE,TRUE
1/23/2009,-0.199685492,-0.395801676,-0.402691246,FALSE,FALSE
8/20/2009,-0.193305736,-0.474303101,-0.481717955,FALSE,FALSE
10/14/2019,-0.190407376,-0.170406929,-0.170247521,TRUE,TRUE
10/7/2019,-0.189787217,-0.152417346,-0.152350139,TRUE,TRUE
12/10/2008,-0.188955734,-0.395801676,-0.402691246,FALSE,FALSE
1/21/2008,-0.183495856,-0.115901752,-0.12431859,TRUE,TRUE
1/27/2009,-0.183101627,-0.395801676,-0.402691246,FALSE,FALSE
6/16/2006,-0.182833393,-0.229890578,-0.226571739,FALSE,FALSE
5/26/2017,-0.18280558,-0.231711403,-0.249586165,FALSE,FALSE
10/3/2008,-0.181907413,-0.162795916,-0.170170674,TRUE,TRUE
6/9/2006,-0.180629071,-0.137403902,-0.147882708,TRUE,TRUE
8/21/2009,-0.179984175,-0.474303101,-0.481717955,FALSE,FALSE
3/2/2020,-0.179748359,-0.173166321,-0.175805216,TRUE,TRUE
3/5/2007,-0.178938847,-0.229890578,-0.232045925,FALSE,FALSE
1/18/2016,-0.178604067,-0.151524399,-0.150153755,TRUE,TRUE
8/24/2009,-0.177687591,-0.474303101,-0.481717955,FALSE,FALSE
7/6/2020,-0.176527177,-0.293838074,-0.300572994,FALSE,FALSE
1/20/2009,-0.175523098,-0.395801676,-0.402691246,FALSE,FALSE
10/9/2019,-0.175010592,-0.154657363,-0.159961702,TRUE,TRUE
8/19/2009,-0.172535174,-0.474303101,-0.481717955,FALSE,FALSE
9/1/2009,-0.172242363,-0.474303101,-0.481717955,FALSE,FALSE
10/11/2019,-0.171246775,-0.166633432,-0.167241425,TRUE,TRUE
10/10/2019,-0.169532803,-0.160240968,-0.164354153,TRUE,TRUE
11/10/2008,-0.168829539,-0.395801676,-0.402691246,FALSE,FALSE
6/20/2006,-0.164883286,-0.229890578,-0.232045925,FALSE,FALSE
9/17/2008,-0.163855404,-0.137469925,-0.155464159,TRUE,TRUE
7/2/2019,-0.163615719,-0.140103269,-0.1424629,TRUE,TRUE
9/4/2015,-0.163433316,-0.111093158,-0.112947858,TRUE,TRUE
9/10/2015,-0.162578495,-0.140487305,-0.138028391,TRUE,TRUE
1/19/2016,-0.161969963,-0.157790168,-0.157873394,TRUE,TRUE
9/18/2008,-0.161693184,-0.152688511,-0.161402936,TRUE,TRUE
5/19/2014,-0.158408512,-0.09446643,-0.102044407,TRUE,TRUE
6/28/2019,-0.156728472,-0.134558813,-0.133670791,TRUE,TRUE
2/9/2018,-0.156168684,-0.231711403,-0.249586165,FALSE,FALSE
12/12/2008,-0.155818232,-0.395801676,-0.402691246,FALSE,FALSE
1/18/2011,-0.155403524,-0.130850754,-0.124207657,TRUE,TRUE
10/14/2008,-0.154311237,-0.277925451,-0.294997134,FALSE,FALSE
8/28/2009,-0.152862451,-0.474303101,-0.481717955,FALSE,FALSE
9/8/2015,-0.152806399,-0.11922147,-0.12405283,TRUE,TRUE
2/28/2020,-0.15277783,-0.173166321,-0.175805216,FALSE,FALSE
7/1/2019,-0.15250172,-0.136159749,-0.138495371,TRUE,TRUE
8/16/2019,-0.152329529,-0.150766682,-0.150104104,TRUE,TRUE
9/9/2015,-0.150190072,-0.126647181,-0.131485309,TRUE,TRUE
7/4/2019,-0.148960827,-0.148016701,-0.147498765,TRUE,TRUE
9/19/2008,-0.148883758,-0.162795916,-0.166173255,FALSE,FALSE
9/25/2008,-0.147836654,-0.162795916,-0.168622765,FALSE,FALSE
5/29/2017,-0.146522178,-0.231711403,-0.249586165,FALSE,FALSE
9/11/2015,-0.146499235,-0.151524399,-0.145765816,FALSE,TRUE
8/27/2009,-0.146170286,-0.474303101,-0.481717955,FALSE,FALSE
6/17/2009,-0.14589236,-0.474303101,-0.481717955,FALSE,FALSE
1/21/2016,-0.145569958,-0.162280314,-0.160993139,FALSE,FALSE
5/16/2014,-0.145416993,-0.088968143,-0.091580573,TRUE,TRUE
9/30/2008,-0.145341667,-0.162795916,-0.169999641,FALSE,FALSE
3/7/2007,-0.144551959,-0.229890578,-0.232045925,FALSE,FALSE
8/10/2017,-0.144383189,-0.231711403,-0.249586165,FALSE,FALSE
2/3/2020,-0.143855176,-0.173166321,-0.175805216,FALSE,FALSE
6/27/2019,-0.143348621,-0.130832316,-0.130542378,TRUE,TRUE
10/3/2006,-0.143181795,-0.229890578,-0.232045925,FALSE,FALSE
10/4/2006,-0.143164532,-0.229890578,-0.232045925,FALSE,FALSE
2/28/2011,-0.14261345,-0.129050991,-0.130200744,TRUE,TRUE
1/29/2010,-0.142174203,-0.474303101,-0.479054807,FALSE,FALSE
7/7/2020,-0.141237113,-0.293838074,-0.300572994,FALSE,FALSE
1/31/2008,-0.141065828,-0.162089272,-0.16044744,FALSE,FALSE
10/5/2006,-0.140830865,-0.229890578,-0.232045925,FALSE,FALSE
5/12/2017,-0.140829141,-0.1145087,-0.111978361,TRUE,TRUE
