Date,PL,VaR,ES,Exception_VaR,Exception_ES
12/17/2013,-0.33661706,-0.280843839,-0.28228676,TRUE,TRUE
12/18/2013,-0.329203784,-0.298034363,-0.29969556,TRUE,TRUE
12/16/2013,-0.324698418,-0.275690522,-0.250266395,TRUE,TRUE
12/13/2013,-0.312001188,-0.266732168,-0.215685972,TRUE,TRUE
12/12/2013,-0.283497463,-0.196912835,-0.181434894,TRUE,TRUE
12/10/2013,-0.278081903,-0.087564692,-0.113979842,TRUE,TRUE
12/11/2013,-0.273201534,-0.118157525,-0.14844605,TRUE,TRUE
12/9/2013,-0.259998746,-0.068967272,-0.081559805,TRUE,TRUE
6/13/2006,-0.241512412,-0.169249246,-0.168171067,TRUE,TRUE
6/14/2006,-0.218019415,-0.194117015,-0.1846292,TRUE,TRUE
6/8/2006,-0.202532323,-0.137905099,-0.137699808,TRUE,TRUE
6/12/2006,-0.196124325,-0.14348185,-0.158518695,TRUE,TRUE
1/21/2008,-0.194369832,-0.099848993,-0.104370834,TRUE,TRUE
6/9/2006,-0.192027774,-0.140400509,-0.149163479,TRUE,TRUE
9/27/2018,-0.186470044,-0.135092127,-0.122311848,TRUE,TRUE
10/8/2018,-0.182254536,-0.166861919,-0.170728358,TRUE,TRUE
9/26/2018,-0.175614935,-0.088936143,-0.104096717,TRUE,TRUE
9/25/2018,-0.167101709,-0.068640253,-0.086502252,TRUE,TRUE
10/1/2018,-0.166612341,-0.166095137,-0.157044929,TRUE,TRUE
3/23/2020,-0.165174589,-0.089263409,-0.088227098,TRUE,TRUE
9/28/2018,-0.165047481,-0.166091603,-0.141988002,FALSE,TRUE
9/24/2018,-0.165040268,-0.063248681,-0.06830222,TRUE,TRUE
10/3/2018,-0.164661837,-0.166861919,-0.168298749,FALSE,FALSE
1/22/2008,-0.162534626,-0.112194156,-0.12163971,TRUE,TRUE
10/4/2018,-0.160787198,-0.166861919,-0.170728358,FALSE,FALSE
5/18/2020,-0.159978334,-0.124904158,-0.128023016,TRUE,TRUE
1/24/2008,-0.159138179,-0.145839971,-0.143363426,TRUE,TRUE
3/18/2016,-0.155858008,-0.124009931,-0.122675634,TRUE,TRUE
1/23/2008,-0.153479271,-0.128729442,-0.133663461,TRUE,TRUE
6/15/2006,-0.150787663,-0.199392404,-0.196974704,FALSE,FALSE
3/24/2020,-0.145702937,-0.090032768,-0.101888618,TRUE,TRUE
6/7/2006,-0.145540983,-0.135290941,-0.134975926,TRUE,TRUE
7/8/2009,-0.141938461,-0.125921118,-0.125772092,TRUE,TRUE
5/25/2006,-0.141338672,-0.122304603,-0.122695219,TRUE,TRUE
3/21/2016,-0.140729647,-0.124319877,-0.128971031,TRUE,TRUE
10/24/2008,-0.139989059,-0.156365314,-0.15253939,FALSE,FALSE
5/23/2006,-0.139424053,-0.110395561,-0.111555817,TRUE,TRUE
10/9/2018,-0.138506058,-0.171443454,-0.173497778,FALSE,FALSE
10/5/2018,-0.138072509,-0.166861919,-0.170728358,FALSE,FALSE
2/6/2007,-0.137888862,-0.199392404,-0.197982265,FALSE,FALSE
3/25/2020,-0.137149023,-0.093336242,-0.111600961,TRUE,TRUE
5/24/2006,-0.136324146,-0.111684023,-0.117561696,TRUE,TRUE
10/20/2008,-0.136226354,-0.156365314,-0.149391864,FALSE,FALSE
5/26/2006,-0.134215565,-0.134001471,-0.127923825,TRUE,TRUE
5/19/2020,-0.13363192,-0.141511519,-0.13707827,FALSE,FALSE
5/22/2006,-0.131583993,-0.107280141,-0.105498102,TRUE,TRUE
12/6/2013,-0.131251987,-0.06609343,-0.069246692,TRUE,TRUE
3/22/2016,-0.130324383,-0.125135602,-0.132088148,TRUE,FALSE
6/1/2006,-0.128785542,-0.135290941,-0.13435551,FALSE,FALSE
7/13/2009,-0.128597576,-0.131813275,-0.130402808,FALSE,FALSE
5/31/2006,-0.127710258,-0.135290941,-0.132407847,FALSE,FALSE
10/27/2008,-0.127220069,-0.156365314,-0.15605485,FALSE,FALSE
6/12/2015,-0.125786628,-0.1112805,-0.111131357,TRUE,TRUE
10/29/2008,-0.124569148,-0.156365314,-0.156406774,FALSE,FALSE
4/28/2015,-0.124458003,-0.076937467,-0.082840123,TRUE,TRUE
3/17/2016,-0.124176114,-0.123339749,-0.121417413,TRUE,TRUE
2/24/2016,-0.123836966,-0.119736075,-0.120045872,TRUE,TRUE
2/23/2016,-0.122822237,-0.116500101,-0.118532157,TRUE,TRUE
2/5/2007,-0.119196168,-0.199392404,-0.197982265,FALSE,FALSE
1/28/2008,-0.11842197,-0.156365314,-0.152453364,FALSE,FALSE
7/14/2009,-0.117779796,-0.132488253,-0.13243866,FALSE,FALSE
10/17/2008,-0.116803825,-0.156365314,-0.149109483,FALSE,FALSE
2/19/2016,-0.116523947,-0.1161557,-0.117892203,TRUE,FALSE
5/29/2006,-0.116500999,-0.135290941,-0.131712555,FALSE,FALSE
2/17/2016,-0.116475282,-0.114728925,-0.117129747,TRUE,FALSE
6/15/2015,-0.115823073,-0.112845158,-0.115527471,TRUE,TRUE
1/29/2008,-0.115805796,-0.156365314,-0.152993989,FALSE,FALSE
4/27/2015,-0.113590117,-0.075571452,-0.07552289,TRUE,TRUE
11/25/2008,-0.113082525,-0.156365314,-0.156406774,FALSE,FALSE
7/1/2008,-0.112738377,-0.156365314,-0.149099722,FALSE,FALSE
2/16/2016,-0.11267572,-0.114728925,-0.116795632,FALSE,FALSE
4/21/2006,-0.112646462,-0.090968222,-0.092090202,TRUE,TRUE
3/19/2008,-0.11249436,-0.156365314,-0.149067444,FALSE,FALSE
