Date,PL,VaR,ES,Exception_VaR,Exception_ES
6/1/2009,-0.234678166,-0.185129694,-0.175196242,TRUE,TRUE
5/29/2017,-0.232026898,-0.125150353,-0.126454112,TRUE,TRUE
5/31/2017,-0.229374731,-0.141690452,-0.162497492,TRUE,TRUE
6/1/2017,-0.224023239,-0.186139709,-0.17965934,TRUE,TRUE
5/30/2017,-0.221276893,-0.129864448,-0.145540548,TRUE,TRUE
12/10/2018,-0.218795888,-0.189587554,-0.184300717,TRUE,TRUE
12/7/2018,-0.218081585,-0.164561473,-0.171141801,TRUE,TRUE
12/5/2018,-0.214102193,-0.140732355,-0.143607204,TRUE,TRUE
6/2/2017,-0.211743157,-0.22267753,-0.195405374,FALSE,TRUE
12/6/2018,-0.211504151,-0.153857845,-0.158435093,TRUE,TRUE
6/8/2006,-0.208680312,-0.106113184,-0.115092233,TRUE,TRUE
10/31/2008,-0.200421864,-0.140942123,-0.144529081,TRUE,TRUE
6/5/2017,-0.198937798,-0.22267753,-0.208221764,FALSE,FALSE
4/28/2015,-0.1964464,-0.166429797,-0.154275521,TRUE,TRUE
8/10/2017,-0.194546395,-0.22267753,-0.218039215,FALSE,FALSE
11/10/2015,-0.194464323,-0.183211351,-0.181334683,TRUE,TRUE
11/4/2008,-0.193296959,-0.167780258,-0.166495946,TRUE,TRUE
3/23/2020,-0.190571203,-0.110526356,-0.11337192,TRUE,TRUE
11/3/2008,-0.190523377,-0.151907322,-0.156878629,TRUE,TRUE
4/21/2015,-0.185666662,-0.084859534,-0.086233464,TRUE,TRUE
6/9/2015,-0.185153497,-0.177016367,-0.17723155,TRUE,TRUE
8/11/2017,-0.183006518,-0.22267753,-0.21856309,FALSE,FALSE
8/9/2017,-0.181449515,-0.22267753,-0.217933164,FALSE,FALSE
4/23/2015,-0.181189934,-0.092149977,-0.115243553,TRUE,TRUE
2/8/2011,-0.181124266,-0.133092625,-0.134181301,TRUE,TRUE
10/29/2008,-0.17951586,-0.132723526,-0.133838313,TRUE,TRUE
6/6/2017,-0.178798229,-0.22267753,-0.216763969,FALSE,FALSE
11/13/2015,-0.178525888,-0.185415211,-0.185384112,FALSE,FALSE
6/30/2009,-0.177719133,-0.191937904,-0.191695364,FALSE,FALSE
4/27/2015,-0.17267245,-0.154639694,-0.141046263,TRUE,TRUE
6/8/2015,-0.172229738,-0.177016367,-0.174874139,FALSE,FALSE
12/4/2018,-0.166776401,-0.135520951,-0.135160024,TRUE,TRUE
11/5/2008,-0.164744252,-0.185129694,-0.176127439,FALSE,FALSE
11/27/2018,-0.162256139,-0.113692161,-0.120576755,TRUE,TRUE
4/22/2015,-0.159932341,-0.088512766,-0.102875249,TRUE,TRUE
11/16/2015,-0.159574464,-0.185415211,-0.186338371,FALSE,FALSE
4/29/2015,-0.158238648,-0.177016367,-0.170916114,FALSE,FALSE
6/12/2015,-0.1579029,-0.183211351,-0.181334683,FALSE,FALSE
6/10/2015,-0.156270836,-0.183211351,-0.181334683,FALSE,FALSE
