Date,PL,VaR,ES,Exception_VaR,Exception_ES
3/23/2020,-0.530677438,-0.298868185,-0.30727828,TRUE,TRUE
3/24/2020,-0.513832091,-0.340280173,-0.352480841,TRUE,TRUE
3/25/2020,-0.472350043,-0.37037272,-0.392011759,TRUE,TRUE
11/25/2008,-0.381589763,-0.305356136,-0.296315314,TRUE,TRUE
3/19/2020,-0.37225155,-0.263066552,-0.245651043,TRUE,TRUE
3/26/2020,-0.371560066,-0.423301782,-0.422413552,FALSE,FALSE
3/20/2020,-0.368417202,-0.278587277,-0.281578296,TRUE,TRUE
3/27/2020,-0.367528116,-0.423301782,-0.43309393,FALSE,FALSE
11/19/2008,-0.332422479,-0.222825337,-0.224373096,TRUE,TRUE
11/20/2008,-0.327731813,-0.238415539,-0.246970221,TRUE,TRUE
11/24/2008,-0.316454591,-0.283650578,-0.281403605,TRUE,TRUE
3/18/2020,-0.310994695,-0.241395011,-0.217404362,TRUE,TRUE
11/21/2008,-0.293804683,-0.263020724,-0.268705352,TRUE,TRUE
3/17/2020,-0.286246715,-0.189337197,-0.189747259,TRUE,TRUE
1/21/2009,-0.284422965,-0.322205974,-0.320516395,FALSE,FALSE
11/26/2008,-0.282953635,-0.322205974,-0.318115606,FALSE,FALSE
3/30/2020,-0.276150237,-0.423301782,-0.435355267,FALSE,FALSE
11/18/2008,-0.27308202,-0.20727065,-0.211131595,TRUE,TRUE
3/16/2020,-0.270615209,-0.145388891,-0.162897402,TRUE,TRUE
8/28/2013,-0.266725033,-0.151642902,-0.15203053,TRUE,TRUE
3/2/2009,-0.266348756,-0.322205974,-0.321146352,FALSE,FALSE
8/29/2013,-0.259960006,-0.160685565,-0.173373909,TRUE,TRUE
3/12/2020,-0.255209786,-0.110482702,-0.116715217,TRUE,TRUE
7/1/2008,-0.252548763,-0.186120539,-0.18883781,TRUE,TRUE
1/20/2009,-0.245848909,-0.322205974,-0.320516395,FALSE,FALSE
3/9/2009,-0.244969168,-0.322205974,-0.321146352,FALSE,FALSE
4/1/2020,-0.242475478,-0.423301782,-0.435355267,FALSE,FALSE
3/6/2009,-0.240700213,-0.322205974,-0.321146352,FALSE,FALSE
4/3/2020,-0.240046674,-0.423301782,-0.435355267,FALSE,FALSE
3/5/2009,-0.237285979,-0.322205974,-0.321146352,FALSE,FALSE
11/27/2008,-0.230059009,-0.322205974,-0.320516395,FALSE,FALSE
3/13/2020,-0.227016367,-0.128681782,-0.142211855,TRUE,TRUE
3/7/2007,-0.22574332,-0.186833946,-0.186101325,TRUE,TRUE
3/3/2009,-0.224212017,-0.322205974,-0.321146352,FALSE,FALSE
3/31/2020,-0.223917282,-0.423301782,-0.435355267,FALSE,FALSE
