Date,PL,VaR,ES,Exception_VaR,Exception_ES
10/28/2009,-0.521395447,-0.240141411,-0.265678961,TRUE,TRUE
5/15/2009,-0.463823516,-0.223727559,-0.224254796,TRUE,TRUE
3/23/2020,-0.320160392,-0.197393775,-0.193876649,TRUE,TRUE
3/24/2020,-0.306691973,-0.226970156,-0.222972536,TRUE,TRUE
3/18/2020,-0.257996287,-0.128640707,-0.122045953,TRUE,TRUE
11/20/2008,-0.252333011,-0.204842277,-0.19626253,TRUE,TRUE
11/25/2008,-0.241028427,-0.20644313,-0.218000456,TRUE,TRUE
11/24/2008,-0.239218189,-0.205122399,-0.210247464,TRUE,TRUE
3/20/2020,-0.233204504,-0.162540739,-0.172928389,TRUE,TRUE
3/25/2020,-0.230786531,-0.245848313,-0.247954772,FALSE,FALSE
3/19/2020,-0.220481345,-0.149859055,-0.15098465,TRUE,TRUE
10/17/2008,-0.207604657,-0.174503847,-0.175854722,TRUE,TRUE
10/27/2008,-0.205234193,-0.180998561,-0.18405004,TRUE,TRUE
11/19/2008,-0.205006041,-0.193478745,-0.190411955,TRUE,TRUE
7/1/2008,-0.204671828,-0.163209301,-0.160159417,TRUE,TRUE
11/21/2008,-0.193739717,-0.205122399,-0.208273943,FALSE,FALSE
1/21/2009,-0.191703024,-0.223727559,-0.224254796,FALSE,FALSE
10/10/2008,-0.181828802,-0.168244583,-0.170427831,TRUE,TRUE
6/13/2008,-0.180134433,-0.15444792,-0.153677457,TRUE,TRUE
3/17/2020,-0.173363856,-0.096697165,-0.105671133,TRUE,TRUE
1/22/2008,-0.168643442,-0.117517976,-0.119647446,TRUE,TRUE
3/30/2020,-0.167933943,-0.245848313,-0.258025919,FALSE,FALSE
3/7/2008,-0.167829444,-0.136598036,-0.136636061,TRUE,TRUE
10/29/2008,-0.166564394,-0.193478745,-0.190411955,FALSE,FALSE
3/17/2008,-0.15840058,-0.140353179,-0.144509657,TRUE,TRUE
3/27/2020,-0.154561628,-0.245848313,-0.258025919,FALSE,FALSE
10/20/2008,-0.153164754,-0.180998561,-0.18405004,FALSE,FALSE
3/16/2020,-0.151275863,-0.081888012,-0.092315176,TRUE,TRUE
6/10/2008,-0.150333927,-0.14969847,-0.151556047,TRUE,FALSE
3/12/2020,-0.148384417,-0.070018913,-0.0719085,TRUE,TRUE
2/26/2007,-0.145492857,-0.1339207,-0.131670605,TRUE,TRUE
11/18/2008,-0.145205717,-0.193478745,-0.190411955,FALSE,FALSE
6/14/2006,-0.142579139,-0.117498445,-0.120266939,TRUE,TRUE
1/23/2009,-0.142555253,-0.223727559,-0.224254796,FALSE,FALSE
1/29/2008,-0.140641172,-0.130968212,-0.135467506,TRUE,TRUE
3/4/2008,-0.14005343,-0.121735301,-0.128091562,TRUE,TRUE
6/4/2008,-0.138328459,-0.14969847,-0.150741365,FALSE,FALSE
2/23/2007,-0.136601213,-0.130178324,-0.128531012,TRUE,TRUE
7/19/2006,-0.136487457,-0.123454697,-0.125193087,TRUE,TRUE
1/17/2011,-0.134867202,-0.090592556,-0.096118634,TRUE,TRUE
6/3/2008,-0.133315061,-0.14969847,-0.150433795,FALSE,FALSE
3/5/2008,-0.133001606,-0.131638644,-0.133225797,TRUE,FALSE
10/7/2008,-0.132121197,-0.168244583,-0.170427831,FALSE,FALSE
6/13/2006,-0.131249177,-0.116598001,-0.115430913,TRUE,TRUE
5/25/2006,-0.129063764,-0.08712906,-0.093120129,TRUE,TRUE
12/19/2011,-0.128755365,-0.116534323,-0.115321177,TRUE,TRUE
6/2/2008,-0.126566188,-0.14969847,-0.150286364,FALSE,FALSE
1/14/2011,-0.126494315,-0.087106578,-0.088634055,TRUE,TRUE
1/20/2009,-0.12608946,-0.223727559,-0.224254796,FALSE,FALSE
2/28/2007,-0.125105293,-0.136545472,-0.136140444,FALSE,FALSE
6/30/2008,-0.123428363,-0.163209301,-0.160159417,FALSE,FALSE
7/3/2008,-0.123335841,-0.168244583,-0.170427831,FALSE,FALSE
6/16/2008,-0.123044637,-0.163209301,-0.160159417,FALSE,FALSE
1/24/2008,-0.122880397,-0.130968212,-0.133122871,FALSE,FALSE
6/9/2008,-0.121697793,-0.14969847,-0.151556047,FALSE,FALSE
7/16/2008,-0.120669529,-0.168244583,-0.170427831,FALSE,FALSE
