Date,PL,VaR,ES,Exception_VaR,Exception_ES
2/27/2018,-0.391586751,-0.283011186,-0.279117985,TRUE,TRUE
3/12/2020,-0.313326579,-0.204719402,-0.196392263,TRUE,TRUE
2/28/2018,-0.304765185,-0.286893699,-0.299554722,TRUE,TRUE
2/23/2018,-0.288045229,-0.269847039,-0.264861771,TRUE,TRUE
2/20/2018,-0.288026847,-0.216704465,-0.211139014,TRUE,TRUE
2/26/2018,-0.285714299,-0.27601168,-0.273614392,TRUE,TRUE
2/19/2018,-0.280197741,-0.170708949,-0.190673829,TRUE,TRUE
2/21/2018,-0.271654761,-0.251110313,-0.232122938,TRUE,TRUE
2/22/2018,-0.267965533,-0.261794597,-0.250134714,TRUE,TRUE
9/28/2018,-0.264325329,-0.288036222,-0.304999959,FALSE,FALSE
7/1/2008,-0.255305587,-0.17994391,-0.188642741,TRUE,TRUE
2/15/2018,-0.251531978,-0.156349307,-0.155884877,TRUE,TRUE
2/16/2018,-0.250671437,-0.158551939,-0.173496605,TRUE,TRUE
6/14/2006,-0.241140875,-0.161035518,-0.174885569,TRUE,TRUE
6/13/2006,-0.240689415,-0.155906945,-0.156714119,TRUE,TRUE
3/17/2008,-0.238667403,-0.166695467,-0.16945938,TRUE,TRUE
10/1/2018,-0.236714991,-0.288036222,-0.304999959,FALSE,FALSE
9/27/2018,-0.235006092,-0.288036222,-0.304999959,FALSE,FALSE
3/11/2020,-0.229458929,-0.192867852,-0.18311961,TRUE,TRUE
9/2/2015,-0.22886903,-0.197178592,-0.195715896,TRUE,TRUE
10/3/2018,-0.221084313,-0.288036222,-0.304999959,FALSE,FALSE
1/15/2016,-0.215986407,-0.20282203,-0.20371225,TRUE,TRUE
8/6/2013,-0.212854457,-0.14719433,-0.152417963,TRUE,TRUE
3/1/2018,-0.212085747,-0.288036222,-0.304999959,FALSE,FALSE
3/2/2020,-0.211254627,-0.145201262,-0.148623088,TRUE,TRUE
3/9/2020,-0.210526284,-0.170766285,-0.172776305,TRUE,TRUE
4/7/2020,-0.210249677,-0.210897739,-0.227846551,FALSE,FALSE
9/1/2015,-0.209847607,-0.191649304,-0.1885663,TRUE,TRUE
