Date,PL,VaR,ES,Exception_VaR,Exception_ES
3/23/2020,-0.184367665,-0.115466553,-0.118382629,TRUE,TRUE
3/11/2009,-0.170645249,-0.15384126,-0.15381983,TRUE,TRUE
3/20/2020,-0.168093936,-0.102874441,-0.105851962,TRUE,TRUE
10/10/2008,-0.167508418,-0.081983624,-0.092555952,TRUE,TRUE
2/27/2009,-0.156600717,-0.090575663,-0.111197213,TRUE,TRUE
3/5/2009,-0.154608849,-0.151737854,-0.147812047,TRUE,TRUE
10/9/2008,-0.153042341,-0.078547161,-0.079940686,TRUE,TRUE
3/3/2009,-0.150380122,-0.148510276,-0.131838387,TRUE,TRUE
8/25/2015,-0.148640547,-0.053799589,-0.063587858,TRUE,TRUE
3/2/2009,-0.143793229,-0.12309287,-0.122757213,TRUE,TRUE
3/10/2009,-0.141761052,-0.15384126,-0.15343534,FALSE,FALSE
5/6/2016,-0.138611632,-0.134877807,-0.132886906,TRUE,TRUE
3/24/2020,-0.138353059,-0.127036454,-0.133499609,TRUE,TRUE
8/24/2015,-0.137386478,-0.046290111,-0.048069413,TRUE,TRUE
5/9/2016,-0.137014276,-0.136805795,-0.135590798,TRUE,TRUE
9/1/2015,-0.13620141,-0.111715777,-0.110718567,TRUE,TRUE
5/4/2016,-0.133500179,-0.129233133,-0.130398979,TRUE,TRUE
5/11/2016,-0.132785848,-0.137204099,-0.138285641,FALSE,FALSE
3/6/2009,-0.132148806,-0.15384126,-0.153330197,FALSE,FALSE
5/10/2016,-0.131722946,-0.137204099,-0.137921009,FALSE,FALSE
2/28/2020,-0.131371234,-0.082256198,-0.078516995,TRUE,TRUE
3/4/2009,-0.129520223,-0.151737854,-0.141686345,FALSE,FALSE
3/9/2009,-0.126404568,-0.15384126,-0.15343534,FALSE,FALSE
5/5/2016,-0.12260713,-0.134877807,-0.132613378,FALSE,FALSE
3/3/2020,-0.122524745,-0.08870655,-0.095404313,TRUE,TRUE
8/26/2015,-0.121980435,-0.058143421,-0.080797255,TRUE,TRUE
1/13/2016,-0.120907922,-0.129233133,-0.125151261,FALSE,FALSE
5/3/2016,-0.120866573,-0.129233133,-0.129479631,FALSE,FALSE
5/2/2016,-0.116041021,-0.129233133,-0.128551931,FALSE,FALSE
9/2/2015,-0.11235951,-0.129233133,-0.120074291,FALSE,FALSE
4/6/2009,-0.110746471,-0.155624702,-0.158197441,FALSE,FALSE
2/8/2018,-0.109933579,-0.039662061,-0.039763199,TRUE,TRUE
2/27/2020,-0.108120271,-0.070705095,-0.070073662,TRUE,TRUE
4/15/2009,-0.105660382,-0.155624702,-0.158197441,FALSE,FALSE
4/29/2016,-0.103893066,-0.129233133,-0.128437495,FALSE,FALSE
8/31/2015,-0.101032154,-0.103502167,-0.103960265,FALSE,FALSE
2/9/2018,-0.098549357,-0.041567796,-0.052038212,TRUE,TRUE
9/29/2015,-0.098379386,-0.129233133,-0.125024283,FALSE,FALSE
1/8/2016,-0.098226168,-0.129233133,-0.125151261,FALSE,FALSE
3/16/2020,-0.097414495,-0.099202548,-0.104540035,FALSE,FALSE
1/15/2016,-0.0973057,-0.129233133,-0.128437495,FALSE,FALSE
1/11/2016,-0.096895747,-0.129233133,-0.125151261,FALSE,FALSE
8/10/2011,-0.095311596,-0.069254115,-0.071294695,TRUE,TRUE
9/28/2015,-0.095204938,-0.129233133,-0.124834466,FALSE,FALSE
1/29/2014,-0.094010665,-0.069295055,-0.068967586,TRUE,TRUE
3/25/2020,-0.093994063,-0.134931965,-0.140349525,FALSE,FALSE
2/12/2018,-0.093192243,-0.045880453,-0.0621439,TRUE,TRUE
11/1/2012,-0.09261059,-0.076762021,-0.074097231,TRUE,TRUE
1/14/2016,-0.092114027,-0.129233133,-0.128437495,FALSE,FALSE
2/26/2009,-0.091920971,-0.088499127,-0.109787845,TRUE,FALSE
10/31/2012,-0.090909115,-0.072378623,-0.068231139,TRUE,TRUE
9/3/2015,-0.090459511,-0.129233133,-0.124586873,FALSE,FALSE
2/3/2014,-0.09010162,-0.074395234,-0.077313611,TRUE,TRUE
3/9/2020,-0.089920835,-0.09913533,-0.103993778,FALSE,FALSE
3/2/2020,-0.089783656,-0.085471129,-0.0904861,TRUE,FALSE
3/5/2020,-0.089758106,-0.09913533,-0.102879193,FALSE,FALSE
12/1/2008,-0.089175445,-0.086306939,-0.108651111,TRUE,FALSE
1/28/2016,-0.088629595,-0.129233133,-0.128437495,FALSE,FALSE
3/10/2008,-0.087795205,-0.072672283,-0.072551484,TRUE,TRUE
2/26/2020,-0.087585479,-0.058337811,-0.0645229,TRUE,TRUE
3/27/2020,-0.086834095,-0.134931965,-0.140349525,FALSE,FALSE
9/4/2015,-0.086144726,-0.129233133,-0.124834466,FALSE,FALSE
8/8/2011,-0.085964205,-0.064028292,-0.06673806,TRUE,TRUE
4/16/2009,-0.085867238,-0.155624702,-0.158197441,FALSE,FALSE
3/11/2008,-0.084757929,-0.075489004,-0.075927639,TRUE,TRUE
