Date,PL,VaR,ES,Exception_VaR,Exception_ES
3/12/2020,-0.352224259,-0.175140469,-0.191698676,TRUE,TRUE
3/23/2020,-0.328650625,-0.267841572,-0.279254603,TRUE,TRUE
10/27/2008,-0.29614898,-0.200302748,-0.207986042,TRUE,TRUE
3/19/2020,-0.286189966,-0.254530966,-0.268186517,TRUE,TRUE
10/29/2008,-0.280564027,-0.213563489,-0.226594215,TRUE,TRUE
3/24/2020,-0.277174988,-0.279539195,-0.29167169,FALSE,FALSE
3/20/2020,-0.272616964,-0.260262392,-0.275569104,TRUE,FALSE
3/16/2020,-0.262871267,-0.232098341,-0.233535607,TRUE,TRUE
7/1/2008,-0.261045052,-0.185178922,-0.188872301,TRUE,TRUE
10/31/2008,-0.260273961,-0.243436033,-0.241656343,TRUE,TRUE
3/18/2020,-0.257547033,-0.250709792,-0.259836584,TRUE,FALSE
3/17/2020,-0.251391794,-0.249181929,-0.247690324,TRUE,TRUE
3/11/2020,-0.249999954,-0.174385436,-0.176895825,TRUE,TRUE
3/13/2020,-0.248330514,-0.195910024,-0.221455644,TRUE,TRUE
3/25/2020,-0.225214242,-0.281772627,-0.295058372,FALSE,FALSE
3/17/2008,-0.225108278,-0.167388555,-0.167536893,TRUE,TRUE
3/9/2020,-0.21520363,-0.171376687,-0.166268154,TRUE,TRUE
7/2/2008,-0.201547484,-0.193478668,-0.203214677,TRUE,FALSE
1/20/2016,-0.199216098,-0.165675635,-0.169076604,TRUE,TRUE
6/4/2008,-0.199007206,-0.177273599,-0.184106702,TRUE,TRUE
11/3/2008,-0.194832971,-0.260667218,-0.251910333,FALSE,FALSE
1/15/2016,-0.190956977,-0.152495022,-0.152941447,TRUE,TRUE
3/27/2020,-0.190289269,-0.281772627,-0.295058372,FALSE,FALSE
3/13/2008,-0.187724476,-0.159659871,-0.158640033,TRUE,TRUE
5/25/2011,-0.185813092,-0.133797633,-0.135620038,TRUE,TRUE
1/21/2009,-0.182673775,-0.260667218,-0.251910333,FALSE,FALSE
6/2/2008,-0.182529468,-0.171652763,-0.180920913,TRUE,TRUE
1/20/2009,-0.182172256,-0.260667218,-0.251910333,FALSE,FALSE
11/6/2008,-0.182105391,-0.260667218,-0.251910333,FALSE,FALSE
11/19/2008,-0.18148775,-0.260667218,-0.251910333,FALSE,FALSE
1/18/2016,-0.179882182,-0.15941206,-0.161223129,TRUE,TRUE
11/25/2008,-0.176038804,-0.260667218,-0.251910333,FALSE,FALSE
8/13/2019,-0.175828924,-0.140958293,-0.139034908,TRUE,TRUE
3/6/2020,-0.174423913,-0.164281349,-0.161691017,TRUE,TRUE
10/7/2019,-0.174345389,-0.14530621,-0.147053968,TRUE,TRUE
12/20/2011,-0.174014237,-0.165553582,-0.165635316,TRUE,TRUE
3/4/2008,-0.171803204,-0.132746546,-0.139720272,TRUE,TRUE
5/26/2011,-0.171553461,-0.140102441,-0.145544628,TRUE,TRUE
3/18/2008,-0.171496181,-0.171474449,-0.178908023,TRUE,FALSE
11/23/2011,-0.171281193,-0.158138004,-0.16141331,TRUE,TRUE
8/23/2007,-0.171132276,-0.128983562,-0.130718491,TRUE,TRUE
9/2/2015,-0.170683442,-0.13887951,-0.139931699,TRUE,TRUE
3/2/2009,-0.168408727,-0.260667218,-0.251910333,FALSE,FALSE
10/9/2019,-0.168286814,-0.148002445,-0.153806336,TRUE,TRUE
2/11/2016,-0.16734143,-0.1753748,-0.176507204,FALSE,FALSE
12/21/2011,-0.165467195,-0.17142005,-0.16918579,FALSE,FALSE
3/5/2008,-0.163492029,-0.14005526,-0.146736656,TRUE,TRUE
3/30/2020,-0.163196826,-0.281772627,-0.295058372,FALSE,FALSE
6/30/2008,-0.162036826,-0.185178922,-0.188872301,FALSE,FALSE
1/21/2016,-0.162013823,-0.1753748,-0.176095662,FALSE,FALSE
9/1/2015,-0.160463427,-0.131353439,-0.133326352,TRUE,TRUE
6/3/2008,-0.160152476,-0.177273599,-0.184106702,FALSE,FALSE
10/10/2019,-0.160112396,-0.159126041,-0.158882065,TRUE,TRUE
3/14/2008,-0.159997054,-0.167388555,-0.165717182,FALSE,FALSE
1/19/2016,-0.159816317,-0.165675635,-0.166894044,FALSE,FALSE
8/26/2011,-0.159592191,-0.155402273,-0.158367323,TRUE,TRUE
5/31/2006,-0.15868443,-0.107296923,-0.109262108,TRUE,TRUE
9/4/2015,-0.158317779,-0.145926407,-0.148685306,TRUE,TRUE
6/9/2008,-0.158230055,-0.185178922,-0.188872301,FALSE,FALSE
8/28/2008,-0.157106982,-0.200302748,-0.207986042,FALSE,FALSE
5/27/2011,-0.156624462,-0.14837292,-0.152562495,TRUE,TRUE
6/5/2008,-0.156406604,-0.185178922,-0.188872301,FALSE,FALSE
5/31/2013,-0.155927162,-0.100548302,-0.105158905,TRUE,TRUE
3/7/2008,-0.155671298,-0.15544648,-0.152237903,TRUE,TRUE
5/24/2011,-0.154130199,-0.129267587,-0.130442146,TRUE,TRUE
7/3/2008,-0.153825487,-0.200302748,-0.207986042,FALSE,FALSE
6/12/2006,-0.153597636,-0.117456357,-0.12359142,TRUE,TRUE
6/6/2008,-0.151337937,-0.185178922,-0.188872301,FALSE,FALSE
5/10/2012,-0.151306553,-0.17142005,-0.170700397,FALSE,FALSE
3/5/2007,-0.149765931,-0.130830776,-0.135719678,TRUE,TRUE
8/9/2019,-0.149591358,-0.135604746,-0.133738973,TRUE,TRUE
3/12/2008,-0.149140967,-0.159659871,-0.156017318,FALSE,FALSE
1/23/2009,-0.147080492,-0.260667218,-0.251910333,FALSE,FALSE
3/3/2008,-0.147072541,-0.131386228,-0.13620031,TRUE,TRUE
2/9/2015,-0.146434601,-0.099744892,-0.099430898,TRUE,TRUE
8/7/2019,-0.146348678,-0.123635805,-0.122828778,TRUE,TRUE
5/16/2012,-0.146173943,-0.17142005,-0.170700397,FALSE,FALSE
11/20/2008,-0.145697454,-0.260667218,-0.251910333,FALSE,FALSE
2/11/2015,-0.145397469,-0.107191523,-0.114086661,TRUE,TRUE
10/5/2011,-0.144904508,-0.158138004,-0.161307146,FALSE,FALSE
5/30/2011,-0.144861095,-0.155402273,-0.156905436,FALSE,FALSE
8/27/2008,-0.144628968,-0.200302748,-0.207986042,FALSE,FALSE
3/19/2008,-0.144292803,-0.171652763,-0.180920913,FALSE,FALSE
8/5/2019,-0.144221192,-0.1081182,-0.114331614,TRUE,TRUE
3/3/2009,-0.142938825,-0.260667218,-0.251910333,FALSE,FALSE
5/11/2012,-0.14278447,-0.17142005,-0.170700397,FALSE,FALSE
3/9/2009,-0.142474021,-0.260667218,-0.251910333,FALSE,FALSE
5/23/2011,-0.142380651,-0.126614554,-0.12671745,TRUE,TRUE
8/26/2008,-0.142213406,-0.200302748,-0.207986042,FALSE,FALSE
6/3/2013,-0.141782042,-0.112580646,-0.115715666,TRUE,TRUE
9/3/2015,-0.141563444,-0.145926407,-0.146885918,FALSE,FALSE
6/4/2013,-0.140848049,-0.126583251,-0.12384054,TRUE,TRUE
11/22/2011,-0.140706494,-0.158138004,-0.16141331,FALSE,FALSE
5/30/2008,-0.140443762,-0.171652763,-0.180920913,FALSE,FALSE
