Date,PL,VaR,ES,Exception_VaR,Exception_ES
10/10/2008,-0.219229869,-0.116955505,-0.130532889,TRUE,TRUE
3/23/2020,-0.217829096,-0.208966759,-0.174409125,TRUE,TRUE
3/20/2020,-0.213308183,-0.166285746,-0.152602501,TRUE,TRUE
3/19/2020,-0.209673632,-0.115090468,-0.131258745,TRUE,TRUE
3/18/2020,-0.209227207,-0.092699859,-0.109497116,TRUE,TRUE
3/16/2020,-0.208695681,-0.075622246,-0.081121875,TRUE,TRUE
10/9/2008,-0.203195302,-0.114889126,-0.11452221,TRUE,TRUE
3/2/2009,-0.182104031,-0.156178176,-0.170544119,TRUE,TRUE
3/24/2020,-0.171136031,-0.209454884,-0.193250503,FALSE,FALSE
10/15/2008,-0.162249393,-0.126036957,-0.149233265,TRUE,TRUE
3/3/2009,-0.153800039,-0.172375258,-0.176210747,FALSE,FALSE
2/26/2009,-0.149859155,-0.155210094,-0.168147784,FALSE,FALSE
3/5/2009,-0.149159664,-0.172375258,-0.177185385,FALSE,FALSE
2/25/2009,-0.147883476,-0.153894757,-0.165426264,FALSE,FALSE
2/27/2009,-0.147183773,-0.156178176,-0.170032833,FALSE,FALSE
3/9/2009,-0.145408963,-0.172375258,-0.177236433,FALSE,FALSE
11/21/2008,-0.145199115,-0.148327773,-0.157662477,FALSE,FALSE
3/4/2009,-0.141627078,-0.172375258,-0.177185385,FALSE,FALSE
2/23/2009,-0.14035558,-0.153894757,-0.163177231,FALSE,FALSE
1/25/2008,-0.133837923,-0.098811037,-0.097259562,TRUE,TRUE
1/23/2009,-0.131243673,-0.153894757,-0.159283799,FALSE,FALSE
2/24/2009,-0.129764875,-0.153894757,-0.165385564,FALSE,FALSE
2/20/2009,-0.128747373,-0.153894757,-0.161641862,FALSE,FALSE
3/10/2009,-0.128300718,-0.172375258,-0.177236433,FALSE,FALSE
11/2/2017,-0.125304069,-0.10775827,-0.101113327,TRUE,TRUE
8/10/2011,-0.123250545,-0.068353114,-0.074529435,TRUE,TRUE
3/12/2020,-0.122144794,-0.072239948,-0.072474422,TRUE,TRUE
10/16/2008,-0.119971872,-0.148327773,-0.156946593,FALSE,FALSE
8/25/2015,-0.119919587,-0.105141474,-0.099917872,TRUE,TRUE
12/15/2014,-0.11977833,-0.097217173,-0.096749545,TRUE,TRUE
1/24/2008,-0.117917584,-0.09022429,-0.091219033,TRUE,TRUE
11/1/2017,-0.117288399,-0.104961071,-0.092735783,TRUE,TRUE
3/6/2009,-0.117050664,-0.172375258,-0.177236433,FALSE,FALSE
12/1/2008,-0.116689655,-0.153894757,-0.162106059,FALSE,FALSE
10/27/2017,-0.116556894,-0.062897273,-0.067281072,TRUE,TRUE
2/7/2008,-0.115954158,-0.105538281,-0.110949641,TRUE,TRUE
11/7/2017,-0.115118577,-0.115714805,-0.115036839,FALSE,TRUE
11/3/2017,-0.114838345,-0.112248348,-0.110889248,TRUE,TRUE
12/17/2018,-0.114640533,-0.079125042,-0.080497286,TRUE,TRUE
5/7/2010,-0.114219111,-0.072637154,-0.076008112,TRUE,TRUE
10/14/2008,-0.114127913,-0.126036957,-0.148835389,FALSE,FALSE
10/8/2008,-0.113780624,-0.110695832,-0.112463504,TRUE,TRUE
3/25/2020,-0.111612769,-0.209454884,-0.201664965,FALSE,FALSE
12/16/2014,-0.110734007,-0.099823452,-0.10146995,TRUE,TRUE
11/6/2017,-0.1102905,-0.115714805,-0.114402876,FALSE,FALSE
8/24/2015,-0.11010193,-0.09350147,-0.093147717,TRUE,TRUE
10/31/2017,-0.107763943,-0.084067595,-0.08506473,TRUE,TRUE
10/26/2017,-0.107752365,-0.058895357,-0.057977547,TRUE,TRUE
3/17/2020,-0.107748211,-0.0769971,-0.103454936,TRUE,TRUE
8/8/2011,-0.107288388,-0.059842085,-0.060535138,TRUE,TRUE
11/20/2008,-0.107025195,-0.148327773,-0.157662477,FALSE,FALSE
8/1/2014,-0.105919618,-0.093008663,-0.091539982,TRUE,TRUE
6/1/2007,-0.105841311,-0.07918343,-0.077520517,TRUE,TRUE
1/30/2008,-0.105222881,-0.104786353,-0.109775991,TRUE,FALSE
1/28/2008,-0.103688335,-0.104074357,-0.105665628,FALSE,FALSE
1/22/2009,-0.103501896,-0.153894757,-0.162056942,FALSE,FALSE
6/4/2007,-0.102235282,-0.081263528,-0.083229587,TRUE,TRUE
10/30/2017,-0.102055847,-0.065141102,-0.077658863,TRUE,TRUE
9/1/2015,-0.101729588,-0.110424289,-0.106831116,FALSE,FALSE
2/8/2008,-0.101449237,-0.110998863,-0.113283362,FALSE,FALSE
3/11/2009,-0.100645194,-0.172375258,-0.177236433,FALSE,FALSE
7/28/2014,-0.100410616,-0.072426261,-0.071221066,TRUE,TRUE
12/17/2014,-0.099978551,-0.103220207,-0.104632409,FALSE,FALSE
2/11/2008,-0.099307136,-0.110998863,-0.113283362,FALSE,FALSE
7/29/2014,-0.099212322,-0.076614639,-0.078559059,TRUE,TRUE
1/29/2008,-0.098767754,-0.104786353,-0.108802656,FALSE,FALSE
5/6/2010,-0.096089068,-0.071902008,-0.071098672,TRUE,TRUE
1/23/2008,-0.095247026,-0.083203863,-0.08819825,TRUE,TRUE
7/25/2014,-0.09514059,-0.064337112,-0.064017564,TRUE,TRUE
