Date,PL,VaR,ES,Exception_VaR,Exception_ES
10/10/2008,-0.195245009,-0.082707818,-0.095199441,TRUE,TRUE
3/23/2020,-0.185429512,-0.101330674,-0.107026341,TRUE,TRUE
10/9/2008,-0.169838507,-0.081322382,-0.079654387,TRUE,TRUE
3/2/2009,-0.160770584,-0.121075296,-0.127718061,TRUE,TRUE
3/24/2020,-0.158571019,-0.104687858,-0.122236932,TRUE,TRUE
3/20/2020,-0.155882561,-0.095368036,-0.09625061,TRUE,TRUE
12/24/2018,-0.154343933,-0.120897512,-0.121455258,TRUE,TRUE
3/3/2009,-0.148981797,-0.147970837,-0.139883364,TRUE,TRUE
3/5/2009,-0.147684642,-0.154994078,-0.153082577,FALSE,FALSE
12/28/2018,-0.139136902,-0.130073651,-0.132076096,TRUE,TRUE
12/26/2018,-0.135085331,-0.122954945,-0.12749365,TRUE,TRUE
2/27/2009,-0.134648652,-0.096436688,-0.11946388,TRUE,TRUE
12/27/2018,-0.133854529,-0.125546656,-0.129959708,TRUE,TRUE
3/9/2009,-0.131407339,-0.154994078,-0.158036366,FALSE,FALSE
12/19/2018,-0.126138452,-0.11437961,-0.11163524,TRUE,TRUE
2/8/2018,-0.124930705,-0.068146407,-0.071538709,TRUE,TRUE
3/10/2009,-0.123945762,-0.154994078,-0.158403364,FALSE,FALSE
3/6/2009,-0.122232402,-0.154994078,-0.157968854,FALSE,FALSE
12/17/2018,-0.120898541,-0.101179079,-0.102591513,TRUE,TRUE
12/20/2018,-0.12089644,-0.120369611,-0.117093342,TRUE,TRUE
3/4/2009,-0.120544577,-0.154994078,-0.150049053,FALSE,FALSE
2/5/2018,-0.119819091,-0.042316907,-0.046250361,TRUE,TRUE
12/21/2018,-0.119232606,-0.120897512,-0.11974403,FALSE,FALSE
3/11/2009,-0.112305358,-0.154994078,-0.158403364,FALSE,FALSE
2/9/2018,-0.108718109,-0.072779587,-0.084392713,TRUE,TRUE
12/18/2018,-0.107995406,-0.11437961,-0.108430553,FALSE,FALSE
10/15/2008,-0.106947926,-0.084298697,-0.114446077,TRUE,FALSE
3/19/2020,-0.105344641,-0.091468329,-0.093198666,TRUE,TRUE
2/28/2020,-0.104004267,-0.080101011,-0.079423802,TRUE,TRUE
3/12/2020,-0.098547955,-0.088192224,-0.088743608,TRUE,TRUE
3/25/2020,-0.094081948,-0.13111898,-0.132927126,FALSE,FALSE
2/12/2018,-0.093332333,-0.092178158,-0.092732557,TRUE,TRUE
3/16/2020,-0.092058325,-0.08989202,-0.091629108,TRUE,TRUE
3/3/2020,-0.090854252,-0.084269601,-0.084996457,TRUE,TRUE
10/14/2014,-0.089877046,-0.072192303,-0.072129222,TRUE,TRUE
7/23/2019,-0.088890514,-0.134482238,-0.134349088,FALSE,FALSE
5/28/2010,-0.088635328,-0.06570078,-0.063814851,TRUE,TRUE
12/14/2018,-0.088104254,-0.101179079,-0.100310683,FALSE,FALSE
2/13/2018,-0.087551686,-0.101179079,-0.097390827,FALSE,FALSE
7/22/2019,-0.087465432,-0.134482238,-0.134349088,FALSE,FALSE
5/27/2010,-0.087211987,-0.054950388,-0.056078786,TRUE,TRUE
2/3/2014,-0.087102874,-0.058731095,-0.060676912,TRUE,TRUE
10/8/2008,-0.085496419,-0.078014546,-0.077114198,TRUE,TRUE
2/26/2009,-0.085295706,-0.096436688,-0.118926862,FALSE,FALSE
8/25/2015,-0.083627905,-0.06887773,-0.068912268,TRUE,TRUE
2/23/2009,-0.083062659,-0.096436688,-0.118117469,FALSE,FALSE
10/7/2008,-0.083052089,-0.0745107,-0.074264847,TRUE,TRUE
3/27/2020,-0.082880256,-0.13111898,-0.133008071,FALSE,FALSE
3/11/2020,-0.082683676,-0.088192224,-0.087940681,FALSE,FALSE
1/30/2008,-0.082349496,-0.067143213,-0.06702944,TRUE,TRUE
