Date,PL,VaR,ES,Exception_VaR,Exception_ES
3/2/2009,-0.200274348,-0.160675618,-0.16489962,TRUE,TRUE
10/10/2008,-0.1886388,-0.091356291,-0.100804099,TRUE,TRUE
3/20/2020,-0.171616219,-0.144383439,-0.144831308,TRUE,TRUE
3/3/2009,-0.167017544,-0.164080411,-0.172064721,TRUE,FALSE
2/4/2009,-0.166475973,-0.154340707,-0.152512312,TRUE,TRUE
1/30/2009,-0.161587071,-0.132150703,-0.140835183,TRUE,TRUE
2/27/2009,-0.159726962,-0.160483418,-0.16325745,FALSE,FALSE
10/9/2008,-0.159334719,-0.088423938,-0.087315566,TRUE,TRUE
8/8/2011,-0.159010558,-0.092157343,-0.092488183,TRUE,TRUE
2/5/2009,-0.15746654,-0.160483418,-0.159502946,FALSE,FALSE
8/9/2019,-0.156416848,-0.136398664,-0.129489662,TRUE,TRUE
3/23/2020,-0.156101846,-0.146669582,-0.150430593,TRUE,TRUE
2/6/2009,-0.149570249,-0.160483418,-0.162862215,FALSE,FALSE
2/2/2009,-0.149142857,-0.150336758,-0.148008391,FALSE,TRUE
8/7/2019,-0.147120474,-0.111617473,-0.114146361,TRUE,TRUE
8/12/2019,-0.146200286,-0.139728603,-0.137343183,TRUE,TRUE
8/6/2019,-0.142492434,-0.103305692,-0.105765978,TRUE,TRUE
3/19/2020,-0.142131956,-0.144383439,-0.143791328,FALSE,FALSE
3/24/2020,-0.141370309,-0.151700974,-0.152876976,FALSE,FALSE
10/15/2008,-0.140971534,-0.099007891,-0.118688042,TRUE,TRUE
8/5/2019,-0.136851962,-0.094028019,-0.097724313,TRUE,TRUE
8/4/2011,-0.136318358,-0.05839513,-0.065638531,TRUE,TRUE
8/8/2019,-0.135926864,-0.124529764,-0.122842353,TRUE,TRUE
3/16/2020,-0.134747731,-0.144383439,-0.143187341,FALSE,FALSE
8/5/2011,-0.128550075,-0.076959141,-0.079793689,TRUE,TRUE
6/11/2020,-0.127815636,-0.151700974,-0.152876976,FALSE,FALSE
2/9/2018,-0.124327051,-0.047423636,-0.054190688,TRUE,TRUE
1/29/2009,-0.122969838,-0.131787467,-0.139378579,FALSE,FALSE
1/28/2009,-0.122228539,-0.129366492,-0.137251181,FALSE,FALSE
3/12/2020,-0.119648042,-0.144383439,-0.143138801,FALSE,FALSE
8/14/2019,-0.118434552,-0.144383439,-0.142869604,FALSE,FALSE
11/20/2008,-0.117287775,-0.128321311,-0.135316787,FALSE,FALSE
3/4/2009,-0.117231638,-0.166752174,-0.1733687,FALSE,FALSE
9/1/2015,-0.117117089,-0.087315956,-0.083484512,TRUE,TRUE
2/26/2009,-0.116828929,-0.160483418,-0.16325745,FALSE,FALSE
8/10/2011,-0.116580317,-0.116232956,-0.116369409,TRUE,TRUE
2/3/2009,-0.116279121,-0.154340707,-0.152512312,FALSE,FALSE
6/12/2020,-0.116260778,-0.151700974,-0.152876976,FALSE,FALSE
11/18/2008,-0.115154753,-0.125795482,-0.133198864,FALSE,FALSE
5/25/2010,-0.114638448,-0.082829135,-0.084795445,TRUE,TRUE
2/12/2018,-0.11173757,-0.057083699,-0.068143325,TRUE,TRUE
8/1/2019,-0.111704619,-0.089025993,-0.088459449,TRUE,TRUE
8/2/2019,-0.111526771,-0.092283784,-0.093467701,TRUE,TRUE
3/18/2020,-0.110989032,-0.144383439,-0.143791328,FALSE,FALSE
2/10/2009,-0.110619469,-0.160483418,-0.16325745,FALSE,FALSE
10/17/2008,-0.11,-0.123702797,-0.128994404,FALSE,FALSE
8/25/2015,-0.107630954,-0.04865928,-0.054970608,TRUE,TRUE
5/26/2010,-0.10591716,-0.087168127,-0.091639564,TRUE,TRUE
2/23/2009,-0.105795148,-0.160483418,-0.16325745,FALSE,FALSE
9/17/2008,-0.105729213,-0.08178739,-0.082172499,TRUE,TRUE
5/24/2010,-0.104705882,-0.080405714,-0.078648342,TRUE,TRUE
6/24/2020,-0.103841849,-0.151700974,-0.152876976,FALSE,FALSE
11/17/2008,-0.103603604,-0.125795482,-0.131925993,FALSE,FALSE
8/9/2011,-0.103413097,-0.11160574,-0.109535559,FALSE,FALSE
1/26/2009,-0.102637666,-0.129366492,-0.137251181,FALSE,FALSE
2/25/2020,-0.102618379,-0.144383439,-0.143138801,FALSE,FALSE
8/15/2019,-0.098562092,-0.144383439,-0.143138801,FALSE,FALSE
3/5/2009,-0.096935139,-0.166752174,-0.1733687,FALSE,FALSE
10/16/2008,-0.096860133,-0.123702797,-0.127820911,FALSE,FALSE
2/8/2018,-0.096696186,-0.040813651,-0.044635926,TRUE,TRUE
2/27/2020,-0.096449491,-0.144383439,-0.143138801,FALSE,FALSE
6/22/2020,-0.095107926,-0.151700974,-0.152876976,FALSE,FALSE
2/28/2020,-0.095044733,-0.144383439,-0.143138801,FALSE,FALSE
6/23/2020,-0.095001356,-0.151700974,-0.152876976,FALSE,FALSE
7/30/2019,-0.094749059,-0.083667314,-0.083755899,TRUE,TRUE
7/31/2007,-0.094375928,-0.08255051,-0.083275056,TRUE,TRUE
8/3/2011,-0.093969799,-0.051476076,-0.057728804,TRUE,TRUE
9/2/2015,-0.093563964,-0.091880727,-0.093082966,TRUE,TRUE
4/22/2019,-0.093277549,-0.078093391,-0.076432724,TRUE,TRUE
8/13/2019,-0.092549624,-0.144383439,-0.142869604,FALSE,FALSE
8/31/2015,-0.092394338,-0.079294449,-0.076730368,TRUE,TRUE
6/6/2008,-0.09201223,-0.078726795,-0.080549231,TRUE,TRUE
8/24/2015,-0.091346151,-0.047236014,-0.047295779,TRUE,TRUE
7/31/2019,-0.091249458,-0.086476147,-0.086418326,TRUE,TRUE
5/12/2014,-0.09082403,-0.067263075,-0.066688131,TRUE,TRUE
6/11/2008,-0.09067358,-0.085460708,-0.084542665,TRUE,TRUE
8/2/2011,-0.090270908,-0.049049861,-0.050017759,TRUE,TRUE
5/20/2010,-0.090203106,-0.076491248,-0.074675267,TRUE,TRUE
7/30/2007,-0.088957055,-0.082136954,-0.081421584,TRUE,TRUE
2/24/2020,-0.088830515,-0.144383439,-0.143138801,FALSE,FALSE
1/27/2009,-0.08870973,-0.129366492,-0.137251181,FALSE,FALSE
1/30/2020,-0.08851729,-0.144383439,-0.143138801,FALSE,FALSE
2/26/2020,-0.088474639,-0.144383439,-0.143138801,FALSE,FALSE
8/16/2019,-0.088157842,-0.144383439,-0.143138801,FALSE,FALSE
12/24/2018,-0.086711775,-0.087564673,-0.091772913,FALSE,FALSE
4/23/2019,-0.086230901,-0.078374871,-0.080366273,TRUE,TRUE
6/12/2008,-0.086082474,-0.089832483,-0.087045415,FALSE,FALSE
12/4/2006,-0.084895225,-0.057682495,-0.05972934,TRUE,TRUE
11/19/2008,-0.084705882,-0.128321311,-0.135316787,FALSE,FALSE
10/20/2008,-0.084477345,-0.125795482,-0.131925993,FALSE,FALSE
5/18/2010,-0.08400927,-0.066258363,-0.067915493,TRUE,TRUE
8/26/2015,-0.083121263,-0.050028866,-0.064828875,TRUE,TRUE
1/31/2020,-0.08298446,-0.144383439,-0.143138801,FALSE,FALSE
12/7/2006,-0.08265679,-0.075604306,-0.072713181,TRUE,TRUE
