Date,PL,VaR,ES,Exception_VaR,Exception_ES
10/10/2008,-0.413924051,-0.249215157,-0.251317732,TRUE,TRUE
10/9/2008,-0.365582904,-0.215177093,-0.220438155,TRUE,TRUE
3/18/2020,-0.36257561,-0.218654627,-0.221915407,TRUE,TRUE
11/18/2008,-0.350100637,-0.312723651,-0.323332341,TRUE,TRUE
11/19/2008,-0.326625943,-0.333406534,-0.335998816,FALSE,FALSE
2/23/2009,-0.322364752,-0.338598037,-0.345390834,FALSE,FALSE
11/17/2008,-0.316031038,-0.293365433,-0.314984199,TRUE,TRUE
3/20/2020,-0.315225385,-0.252859514,-0.26554195,TRUE,TRUE
10/15/2008,-0.309281268,-0.269556169,-0.289114513,TRUE,TRUE
11/20/2008,-0.30858748,-0.338598037,-0.344119334,FALSE,FALSE
3/19/2020,-0.305300175,-0.23969745,-0.248407942,TRUE,TRUE
3/23/2020,-0.298402703,-0.282883302,-0.283625778,TRUE,TRUE
3/2/2009,-0.297331639,-0.338598037,-0.347511943,FALSE,FALSE
10/8/2008,-0.276799973,-0.193007987,-0.201119021,TRUE,TRUE
11/14/2008,-0.273090909,-0.293365433,-0.312501661,FALSE,FALSE
10/16/2008,-0.264467961,-0.293365433,-0.306333222,FALSE,FALSE
10/7/2008,-0.2620167,-0.185240424,-0.183550511,TRUE,TRUE
11/21/2008,-0.261556628,-0.338598037,-0.345390834,FALSE,FALSE
3/12/2020,-0.259551454,-0.196391905,-0.19841426,TRUE,TRUE
2/27/2009,-0.255095784,-0.338598037,-0.347511943,FALSE,FALSE
12/22/2008,-0.246317543,-0.338598037,-0.345390834,FALSE,FALSE
3/16/2020,-0.245894435,-0.200605357,-0.211573698,TRUE,TRUE
10/17/2008,-0.244250105,-0.293365433,-0.312167301,FALSE,FALSE
2/20/2009,-0.238402863,-0.338598037,-0.345390834,FALSE,FALSE
10/3/2008,-0.235891102,-0.155250782,-0.161997399,TRUE,TRUE
3/9/2020,-0.233247527,-0.185134094,-0.180248233,TRUE,TRUE
2/24/2009,-0.232676056,-0.338598037,-0.347511943,FALSE,FALSE
2/26/2009,-0.231662639,-0.338598037,-0.347511943,FALSE,FALSE
