Date,PL,VaR,ES,Exception_VaR,Exception_ES
1/20/2009,-0.635193133,-0.435863735,-0.439871421,TRUE,TRUE
1/22/2009,-0.583515682,-0.470485055,-0.493756742,TRUE,TRUE
1/23/2009,-0.539143279,-0.515915661,-0.518204539,TRUE,TRUE
1/26/2009,-0.538106236,-0.535747386,-0.534388289,TRUE,TRUE
1/21/2009,-0.532212885,-0.44054122,-0.476429804,TRUE,TRUE
1/16/2009,-0.498953245,-0.430123493,-0.42321406,TRUE,TRUE
11/20/2008,-0.440854899,-0.390337075,-0.394001101,TRUE,TRUE
11/21/2008,-0.440214739,-0.414494533,-0.407599574,TRUE,TRUE
10/10/2008,-0.431335138,-0.255779007,-0.27848647,TRUE,TRUE
1/27/2009,-0.431321085,-0.538635128,-0.54997411,FALSE,FALSE
10/9/2008,-0.428862392,-0.218544788,-0.242687541,TRUE,TRUE
1/15/2009,-0.409090909,-0.430123493,-0.418462311,FALSE,FALSE
11/19/2008,-0.39954023,-0.378081302,-0.383332488,TRUE,TRUE
11/18/2008,-0.38075828,-0.369469109,-0.375257077,TRUE,TRUE
10/15/2008,-0.37529506,-0.309408723,-0.323639757,TRUE,TRUE
11/17/2008,-0.363405364,-0.354688896,-0.369056365,TRUE,FALSE
2/23/2009,-0.362153344,-0.538635128,-0.54997411,FALSE,FALSE
8/8/2011,-0.34965035,-0.148966836,-0.153170106,TRUE,TRUE
3/2/2009,-0.348294434,-0.538635128,-0.54997411,FALSE,FALSE
1/29/2009,-0.335294118,-0.538635128,-0.54997411,FALSE,FALSE
10/16/2008,-0.333241664,-0.353943571,-0.34568174,FALSE,FALSE
10/8/2008,-0.331720593,-0.209204886,-0.221518037,TRUE,TRUE
3/9/2020,-0.329972502,-0.187000827,-0.199138159,TRUE,TRUE
2/27/2009,-0.327086882,-0.538635128,-0.54997411,FALSE,FALSE
10/17/2008,-0.325986079,-0.354688896,-0.359727023,FALSE,FALSE
11/14/2008,-0.320645428,-0.354688896,-0.367677995,FALSE,FALSE
2/24/2009,-0.313497823,-0.538635128,-0.54997411,FALSE,FALSE
1/28/2009,-0.306103286,-0.538635128,-0.54997411,FALSE,FALSE
3/16/2020,-0.304051743,-0.255892387,-0.265117475,TRUE,TRUE
8/10/2011,-0.300619835,-0.179135776,-0.204701842,TRUE,TRUE
2/4/2009,-0.296407186,-0.538635128,-0.54997411,FALSE,FALSE
3/12/2020,-0.29591484,-0.246160851,-0.247946165,TRUE,TRUE
10/7/2008,-0.286186165,-0.205517251,-0.205235244,TRUE,TRUE
3/18/2020,-0.267699833,-0.278255767,-0.278367947,FALSE,FALSE
3/11/2020,-0.259875914,-0.236043452,-0.235692449,TRUE,TRUE
8/12/2011,-0.259526262,-0.249918693,-0.247237949,TRUE,TRUE
8/11/2011,-0.259448417,-0.217207502,-0.229746154,TRUE,TRUE
3/3/2009,-0.255102041,-0.538635128,-0.54997411,FALSE,FALSE
3/6/2020,-0.251746267,-0.182978358,-0.183282294,TRUE,TRUE
11/24/2008,-0.251026694,-0.430123493,-0.418462311,FALSE,FALSE
