Date,PL,VaR,ES,Exception_VaR,Exception_ES
11/21/2008,-0.681049053,-0.398191616,-0.414532842,TRUE,TRUE
3/2/2009,-0.656160478,-0.587883259,-0.587048199,TRUE,TRUE
3/4/2009,-0.611683849,-0.602945616,-0.617588577,TRUE,FALSE
1/20/2009,-0.604519791,-0.501702309,-0.526265474,TRUE,TRUE
3/3/2009,-0.60130719,-0.597966555,-0.609798146,TRUE,FALSE
3/5/2009,-0.593625498,-0.60817346,-0.622718092,FALSE,FALSE
11/20/2008,-0.59114584,-0.349504275,-0.36769364,TRUE,TRUE
2/27/2009,-0.584487512,-0.578351511,-0.575028384,TRUE,TRUE
1/22/2009,-0.565034965,-0.551288307,-0.560821995,TRUE,TRUE
1/23/2009,-0.515363101,-0.578351511,-0.573266233,FALSE,FALSE
1/16/2009,-0.509803935,-0.481487412,-0.513527378,TRUE,FALSE
3/9/2009,-0.509345794,-0.60817346,-0.623381171,FALSE,FALSE
1/21/2009,-0.508042869,-0.551288307,-0.553323485,FALSE,FALSE
1/26/2009,-0.506666681,-0.578351511,-0.575028384,FALSE,FALSE
11/19/2008,-0.493270004,-0.318519175,-0.33582551,TRUE,TRUE
3/6/2009,-0.471794872,-0.60817346,-0.623381171,FALSE,FALSE
11/24/2008,-0.469223898,-0.462521393,-0.475202922,TRUE,FALSE
3/18/2020,-0.459415336,-0.310632083,-0.303437095,TRUE,TRUE
2/23/2009,-0.452685394,-0.578351511,-0.575028384,FALSE,FALSE
2/20/2009,-0.447592052,-0.578351511,-0.575028384,FALSE,FALSE
3/10/2009,-0.442307692,-0.60817346,-0.623381171,FALSE,FALSE
11/25/2008,-0.437037046,-0.481487412,-0.498114357,FALSE,FALSE
11/18/2008,-0.430517736,-0.301186101,-0.313524621,TRUE,TRUE
1/15/2009,-0.429210132,-0.481487412,-0.510940815,FALSE,FALSE
3/16/2020,-0.390590303,-0.227826578,-0.243044445,TRUE,TRUE
3/11/2009,-0.388888913,-0.60817346,-0.623381171,FALSE,FALSE
3/17/2020,-0.381245225,-0.273767549,-0.274105276,TRUE,TRUE
3/20/2020,-0.378916423,-0.378503439,-0.366590239,TRUE,TRUE
3/19/2020,-0.375649744,-0.355538245,-0.345072752,TRUE,TRUE
