Date,PL,VaR,ES,Exception_VaR,Exception_ES
11/19/2008,-0.368866522,-0.322940166,-0.325750529,TRUE,TRUE
10/10/2008,-0.356475108,-0.27057807,-0.266606916,TRUE,TRUE
11/20/2008,-0.355797828,-0.338096897,-0.337404273,TRUE,TRUE
11/18/2008,-0.347052642,-0.316489308,-0.315973794,TRUE,TRUE
1/20/2009,-0.333183131,-0.351512687,-0.344457347,FALSE,FALSE
3/18/2020,-0.329213372,-0.225307869,-0.221776741,TRUE,TRUE
9/18/2008,-0.328775612,-0.157813146,-0.179042558,TRUE,TRUE
9/17/2008,-0.316866539,-0.13797567,-0.148282917,TRUE,TRUE
11/12/2008,-0.31609668,-0.302917549,-0.300297259,TRUE,TRUE
11/21/2008,-0.314605275,-0.351512687,-0.344457347,FALSE,FALSE
11/17/2008,-0.298574421,-0.316489308,-0.312303194,FALSE,FALSE
9/22/2008,-0.288399211,-0.200239611,-0.223124703,TRUE,TRUE
3/20/2020,-0.282291938,-0.254966958,-0.257211913,TRUE,TRUE
11/14/2008,-0.278594562,-0.316489308,-0.310001345,FALSE,FALSE
3/12/2020,-0.267441336,-0.160782668,-0.174148941,TRUE,TRUE
11/3/2008,-0.266749004,-0.302917549,-0.294051683,FALSE,FALSE
3/16/2020,-0.261660365,-0.183984996,-0.193915039,TRUE,TRUE
11/6/2008,-0.256585011,-0.302917549,-0.299092624,FALSE,FALSE
10/9/2008,-0.252029535,-0.258073873,-0.256680069,FALSE,FALSE
3/19/2020,-0.248000351,-0.246334015,-0.248491085,TRUE,FALSE
11/5/2008,-0.240135568,-0.302917549,-0.299033175,FALSE,FALSE
10/28/2008,-0.238649321,-0.302917549,-0.291243154,FALSE,FALSE
11/10/2008,-0.233311786,-0.302917549,-0.300297259,FALSE,FALSE
11/13/2008,-0.231807735,-0.316489308,-0.310001345,FALSE,FALSE
3/9/2020,-0.230382099,-0.142049449,-0.141226162,TRUE,TRUE
9/23/2008,-0.226510765,-0.247460959,-0.246927922,FALSE,FALSE
11/7/2008,-0.22529883,-0.302917549,-0.300297259,FALSE,FALSE
3/17/2020,-0.220026528,-0.217161661,-0.211606261,TRUE,TRUE
3/23/2020,-0.218968795,-0.264608661,-0.267839375,FALSE,FALSE
11/4/2008,-0.21714049,-0.302917549,-0.299033175,FALSE,FALSE
1/21/2009,-0.212039198,-0.351512687,-0.347098796,FALSE,FALSE
9/19/2008,-0.204851758,-0.184752369,-0.211522327,TRUE,FALSE
3/11/2020,-0.203401614,-0.15530301,-0.163285749,TRUE,TRUE
11/11/2008,-0.201880945,-0.302917549,-0.300297259,FALSE,FALSE
9/16/2008,-0.195439213,-0.130296677,-0.13652298,TRUE,TRUE
10/31/2008,-0.19072618,-0.302917549,-0.294051683,FALSE,FALSE
10/30/2008,-0.189412817,-0.302917549,-0.294051683,FALSE,FALSE
11/23/2018,-0.183682232,-0.126824293,-0.129531796,TRUE,TRUE
8/10/2011,-0.180967969,-0.097146951,-0.100772748,TRUE,TRUE
11/22/2011,-0.176643946,-0.141471402,-0.147224005,TRUE,TRUE
9/15/2008,-0.173629327,-0.125600298,-0.127810108,TRUE,TRUE
2/23/2009,-0.170860516,-0.351512687,-0.347098796,FALSE,FALSE
11/21/2018,-0.167243139,-0.111366674,-0.117450541,TRUE,TRUE
