Date,PL,VaR,ES,Exception_VaR,Exception_ES
1/20/2009,-0.207274321,-0.141632637,-0.143931328,TRUE,TRUE
11/20/2008,-0.178784692,-0.118168603,-0.120071266,TRUE,TRUE
12/1/2008,-0.174984176,-0.127523732,-0.132731459,TRUE,TRUE
9/29/2008,-0.150082954,-0.098094827,-0.095473178,TRUE,TRUE
3/16/2020,-0.149648758,-0.05039697,-0.067387986,TRUE,TRUE
3/5/2009,-0.139896328,-0.162782577,-0.159614184,FALSE,FALSE
3/9/2020,-0.135455216,-0.044003762,-0.044998393,TRUE,TRUE
9/22/2008,-0.13283741,-0.081265109,-0.083179737,TRUE,TRUE
2/17/2009,-0.123126807,-0.162782577,-0.159120593,FALSE,FALSE
9/17/2008,-0.12199317,-0.065809574,-0.072031249,TRUE,TRUE
11/19/2008,-0.114187931,-0.114334699,-0.116343349,FALSE,FALSE
4/20/2009,-0.107336056,-0.162782577,-0.162342653,FALSE,FALSE
12/11/2008,-0.106801879,-0.141632637,-0.143913799,FALSE,FALSE
10/7/2008,-0.106363636,-0.111847295,-0.111521958,FALSE,FALSE
3/18/2020,-0.105268801,-0.067362697,-0.0842411,TRUE,TRUE
9/15/2008,-0.101287301,-0.060761603,-0.063877019,TRUE,TRUE
2/10/2009,-0.097507328,-0.162782577,-0.159120593,FALSE,FALSE
8/12/2008,-0.094772048,-0.055026244,-0.056587776,TRUE,TRUE
8/8/2011,-0.094148861,-0.038192601,-0.038525209,TRUE,TRUE
3/30/2009,-0.093065693,-0.162782577,-0.162342653,FALSE,FALSE
5/11/2012,-0.092783574,-0.059102798,-0.064740253,TRUE,TRUE
4/14/2009,-0.089020769,-0.162782577,-0.162342653,FALSE,FALSE
3/24/2009,-0.085239117,-0.162782577,-0.162342653,FALSE,FALSE
6/11/2020,-0.083443326,-0.094077856,-0.099264719,FALSE,FALSE
3/12/2020,-0.082430138,-0.048085803,-0.061064352,TRUE,TRUE
3/4/2009,-0.081389862,-0.162782577,-0.159614184,FALSE,FALSE
1/29/2009,-0.080621837,-0.162782577,-0.159120593,FALSE,FALSE
5/11/2009,-0.079866386,-0.162782577,-0.162342653,FALSE,FALSE
3/19/2009,-0.079675394,-0.162782577,-0.162342653,FALSE,FALSE
10/3/2008,-0.079237636,-0.111847295,-0.10948297,FALSE,FALSE
12/15/2008,-0.074660696,-0.141632637,-0.143931328,FALSE,FALSE
3/2/2009,-0.073960613,-0.162782577,-0.159614184,FALSE,FALSE
11/14/2008,-0.073137888,-0.114334699,-0.116343349,FALSE,FALSE
3/20/2009,-0.072144326,-0.162782577,-0.162342653,FALSE,FALSE
3/27/2020,-0.071239358,-0.094077856,-0.094445031,FALSE,FALSE
11/9/2011,-0.070816648,-0.057404625,-0.061601859,TRUE,TRUE
11/5/2008,-0.069954876,-0.114334699,-0.116343349,FALSE,FALSE
6/24/2016,-0.069477046,-0.041590844,-0.042525247,TRUE,TRUE
12/9/2008,-0.069334143,-0.141632637,-0.143913799,FALSE,FALSE
7/24/2008,-0.067206865,-0.051705837,-0.05388456,TRUE,TRUE
1/5/2009,-0.066985646,-0.141632637,-0.143931328,FALSE,FALSE
10/9/2008,-0.066666643,-0.114334699,-0.116343349,FALSE,FALSE
1/21/2010,-0.065898638,-0.102519979,-0.107402042,FALSE,FALSE
10/22/2008,-0.064670455,-0.114334699,-0.116343349,FALSE,FALSE
6/9/2008,-0.064355251,-0.050362435,-0.051091307,TRUE,TRUE
10/24/2008,-0.063936542,-0.114334699,-0.116343349,FALSE,FALSE
4/1/2020,-0.062978985,-0.094077856,-0.097679245,FALSE,FALSE
1/16/2009,-0.062448644,-0.141632637,-0.143931328,FALSE,FALSE
6/22/2009,-0.060857171,-0.162782577,-0.162342653,FALSE,FALSE
1/15/2009,-0.060594365,-0.141632637,-0.143931328,FALSE,FALSE
1/7/2009,-0.05990626,-0.141632637,-0.143931328,FALSE,FALSE
9/21/2011,-0.059224806,-0.047850994,-0.054370679,TRUE,TRUE
11/1/2011,-0.058975809,-0.054217778,-0.060072821,TRUE,FALSE
3/27/2009,-0.058419244,-0.162782577,-0.162342653,FALSE,FALSE
10/30/2009,-0.058173576,-0.157791131,-0.154414123,FALSE,FALSE
2/13/2009,-0.057273766,-0.162782577,-0.159120593,FALSE,FALSE
11/1/2007,-0.057021277,-0.034911559,-0.036301752,TRUE,TRUE
11/7/2012,-0.055970171,-0.047842104,-0.055656,TRUE,TRUE
10/1/2009,-0.055910566,-0.157791131,-0.154414123,FALSE,FALSE
8/10/2011,-0.05576931,-0.041012043,-0.047870373,TRUE,TRUE
6/26/2020,-0.054818324,-0.094574318,-0.102916855,FALSE,FALSE
10/15/2008,-0.054531984,-0.114334699,-0.116343349,FALSE,FALSE
3/23/2020,-0.053532946,-0.094077856,-0.093649935,FALSE,FALSE
5/7/2009,-0.053197178,-0.162782577,-0.162342653,FALSE,FALSE
1/15/2008,-0.052949781,-0.043119483,-0.045236491,TRUE,TRUE
8/24/2015,-0.052672926,-0.033293096,-0.033650382,TRUE,TRUE
10/31/2011,-0.052602918,-0.053865448,-0.059440644,FALSE,FALSE
12/8/2011,-0.052352912,-0.059102798,-0.064721491,FALSE,FALSE
10/7/2011,-0.051883877,-0.052758186,-0.058279333,FALSE,FALSE
12/18/2008,-0.051789138,-0.141632637,-0.143931328,FALSE,FALSE
3/6/2020,-0.051680258,-0.042493526,-0.042441806,TRUE,TRUE
5/27/2009,-0.051450491,-0.162782577,-0.162342653,FALSE,FALSE
2/5/2008,-0.05041112,-0.047129096,-0.047767196,TRUE,TRUE
8/9/2007,-0.050311763,-0.029353744,-0.031839,TRUE,TRUE
10/29/2008,-0.050265934,-0.114334699,-0.116343349,FALSE,FALSE
9/9/2008,-0.050060122,-0.060761603,-0.063866353,FALSE,FALSE
5/20/2008,-0.049793453,-0.050362435,-0.049285017,FALSE,TRUE
8/4/2011,-0.049624158,-0.034999763,-0.035065861,TRUE,TRUE
4/15/2020,-0.049319361,-0.094077856,-0.099264719,FALSE,FALSE
11/17/2008,-0.049318275,-0.114334699,-0.116343349,FALSE,FALSE
3/5/2020,-0.049061302,-0.041568816,-0.039409996,TRUE,TRUE
11/12/2008,-0.048968311,-0.114334699,-0.116343349,FALSE,FALSE
10/3/2011,-0.048804812,-0.052758186,-0.057249744,FALSE,FALSE
10/13/2011,-0.0481928,-0.053865448,-0.05935315,FALSE,FALSE
2/4/2010,-0.048150979,-0.102519979,-0.107402042,FALSE,FALSE
2/5/2018,-0.047952363,-0.023038998,-0.025420042,TRUE,TRUE
6/6/2008,-0.047743423,-0.050362435,-0.050471247,FALSE,FALSE
4/16/2010,-0.047270486,-0.063428319,-0.07061467,FALSE,FALSE
3/11/2020,-0.047070488,-0.046896271,-0.060187625,TRUE,FALSE
7/28/2008,-0.047064777,-0.055026244,-0.056752707,FALSE,FALSE
9/2/2011,-0.046005456,-0.045622924,-0.052454558,TRUE,FALSE
1/9/2009,-0.045922118,-0.141632637,-0.143931328,FALSE,FALSE
2/3/2009,-0.045634998,-0.162782577,-0.159120593,FALSE,FALSE
9/4/2008,-0.045328609,-0.060761603,-0.063866353,FALSE,FALSE
2/25/2020,-0.044642871,-0.028500839,-0.030152633,TRUE,TRUE
12/4/2018,-0.044636449,-0.04225504,-0.038460845,TRUE,TRUE
6/2/2009,-0.044586014,-0.162782577,-0.162342653,FALSE,FALSE
4/13/2020,-0.044472557,-0.094077856,-0.099264719,FALSE,FALSE
7/2/2009,-0.044418123,-0.162782577,-0.162342653,FALSE,FALSE
2/28/2008,-0.044359401,-0.050362435,-0.049187614,FALSE,FALSE
7/14/2008,-0.044330489,-0.051705837,-0.05388456,FALSE,FALSE
2/8/2018,-0.044210205,-0.026657279,-0.029973909,TRUE,TRUE
2/11/2016,-0.044128242,-0.038508408,-0.039139404,TRUE,TRUE
3/13/2007,-0.043816523,-0.022371688,-0.023329574,TRUE,TRUE
2/28/2020,-0.043338567,-0.035989963,-0.035468881,TRUE,TRUE
5/17/2012,-0.043147181,-0.065136645,-0.071179158,FALSE,FALSE
4/30/2009,-0.042923434,-0.162782577,-0.162342653,FALSE,FALSE
5/29/2018,-0.042743573,-0.034559691,-0.034981756,TRUE,TRUE
5/6/2010,-0.042692938,-0.05954221,-0.061471132,FALSE,FALSE
9/9/2011,-0.042673712,-0.047850994,-0.05391802,FALSE,FALSE
10/15/2014,-0.042421157,-0.024453826,-0.027276159,TRUE,TRUE
11/7/2007,-0.042393991,-0.041156627,-0.041093455,TRUE,TRUE
3/26/2008,-0.042336082,-0.050362435,-0.049278658,FALSE,FALSE
2/19/2009,-0.042305904,-0.162782577,-0.159614184,FALSE,FALSE
2/29/2008,-0.042177122,-0.050362435,-0.049514938,FALSE,FALSE
2/4/2008,-0.042072518,-0.047129096,-0.04741241,FALSE,FALSE
6/26/2008,-0.04194144,-0.051705837,-0.05388456,FALSE,FALSE
2/23/2016,-0.041830306,-0.040899544,-0.041334453,TRUE,TRUE
7/5/2012,-0.041806019,-0.065136645,-0.071179158,FALSE,FALSE
3/22/2018,-0.041746567,-0.031145273,-0.032355773,TRUE,TRUE
7/9/2008,-0.041655046,-0.051705837,-0.05388456,FALSE,FALSE
2/27/2020,-0.041613993,-0.029997437,-0.033090902,TRUE,TRUE
8/14/2019,-0.041521796,-0.029860202,-0.031201649,TRUE,TRUE
2/22/2011,-0.041458375,-0.039965649,-0.040823283,TRUE,TRUE
10/6/2008,-0.041394377,-0.111847295,-0.111521958,FALSE,FALSE
9/1/2015,-0.041341608,-0.03500346,-0.037639769,TRUE,TRUE
3/14/2008,-0.041196535,-0.050362435,-0.049278658,FALSE,FALSE
9/1/2009,-0.041187323,-0.162782577,-0.162342653,FALSE,FALSE
8/25/2008,-0.04088126,-0.060761603,-0.063866353,FALSE,FALSE
1/12/2009,-0.04081629,-0.141632637,-0.143931328,FALSE,FALSE
10/15/2010,-0.040547494,-0.047719538,-0.049783534,FALSE,FALSE
6/10/2020,-0.040528342,-0.094077856,-0.099264719,FALSE,FALSE
8/17/2009,-0.040518279,-0.162782577,-0.162342653,FALSE,FALSE
9/30/2011,-0.040458682,-0.052758186,-0.057249744,FALSE,FALSE
1/7/2016,-0.040439436,-0.036002831,-0.03834048,TRUE,TRUE
3/6/2009,-0.040361446,-0.162782577,-0.162342653,FALSE,FALSE
10/27/2008,-0.040361276,-0.114334699,-0.116343349,FALSE,FALSE
11/19/2007,-0.039916477,-0.043119483,-0.044101671,FALSE,FALSE
1/8/2008,-0.039670997,-0.043119483,-0.04493093,FALSE,FALSE
