Date,PL,VaR,ES,Exception_VaR,Exception_ES
11/6/2015,-0.145608795,-0.039836711,-0.043012958,TRUE,TRUE
10/6/2008,-0.135157206,-0.066552933,-0.06376419,TRUE,TRUE
7/27/2016,-0.102254744,-0.04801233,-0.067546792,TRUE,TRUE
7/16/2018,-0.097377045,-0.050580641,-0.049725296,TRUE,TRUE
11/26/2015,-0.084703473,-0.04801233,-0.063053472,TRUE,TRUE
7/22/2008,-0.074653256,-0.055658883,-0.05689805,TRUE,TRUE
1/24/2008,-0.072338677,-0.047860414,-0.052347435,TRUE,TRUE
1/21/2008,-0.070432008,-0.044927248,-0.045701424,TRUE,TRUE
6/8/2006,-0.065026828,-0.043855239,-0.04424249,TRUE,TRUE
1/21/2010,-0.064757821,-0.049895939,-0.051181372,TRUE,TRUE
1/15/2009,-0.064607625,-0.071404409,-0.078912316,FALSE,FALSE
3/5/2007,-0.064535642,-0.056672347,-0.056106831,TRUE,TRUE
12/16/2014,-0.06356438,-0.038633223,-0.039453063,TRUE,TRUE
11/3/2008,-0.062572678,-0.071404409,-0.078694337,FALSE,FALSE
1/28/2008,-0.062515528,-0.056345477,-0.056257901,TRUE,TRUE
6/22/2006,-0.062319021,-0.046867173,-0.048775952,TRUE,TRUE
10/10/2008,-0.062130483,-0.071404409,-0.077932437,FALSE,FALSE
1/29/2018,-0.060073732,-0.050152987,-0.047379642,TRUE,TRUE
7/17/2006,-0.059420329,-0.051330727,-0.052417981,TRUE,TRUE
7/28/2017,-0.059305109,-0.048323598,-0.054243178,TRUE,TRUE
7/29/2008,-0.058449793,-0.066552933,-0.061781895,FALSE,FALSE
10/22/2008,-0.058061939,-0.071404409,-0.078694337,FALSE,FALSE
5/20/2019,-0.056684917,-0.04741992,-0.05453043,TRUE,TRUE
11/4/2016,-0.055987292,-0.067053927,-0.07633743,FALSE,FALSE
2/11/2019,-0.055728005,-0.045979346,-0.050405475,TRUE,TRUE
10/7/2008,-0.054125066,-0.071404409,-0.07770833,FALSE,FALSE
5/22/2006,-0.053812203,-0.041482776,-0.040896212,TRUE,TRUE
1/4/2010,-0.053610601,-0.047733138,-0.049770314,TRUE,TRUE
12/11/2008,-0.051533579,-0.071404409,-0.078912316,FALSE,FALSE
7/22/2009,-0.051225353,-0.063610501,-0.075533844,FALSE,FALSE
8/10/2017,-0.050723823,-0.050152987,-0.048221797,TRUE,TRUE
8/8/2017,-0.050431614,-0.045339442,-0.045727594,TRUE,TRUE
5/19/2014,-0.050168268,-0.035689127,-0.036942019,TRUE,TRUE
3/12/2020,-0.050056719,-0.035005718,-0.038711409,TRUE,TRUE
3/9/2017,-0.049862986,-0.042967513,-0.050520951,TRUE,FALSE
2/24/2011,-0.049396452,-0.033481792,-0.034634219,TRUE,TRUE
11/17/2006,-0.049366778,-0.056672347,-0.054557977,FALSE,FALSE
5/4/2011,-0.048868161,-0.036489789,-0.038642869,TRUE,TRUE
5/18/2006,-0.048747967,-0.038980982,-0.037768928,TRUE,TRUE
11/10/2015,-0.048683991,-0.044200244,-0.061148156,TRUE,FALSE
5/9/2008,-0.048522374,-0.055315218,-0.056785833,FALSE,FALSE
6/12/2009,-0.048512263,-0.063610501,-0.075533844,FALSE,FALSE
1/23/2007,-0.047898264,-0.056672347,-0.055901213,FALSE,FALSE
5/14/2007,-0.047821019,-0.060898662,-0.058666847,FALSE,FALSE
12/12/2018,-0.047788159,-0.045979346,-0.052649816,TRUE,FALSE
8/24/2015,-0.047313254,-0.039836711,-0.040710918,TRUE,TRUE
12/20/2010,-0.047294329,-0.035986908,-0.04159567,TRUE,TRUE
10/4/2018,-0.047036651,-0.040631133,-0.049856553,TRUE,FALSE
2/16/2009,-0.046922211,-0.063610501,-0.075533844,FALSE,FALSE
7/26/2016,-0.046721378,-0.04801233,-0.066244416,FALSE,FALSE
1/29/2008,-0.046458204,-0.063545786,-0.059678224,FALSE,FALSE
2/28/2020,-0.045630149,-0.031259742,-0.034862049,TRUE,TRUE
10/24/2008,-0.045103092,-0.071404409,-0.078694337,FALSE,FALSE
5/21/2018,-0.044878885,-0.050580641,-0.04830596,FALSE,FALSE
1/22/2008,-0.044867183,-0.047860414,-0.051260766,FALSE,FALSE
1/7/2009,-0.044791489,-0.071404409,-0.078912316,FALSE,FALSE
1/21/2009,-0.044560817,-0.071404409,-0.079262453,FALSE,FALSE
3/23/2020,-0.044473241,-0.043136003,-0.043403891,TRUE,TRUE
9/17/2012,-0.044062947,-0.029636828,-0.030857207,TRUE,TRUE
8/21/2013,-0.043085926,-0.030325816,-0.03209715,TRUE,TRUE
10/8/2014,-0.042945212,-0.035689127,-0.037648315,TRUE,TRUE
2/24/2006,-0.042757829,-0.039139808,-0.03903748,TRUE,TRUE
10/27/2008,-0.042510107,-0.071404409,-0.078694337,FALSE,FALSE
9/16/2008,-0.042208392,-0.066552933,-0.06376419,FALSE,FALSE
1/3/2008,-0.041915365,-0.043404616,-0.044514454,FALSE,FALSE
2/11/2009,-0.041778817,-0.063610501,-0.075533844,FALSE,FALSE
5/8/2009,-0.041572487,-0.063610501,-0.075533844,FALSE,FALSE
1/22/2009,-0.041494214,-0.071404409,-0.079262453,FALSE,FALSE
5/13/2014,-0.04118767,-0.033500802,-0.034494928,TRUE,TRUE
1/27/2015,-0.040960172,-0.042084016,-0.044396789,FALSE,FALSE
10/1/2009,-0.040846122,-0.062356003,-0.071926143,FALSE,FALSE
3/21/2017,-0.040631263,-0.048323598,-0.0534972,FALSE,FALSE
3/18/2020,-0.040540055,-0.040617399,-0.042092139,FALSE,FALSE
3/5/2009,-0.040533577,-0.063610501,-0.075533844,FALSE,FALSE
7/13/2009,-0.040313004,-0.063610501,-0.075533844,FALSE,FALSE
1/21/2016,-0.039371449,-0.04801233,-0.066435727,FALSE,FALSE
3/22/2016,-0.039060429,-0.04801233,-0.0659201,FALSE,FALSE
11/17/2011,-0.038986822,-0.041922811,-0.041896847,FALSE,FALSE
2/15/2019,-0.038953942,-0.04741992,-0.053994739,FALSE,FALSE
7/27/2007,-0.038807952,-0.047860414,-0.046124479,FALSE,FALSE
1/30/2015,-0.038667394,-0.042084016,-0.045383718,FALSE,FALSE
8/28/2008,-0.038663706,-0.066552933,-0.06376419,FALSE,FALSE
7/6/2009,-0.038623096,-0.063610501,-0.075533844,FALSE,FALSE
6/20/2008,-0.038388173,-0.055658883,-0.05689805,FALSE,FALSE
6/4/2008,-0.037916448,-0.055658883,-0.05689805,FALSE,FALSE
6/14/2010,-0.03717472,-0.049895939,-0.04942735,FALSE,FALSE
9/4/2015,-0.037144847,-0.041972542,-0.043583887,FALSE,FALSE
12/8/2015,-0.036699253,-0.056272989,-0.070480146,FALSE,FALSE
11/1/2011,-0.036332048,-0.04165079,-0.041663784,FALSE,FALSE
8/4/2017,-0.036317435,-0.045339442,-0.045181991,FALSE,FALSE
2/27/2009,-0.036276438,-0.063610501,-0.075533844,FALSE,FALSE
5/10/2018,-0.036210002,-0.050580641,-0.048162083,FALSE,FALSE
2/9/2016,-0.036070805,-0.04801233,-0.0659201,FALSE,FALSE
3/7/2014,-0.035974514,-0.03151346,-0.032108162,TRUE,TRUE
10/8/2007,-0.035878141,-0.047860414,-0.046635718,FALSE,FALSE
3/15/2011,-0.035776902,-0.036105064,-0.038024198,FALSE,FALSE
11/9/2015,-0.035668545,-0.044200244,-0.061074287,FALSE,FALSE
9/11/2006,-0.035612712,-0.056672347,-0.055188067,FALSE,FALSE
8/9/2011,-0.035439467,-0.04165079,-0.040172818,FALSE,FALSE
5/25/2017,-0.035402136,-0.048323598,-0.053748534,FALSE,FALSE
7/30/2019,-0.035400046,-0.04741992,-0.046069624,FALSE,FALSE
5/14/2014,-0.035392091,-0.034786179,-0.036418131,TRUE,FALSE
6/14/2006,-0.035137781,-0.046867173,-0.048775952,FALSE,FALSE
2/23/2007,-0.035110057,-0.056672347,-0.056106831,FALSE,FALSE
6/3/2008,-0.035059705,-0.055658883,-0.05689805,FALSE,FALSE
1/31/2018,-0.035036666,-0.050580641,-0.051217262,FALSE,FALSE
1/25/2011,-0.034991749,-0.031138186,-0.033997027,TRUE,TRUE
4/16/2009,-0.034801721,-0.063610501,-0.075533844,FALSE,FALSE
1/19/2010,-0.034750613,-0.049895939,-0.051181372,FALSE,FALSE
4/28/2009,-0.034601203,-0.063610501,-0.075533844,FALSE,FALSE
3/9/2020,-0.034595296,-0.03445361,-0.037761157,TRUE,FALSE
8/19/2011,-0.034526373,-0.04165079,-0.041402046,FALSE,FALSE
5/19/2009,-0.034260543,-0.063610501,-0.075533844,FALSE,FALSE
10/21/2015,-0.033821814,-0.039836711,-0.042298619,FALSE,FALSE
11/20/2018,-0.03379348,-0.045979346,-0.052570076,FALSE,FALSE
12/12/2008,-0.033754355,-0.071404409,-0.078912316,FALSE,FALSE
9/3/2013,-0.033549341,-0.032268735,-0.034789775,TRUE,FALSE
1/13/2009,-0.033514808,-0.071404409,-0.078912316,FALSE,FALSE
2/5/2020,-0.033468543,-0.037212533,-0.040152833,FALSE,FALSE
7/29/2013,-0.033450283,-0.029541434,-0.030627471,TRUE,TRUE
7/31/2017,-0.033164974,-0.052986382,-0.058178129,FALSE,FALSE
10/5/2009,-0.033028788,-0.062356003,-0.071926143,FALSE,FALSE
3/26/2014,-0.032991189,-0.033500802,-0.033581804,FALSE,FALSE
11/21/2007,-0.03265704,-0.043404616,-0.044477536,FALSE,FALSE
7/25/2016,-0.032640248,-0.04801233,-0.066244416,FALSE,FALSE
6/6/2006,-0.032632684,-0.043855239,-0.04424249,FALSE,FALSE
1/20/2012,-0.032435466,-0.037685983,-0.040567646,FALSE,FALSE
7/27/2017,-0.032134743,-0.048323598,-0.054243178,FALSE,FALSE
3/20/2009,-0.031966045,-0.063610501,-0.075533844,FALSE,FALSE
4/12/2010,-0.031910204,-0.049895939,-0.049696464,FALSE,FALSE
11/1/2018,-0.031799978,-0.045979346,-0.052516288,FALSE,FALSE
2/22/2007,-0.031734097,-0.056672347,-0.056106831,FALSE,FALSE
6/3/2014,-0.031690798,-0.038633223,-0.039635261,FALSE,FALSE
7/6/2006,-0.031621415,-0.051330727,-0.052417981,FALSE,FALSE
6/2/2009,-0.031596377,-0.063610501,-0.075533844,FALSE,FALSE
10/7/2014,-0.031589756,-0.035689127,-0.03758879,FALSE,FALSE
1/9/2017,-0.031321702,-0.043119913,-0.052420185,FALSE,FALSE
