Date,PL,VaR,ES,Exception_VaR,Exception_ES
5/19/2009,-0.521011105,-0.052436358,-0.048133031,TRUE,TRUE
2/4/2020,-0.120751924,-0.022127048,-0.021957455,TRUE,TRUE
3/23/2020,-0.100493881,-0.044918386,-0.055552233,TRUE,TRUE
5/19/2006,-0.085310201,-0.039069246,-0.051238835,TRUE,TRUE
6/13/2006,-0.083882735,-0.069666016,-0.065597036,TRUE,TRUE
5/18/2006,-0.083542398,-0.038251951,-0.043476737,TRUE,TRUE
3/17/2008,-0.078958706,-0.05517179,-0.05494122,TRUE,TRUE
5/15/2006,-0.074827525,-0.037387392,-0.036554748,TRUE,TRUE
3/5/2014,-0.074715787,-0.030186874,-0.033362252,TRUE,TRUE
3/12/2020,-0.073231837,-0.033540096,-0.046415952,TRUE,TRUE
10/4/2018,-0.069983533,-0.029947201,-0.034067897,TRUE,TRUE
1/22/2008,-0.069280818,-0.050116318,-0.04973447,TRUE,TRUE
9/24/2018,-0.064929015,-0.02521674,-0.025695187,TRUE,TRUE
5/22/2006,-0.064293833,-0.057459275,-0.059008178,TRUE,TRUE
1/21/2008,-0.060426987,-0.044109701,-0.04653031,TRUE,TRUE
12/12/2006,-0.056105286,-0.07927211,-0.072059651,FALSE,FALSE
12/20/2007,-0.055998867,-0.042104404,-0.043399439,TRUE,TRUE
11/5/2018,-0.055918118,-0.032311312,-0.041884853,TRUE,TRUE
10/23/2008,-0.055543015,-0.058257208,-0.05987656,FALSE,FALSE
10/24/2008,-0.055199941,-0.058257208,-0.06142568,FALSE,FALSE
7/27/2007,-0.054310955,-0.033861959,-0.036372613,TRUE,TRUE
3/18/2009,-0.052904992,-0.053606782,-0.054159406,FALSE,FALSE
3/10/2014,-0.052696784,-0.033184176,-0.040666202,TRUE,TRUE
10/8/2008,-0.051948596,-0.058257208,-0.058276895,FALSE,FALSE
5/19/2010,-0.050634593,-0.028336526,-0.108503165,TRUE,FALSE
11/25/2010,-0.050006766,-0.028336526,-0.029698753,TRUE,TRUE
8/24/2015,-0.049844715,-0.025771142,-0.029476383,TRUE,TRUE
2/5/2020,-0.049082965,-0.022487859,-0.038111847,TRUE,TRUE
9/16/2016,-0.047772434,-0.022701552,-0.023695263,TRUE,TRUE
6/1/2006,-0.047300842,-0.069666016,-0.063285558,FALSE,FALSE
3/10/2008,-0.047014036,-0.05517179,-0.054178998,FALSE,FALSE
6/10/2013,-0.046751815,-0.026168637,-0.028153357,TRUE,TRUE
8/16/2007,-0.045750472,-0.04003475,-0.042592293,TRUE,TRUE
6/7/2006,-0.044861144,-0.069666016,-0.064694851,FALSE,FALSE
6/17/2011,-0.044326923,-0.028527536,-0.030741977,TRUE,TRUE
5/21/2009,-0.04281472,-0.054075416,-0.125830343,FALSE,FALSE
11/29/2007,-0.042401961,-0.043812144,-0.045591971,FALSE,FALSE
4/24/2015,-0.042086845,-0.022801975,-0.02577405,TRUE,TRUE
8/1/2007,-0.041794702,-0.036137549,-0.040844218,TRUE,TRUE
9/17/2012,-0.04080513,-0.025422078,-0.026537569,TRUE,TRUE
8/21/2007,-0.040625975,-0.043812144,-0.044573592,FALSE,FALSE
6/2/2008,-0.040596884,-0.058257208,-0.060388478,FALSE,FALSE
2/10/2020,-0.040583825,-0.023896011,-0.042894789,TRUE,FALSE
1/15/2008,-0.039726027,-0.044109701,-0.046437991,FALSE,FALSE
12/16/2014,-0.039510204,-0.027929236,-0.038744804,TRUE,TRUE
6/16/2006,-0.039177892,-0.07927211,-0.072059651,FALSE,FALSE
1/31/2008,-0.039006064,-0.05517179,-0.054178998,FALSE,FALSE
6/26/2006,-0.0382295,-0.07927211,-0.072059651,FALSE,FALSE
9/11/2006,-0.038202963,-0.07927211,-0.072059651,FALSE,FALSE
4/1/2020,-0.03749803,-0.06139889,-0.06735722,FALSE,FALSE
11/28/2007,-0.037418037,-0.043812144,-0.045257907,FALSE,FALSE
1/10/2008,-0.037180776,-0.044109701,-0.046437991,FALSE,FALSE
4/7/2006,-0.037020153,-0.036861437,-0.034694139,TRUE,TRUE
11/5/2008,-0.036940443,-0.058257208,-0.062143277,FALSE,FALSE
3/7/2008,-0.035821688,-0.05517179,-0.054178998,FALSE,FALSE
10/19/2007,-0.035777568,-0.043812144,-0.044961274,FALSE,FALSE
1/28/2008,-0.035718348,-0.05517179,-0.054178998,FALSE,FALSE
6/11/2013,-0.035713738,-0.028431235,-0.032079856,TRUE,TRUE
1/18/2008,-0.035117159,-0.044109701,-0.04653031,FALSE,FALSE
8/5/2011,-0.035090814,-0.031609846,-0.034272163,TRUE,TRUE
5/5/2011,-0.034400731,-0.028527536,-0.033339721,TRUE,TRUE
11/30/2007,-0.034041464,-0.044109701,-0.046455018,FALSE,FALSE
4/27/2007,-0.033987832,-0.07927211,-0.07356595,FALSE,FALSE
2/12/2007,-0.033730949,-0.07927211,-0.07356595,FALSE,FALSE
6/8/2006,-0.03295231,-0.069666016,-0.065597036,FALSE,FALSE
9/28/2018,-0.032445406,-0.026785488,-0.032796766,TRUE,FALSE
11/8/2011,-0.032297142,-0.034752674,-0.036779382,FALSE,FALSE
4/25/2006,-0.032276794,-0.037387392,-0.03607463,FALSE,FALSE
8/22/2006,-0.032276566,-0.07927211,-0.072059651,FALSE,FALSE
9/21/2018,-0.032171744,-0.023839585,-0.023756514,TRUE,TRUE
6/5/2006,-0.031400492,-0.069666016,-0.064694851,FALSE,FALSE
5/2/2017,-0.031333707,-0.027213444,-0.029621691,TRUE,TRUE
6/24/2020,-0.031105228,-0.06139889,-0.068667515,FALSE,FALSE
5/22/2008,-0.030790297,-0.058257208,-0.060388478,FALSE,FALSE
7/30/2013,-0.030551366,-0.032819684,-0.034234066,FALSE,FALSE
3/19/2020,-0.03011803,-0.044918386,-0.05485335,FALSE,FALSE
