Date,PL,VaR,ES,Exception_VaR,Exception_ES
1/28/2009,-0.248338188,-0.137098115,-0.147969759,TRUE,TRUE
3/12/2020,-0.230590956,-0.072882137,-0.072990727,TRUE,TRUE
10/24/2008,-0.199975272,-0.106202937,-0.110175573,TRUE,TRUE
10/27/2008,-0.199907255,-0.121467317,-0.128021261,TRUE,TRUE
5/12/2017,-0.161875875,-0.038128319,-0.038946693,TRUE,TRUE
1/21/2008,-0.147272727,-0.062250473,-0.066528105,TRUE,TRUE
8/19/2009,-0.146434677,-0.163941724,-0.164383697,FALSE,FALSE
6/8/2006,-0.138813954,-0.059286297,-0.056998634,TRUE,TRUE
10/8/2008,-0.126508212,-0.08754245,-0.089347278,TRUE,TRUE
10/23/2008,-0.116220671,-0.093943605,-0.104450979,TRUE,TRUE
3/23/2020,-0.111478466,-0.076754151,-0.10047994,TRUE,TRUE
1/7/2009,-0.109934853,-0.137098115,-0.146207396,FALSE,FALSE
6/8/2009,-0.106054623,-0.163941724,-0.164140233,FALSE,FALSE
12/8/2008,-0.099968008,-0.137098115,-0.145387116,FALSE,FALSE
3/5/2009,-0.099966111,-0.163941724,-0.164140233,FALSE,FALSE
2/28/2011,-0.098475326,-0.054941652,-0.056300811,TRUE,TRUE
4/28/2009,-0.097340736,-0.163941724,-0.164140233,FALSE,FALSE
9/29/2008,-0.095776317,-0.062698304,-0.078420754,TRUE,TRUE
1/12/2009,-0.095125777,-0.137098115,-0.147969759,FALSE,FALSE
2/28/2007,-0.095080291,-0.067761287,-0.078664953,TRUE,TRUE
10/7/2019,-0.094626739,-0.062758466,-0.061787643,TRUE,TRUE
10/22/2008,-0.09203609,-0.092639367,-0.099926385,FALSE,FALSE
10/3/2008,-0.089374379,-0.075455915,-0.084580942,TRUE,TRUE
12/18/2008,-0.088939722,-0.137098115,-0.146207396,FALSE,FALSE
9/15/2008,-0.085635747,-0.060332175,-0.073595269,TRUE,TRUE
8/24/2015,-0.083510001,-0.046418142,-0.047137388,TRUE,TRUE
1/18/2016,-0.08009393,-0.048314881,-0.053592764,TRUE,TRUE
3/5/2007,-0.07810676,-0.068485933,-0.083425978,TRUE,FALSE
6/24/2019,-0.077907813,-0.044323881,-0.046472555,TRUE,TRUE
1/21/2009,-0.077139956,-0.137098115,-0.147969759,FALSE,FALSE
2/9/2018,-0.076604496,-0.042611527,-0.060998243,TRUE,TRUE
1/27/2009,-0.076375258,-0.137098115,-0.147969759,FALSE,FALSE
12/9/2010,-0.075957686,-0.040966582,-0.042096337,TRUE,TRUE
8/14/2019,-0.075553401,-0.048618122,-0.052831437,TRUE,TRUE
2/17/2020,-0.070101842,-0.070584955,-0.07047778,FALSE,FALSE
2/4/2009,-0.069812087,-0.163941724,-0.164140233,FALSE,FALSE
6/26/2013,-0.069296323,-0.036187297,-0.03773702,TRUE,TRUE
2/3/2009,-0.069260955,-0.163941724,-0.164140233,FALSE,FALSE
1/9/2009,-0.068984468,-0.137098115,-0.147969759,FALSE,FALSE
2/12/2007,-0.068737917,-0.066988257,-0.077349906,TRUE,FALSE
4/13/2006,-0.068223665,-0.046545677,-0.046035015,TRUE,TRUE
11/18/2008,-0.067553289,-0.137098115,-0.145387116,FALSE,FALSE
5/19/2006,-0.067280037,-0.049961076,-0.052252119,TRUE,TRUE
1/17/2011,-0.067164163,-0.05133748,-0.052353147,TRUE,TRUE
6/23/2020,-0.066859067,-0.086434465,-0.108210281,FALSE,FALSE
5/18/2006,-0.066684569,-0.046545677,-0.047507823,TRUE,TRUE
6/12/2006,-0.066367713,-0.066988257,-0.072327337,FALSE,FALSE
7/10/2009,-0.065680693,-0.163941724,-0.164383697,FALSE,FALSE
12/10/2008,-0.065576725,-0.137098115,-0.146207396,FALSE,FALSE
2/15/2019,-0.065413715,-0.043699971,-0.047710896,TRUE,TRUE
5/6/2008,-0.064860579,-0.058982782,-0.071709488,TRUE,FALSE
9/23/2013,-0.064316885,-0.038500442,-0.04514276,TRUE,TRUE
2/24/2020,-0.064220167,-0.072882137,-0.073157055,FALSE,FALSE
11/11/2008,-0.063494442,-0.137098115,-0.145387116,FALSE,FALSE
9/29/2006,-0.062192418,-0.066988257,-0.07534425,FALSE,FALSE
1/22/2008,-0.060447774,-0.073516027,-0.081869842,FALSE,FALSE
12/20/2011,-0.060261418,-0.054529306,-0.062034514,TRUE,FALSE
3/17/2008,-0.060211859,-0.056863876,-0.069170966,TRUE,FALSE
10/7/2008,-0.060029812,-0.08754245,-0.089347278,FALSE,FALSE
8/16/2019,-0.059994839,-0.057403655,-0.058620174,TRUE,TRUE
2/16/2009,-0.05963606,-0.163941724,-0.164140233,FALSE,FALSE
1/21/2016,-0.058872131,-0.053114485,-0.059397672,TRUE,FALSE
5/15/2017,-0.058323993,-0.043545102,-0.059984018,TRUE,FALSE
1/23/2009,-0.057843589,-0.137098115,-0.147969759,FALSE,FALSE
1/10/2011,-0.057817896,-0.046410125,-0.048771382,TRUE,TRUE
1/30/2008,-0.057703539,-0.073516027,-0.082661768,FALSE,FALSE
6/30/2009,-0.057006118,-0.163941724,-0.164383697,FALSE,FALSE
1/22/2009,-0.056743779,-0.137098115,-0.147969759,FALSE,FALSE
2/11/2008,-0.055989942,-0.073516027,-0.083340689,FALSE,FALSE
5/8/2009,-0.055803032,-0.163941724,-0.164140233,FALSE,FALSE
1/23/2007,-0.055498236,-0.066988257,-0.077041268,FALSE,FALSE
4/16/2009,-0.055327885,-0.163941724,-0.164140233,FALSE,FALSE
5/6/2015,-0.055264597,-0.046872372,-0.047157925,TRUE,TRUE
2/28/2020,-0.055148977,-0.072882137,-0.072966087,FALSE,FALSE
8/20/2013,-0.05469191,-0.038342033,-0.043354986,TRUE,TRUE
11/13/2019,-0.054532965,-0.070584955,-0.069694365,FALSE,FALSE
2/23/2007,-0.054121187,-0.067761287,-0.078664953,FALSE,FALSE
7/15/2008,-0.05393605,-0.060332175,-0.07358539,FALSE,FALSE
3/18/2008,-0.053689067,-0.058982782,-0.071207162,FALSE,FALSE
1/31/2012,-0.053559919,-0.050959587,-0.058886319,TRUE,FALSE
7/22/2009,-0.0532276,-0.163941724,-0.164383697,FALSE,FALSE
6/24/2020,-0.053195852,-0.086434465,-0.108315837,FALSE,FALSE
9/30/2008,-0.052330651,-0.075455915,-0.084580942,FALSE,FALSE
2/2/2016,-0.052324151,-0.057104439,-0.061677565,FALSE,FALSE
7/28/2010,-0.051948011,-0.049213471,-0.063954311,TRUE,FALSE
3/17/2020,-0.051882474,-0.076754151,-0.10047994,FALSE,FALSE
11/21/2007,-0.051477574,-0.062250473,-0.066336079,FALSE,FALSE
9/16/2014,-0.051422636,-0.046031934,-0.04741597,TRUE,TRUE
3/7/2007,-0.051114757,-0.073516027,-0.085266203,FALSE,FALSE
5/11/2011,-0.051106489,-0.062584492,-0.066353316,FALSE,FALSE
12/9/2015,-0.050876613,-0.046418142,-0.052728712,TRUE,FALSE
5/5/2011,-0.050806689,-0.062584492,-0.065840713,FALSE,FALSE
1/27/2010,-0.050702029,-0.103071252,-0.127098897,FALSE,FALSE
8/10/2017,-0.050662346,-0.047275409,-0.063912052,TRUE,FALSE
