Date,PL,VaR,ES,Exception_VaR,Exception_ES
7/21/2015,-0.150580169,-0.044630878,-0.056428293,TRUE,TRUE
5/19/2009,-0.135876295,-0.05797685,-0.060760942,TRUE,TRUE
6/26/2009,-0.116449236,-0.073899834,-0.078819199,TRUE,TRUE
5/29/2017,-0.114595288,-0.050990943,-0.052436983,TRUE,TRUE
3/23/2020,-0.11156742,-0.049190547,-0.058362805,TRUE,TRUE
6/1/2015,-0.091553622,-0.042563254,-0.046808539,TRUE,TRUE
5/13/2019,-0.0905768,-0.070948106,-0.068010989,TRUE,TRUE
4/21/2015,-0.087756306,-0.042563254,-0.040395891,TRUE,TRUE
1/22/2008,-0.085551171,-0.041305217,-0.04158163,TRUE,TRUE
1/18/2019,-0.083929174,-0.064045089,-0.064233795,TRUE,TRUE
3/12/2020,-0.080709996,-0.045548473,-0.051787269,TRUE,TRUE
5/29/2009,-0.080701349,-0.065171864,-0.074404103,TRUE,TRUE
10/27/2008,-0.079834225,-0.053180971,-0.059581675,TRUE,TRUE
12/3/2018,-0.075517685,-0.0508783,-0.054519884,TRUE,TRUE
11/14/2018,-0.074143345,-0.048863648,-0.04988201,TRUE,TRUE
11/4/2016,-0.074113582,-0.044600078,-0.048427892,TRUE,TRUE
3/16/2012,-0.06940065,-0.033039671,-0.032991359,TRUE,TRUE
6/24/2008,-0.067723223,-0.049045683,-0.054061011,TRUE,TRUE
12/5/2018,-0.067622448,-0.055833317,-0.05925193,TRUE,TRUE
8/31/2020,-0.063877643,-0.046628509,-0.060171233,TRUE,TRUE
1/30/2009,-0.062516368,-0.060632346,-0.06444651,TRUE,FALSE
5/31/2016,-0.060768351,-0.053936956,-0.071957013,TRUE,FALSE
2/21/2018,-0.060321716,-0.042454151,-0.054686207,TRUE,TRUE
1/17/2019,-0.060048481,-0.064045089,-0.062578988,FALSE,FALSE
12/7/2016,-0.0596899,-0.044600078,-0.049908944,TRUE,TRUE
6/8/2006,-0.058423948,-0.053242179,-0.057597974,TRUE,TRUE
11/9/2015,-0.057816792,-0.069206109,-0.076394531,FALSE,FALSE
7/29/2009,-0.054237003,-0.080276458,-0.086615361,FALSE,FALSE
6/7/2006,-0.053280652,-0.051067956,-0.05581847,TRUE,FALSE
10/10/2008,-0.053252046,-0.052008886,-0.058689104,TRUE,FALSE
3/31/2006,-0.053202136,-0.04279323,-0.049144155,TRUE,TRUE
5/29/2008,-0.053106996,-0.045422387,-0.05075401,TRUE,TRUE
