Date,PL,VaR,ES,Exception_VaR,Exception_ES
3/23/2020,-0.279107793,-0.074359725,-0.077937047,TRUE,TRUE
10/10/2008,-0.146893134,-0.083429657,-0.086683623,TRUE,TRUE
10/24/2008,-0.134238477,-0.085934693,-0.097882749,TRUE,TRUE
3/12/2020,-0.122870718,-0.046384535,-0.04237449,TRUE,TRUE
6/8/2006,-0.122767887,-0.0594235,-0.062722834,TRUE,TRUE
7/29/2008,-0.111286421,-0.081199843,-0.080867684,TRUE,TRUE
3/16/2020,-0.10583682,-0.04964232,-0.057275965,TRUE,TRUE
3/19/2020,-0.095469449,-0.052125231,-0.06970096,TRUE,TRUE
10/18/2017,-0.094806629,-0.037701866,-0.046013955,TRUE,TRUE
5/4/2020,-0.094628021,-0.100756808,-0.126151606,FALSE,FALSE
9/3/2013,-0.094238077,-0.060039408,-0.063371663,TRUE,TRUE
4/3/2020,-0.092569309,-0.100756808,-0.115572791,FALSE,FALSE
7/6/2009,-0.090398999,-0.098654562,-0.106234784,FALSE,FALSE
8/16/2013,-0.087552215,-0.051339856,-0.050276944,TRUE,TRUE
4/1/2008,-0.086345502,-0.072002905,-0.072241073,TRUE,TRUE
7/3/2008,-0.085507117,-0.079278689,-0.078620122,TRUE,TRUE
1/7/2009,-0.083633166,-0.09906537,-0.10653127,FALSE,FALSE
1/24/2006,-0.083594272,-0.051178818,-0.053446214,TRUE,TRUE
2/2/2009,-0.082660804,-0.09906537,-0.106915307,FALSE,FALSE
8/24/2015,-0.082333906,-0.045817473,-0.045249966,TRUE,TRUE
3/3/2008,-0.081267402,-0.0600085,-0.061899716,TRUE,TRUE
1/22/2008,-0.081129527,-0.064086279,-0.06209668,TRUE,TRUE
3/30/2009,-0.078993122,-0.09906537,-0.106971043,FALSE,FALSE
10/26/2016,-0.078529559,-0.045910123,-0.050328628,TRUE,TRUE
4/21/2020,-0.077420807,-0.100756808,-0.122023221,FALSE,FALSE
3/17/2008,-0.077352307,-0.06639825,-0.06958464,TRUE,TRUE
5/18/2020,-0.076566725,-0.100756808,-0.12957397,FALSE,FALSE
1/23/2009,-0.07631292,-0.09906537,-0.106915307,FALSE,FALSE
6/9/2008,-0.075537479,-0.079278689,-0.075909533,FALSE,FALSE
11/17/2008,-0.075463985,-0.09906537,-0.10653127,FALSE,FALSE
10/28/2015,-0.074549626,-0.048752713,-0.052921669,TRUE,TRUE
11/11/2008,-0.073657424,-0.09906537,-0.10653127,FALSE,FALSE
6/27/2008,-0.073134754,-0.079278689,-0.077545174,FALSE,FALSE
1/12/2009,-0.071722195,-0.09906537,-0.106915307,FALSE,FALSE
3/2/2009,-0.071284836,-0.09906537,-0.106971043,FALSE,FALSE
12/23/2008,-0.070697656,-0.09906537,-0.10653127,FALSE,FALSE
11/12/2008,-0.068699585,-0.09906537,-0.10653127,FALSE,FALSE
1/20/2017,-0.06831333,-0.041764593,-0.048614913,TRUE,TRUE
1/23/2007,-0.068088178,-0.058383117,-0.071213719,TRUE,FALSE
1/9/2009,-0.067994619,-0.09906537,-0.106915307,FALSE,FALSE
3/5/2009,-0.066583905,-0.09906537,-0.106971043,FALSE,FALSE
3/13/2008,-0.066435161,-0.064918152,-0.067881413,TRUE,FALSE
8/16/2007,-0.066359833,-0.059422863,-0.058955874,TRUE,TRUE
9/23/2013,-0.065587182,-0.062556219,-0.070067922,TRUE,FALSE
2/13/2007,-0.06472871,-0.058383117,-0.068732744,TRUE,FALSE
7/24/2013,-0.064596614,-0.039048886,-0.043117432,TRUE,TRUE
9/5/2008,-0.063947148,-0.083429657,-0.086683623,FALSE,FALSE
4/16/2009,-0.063665195,-0.09906537,-0.106971043,FALSE,FALSE
4/2/2007,-0.063417627,-0.063141119,-0.070603829,TRUE,FALSE
7/25/2008,-0.062409517,-0.081199843,-0.080867684,FALSE,FALSE
3/7/2008,-0.062179392,-0.064918152,-0.066521915,FALSE,FALSE
11/14/2008,-0.061583877,-0.09906537,-0.10653127,FALSE,FALSE
4/13/2006,-0.061488729,-0.05405645,-0.057695362,TRUE,TRUE
12/19/2011,-0.060837344,-0.050093983,-0.049950642,TRUE,TRUE
4/24/2020,-0.060690563,-0.100756808,-0.125871741,FALSE,FALSE
8/27/2013,-0.060432542,-0.058883192,-0.061528091,TRUE,FALSE
7/16/2013,-0.059630228,-0.037341355,-0.038452202,TRUE,TRUE
7/15/2008,-0.058721564,-0.081199843,-0.080867684,FALSE,FALSE
2/27/2012,-0.058261895,-0.0520541,-0.052899777,TRUE,TRUE
8/19/2013,-0.058105665,-0.056614988,-0.05820913,TRUE,FALSE
9/23/2016,-0.058043218,-0.041764593,-0.046770219,TRUE,TRUE
11/5/2008,-0.056913055,-0.09906537,-0.10653127,FALSE,FALSE
5/22/2020,-0.056690928,-0.100756808,-0.12957397,FALSE,FALSE
1/15/2008,-0.056460224,-0.064086279,-0.061815357,FALSE,FALSE
2/22/2012,-0.055568432,-0.050633359,-0.051611606,TRUE,TRUE
