Date,PL,VaR,ES,Exception_VaR,Exception_ES
10/14/2009,-0.49697097,-0.077454956,-0.138171644,TRUE,TRUE
5/4/2009,-0.457285059,-0.08488313,-0.085736116,TRUE,TRUE
3/23/2020,-0.126068971,-0.049684544,-0.055661964,TRUE,TRUE
7/15/2008,-0.110017922,-0.053695178,-0.057295052,TRUE,TRUE
3/18/2020,-0.100707573,-0.031833704,-0.043961328,TRUE,TRUE
10/24/2008,-0.094344908,-0.070060456,-0.076489187,TRUE,TRUE
7/29/2008,-0.086852386,-0.066233483,-0.069633157,TRUE,TRUE
3/12/2020,-0.083049072,-0.027775527,-0.028775337,TRUE,TRUE
1/7/2009,-0.082833496,-0.079594585,-0.083887894,TRUE,FALSE
8/27/2013,-0.080811328,-0.036338095,-0.038363837,TRUE,TRUE
3/30/2020,-0.080490892,-0.074554524,-0.071380629,TRUE,TRUE
5/4/2020,-0.078658404,-0.081795564,-0.080383378,FALSE,FALSE
7/25/2008,-0.072040548,-0.059222209,-0.066607792,TRUE,TRUE
11/17/2008,-0.071856883,-0.079594585,-0.082820418,FALSE,FALSE
11/20/2008,-0.071618324,-0.079594585,-0.083581761,FALSE,FALSE
11/11/2008,-0.070273471,-0.079594585,-0.081761804,FALSE,FALSE
3/17/2008,-0.067999545,-0.053512688,-0.054776855,TRUE,TRUE
3/16/2020,-0.06571326,-0.029277071,-0.037805813,TRUE,TRUE
1/16/2008,-0.064395337,-0.050565692,-0.05051352,TRUE,TRUE
10/7/2008,-0.061442527,-0.070060456,-0.075782209,FALSE,FALSE
10/17/2008,-0.061236622,-0.070060456,-0.076360833,FALSE,FALSE
7/6/2009,-0.060564032,-0.090673572,-0.147414166,FALSE,FALSE
6/13/2006,-0.05864929,-0.034927655,-0.036192671,TRUE,TRUE
8/21/2008,-0.058027766,-0.070060456,-0.074964851,FALSE,FALSE
5/18/2020,-0.057985699,-0.081795564,-0.087046801,FALSE,FALSE
10/6/2008,-0.057221205,-0.070060456,-0.075646878,FALSE,FALSE
3/30/2009,-0.055868932,-0.08488313,-0.085736116,FALSE,FALSE
4/2/2007,-0.0553372,-0.045896202,-0.046407505,TRUE,TRUE
1/15/2009,-0.053961374,-0.08488313,-0.085736116,FALSE,FALSE
3/31/2008,-0.053837933,-0.054459805,-0.057534934,FALSE,FALSE
8/16/2013,-0.053834318,-0.034300633,-0.034066989,TRUE,TRUE
1/22/2008,-0.053546597,-0.052246596,-0.05346473,TRUE,TRUE
11/7/2007,-0.053477395,-0.0485533,-0.048668239,TRUE,TRUE
10/10/2008,-0.052710102,-0.070060456,-0.076360833,FALSE,FALSE
3/13/2008,-0.052095877,-0.053512688,-0.054329362,FALSE,FALSE
1/10/2011,-0.051642471,-0.029953688,-0.030342006,TRUE,TRUE
9/23/2008,-0.051472335,-0.070060456,-0.075646878,FALSE,FALSE
10/18/2007,-0.05096556,-0.047459112,-0.047116989,TRUE,TRUE
11/12/2007,-0.050149502,-0.049976881,-0.050321255,TRUE,FALSE
3/2/2009,-0.049241115,-0.08488313,-0.085736116,FALSE,FALSE
12/11/2006,-0.048947848,-0.038084583,-0.040652785,TRUE,TRUE
2/14/2007,-0.048142649,-0.03904076,-0.042877236,TRUE,TRUE
8/16/2007,-0.046747676,-0.045896202,-0.045923171,TRUE,TRUE
