Date,PL,VaR,ES,Exception_VaR,Exception_ES
10/10/2008,-0.198567248,-0.093413893,-0.100468691,TRUE,TRUE
3/23/2020,-0.178478478,-0.072624374,-0.068906067,TRUE,TRUE
10/24/2008,-0.143795386,-0.110355868,-0.118998856,TRUE,TRUE
3/17/2008,-0.133412789,-0.065884713,-0.065270023,TRUE,TRUE
3/30/2009,-0.122275017,-0.126711524,-0.131809348,FALSE,FALSE
9/29/2008,-0.119736739,-0.084970817,-0.092831057,TRUE,TRUE
5/4/2020,-0.110745776,-0.087218276,-0.101061231,TRUE,TRUE
1/7/2009,-0.106218486,-0.126711524,-0.12853948,FALSE,FALSE
7/25/2008,-0.100592105,-0.079125311,-0.085693255,TRUE,TRUE
7/6/2009,-0.099676581,-0.121031261,-0.130027305,FALSE,FALSE
3/16/2020,-0.09906086,-0.039858146,-0.048644912,TRUE,TRUE
8/24/2015,-0.089543545,-0.045185929,-0.045734665,TRUE,TRUE
3/17/2020,-0.088483481,-0.050923257,-0.058899812,TRUE,TRUE
7/15/2008,-0.085942694,-0.075700402,-0.082372016,TRUE,TRUE
3/12/2020,-0.085901429,-0.036437196,-0.040318453,TRUE,TRUE
11/12/2008,-0.085299158,-0.126711524,-0.128507572,FALSE,FALSE
10/3/2008,-0.084501457,-0.093413893,-0.099609427,FALSE,FALSE
7/29/2008,-0.083959271,-0.082607927,-0.090836339,TRUE,FALSE
4/21/2020,-0.081511162,-0.087218276,-0.099711079,FALSE,FALSE
10/22/2008,-0.079688561,-0.110355868,-0.118998856,FALSE,FALSE
11/11/2008,-0.079474617,-0.126711524,-0.128507572,FALSE,FALSE
7/3/2008,-0.079137047,-0.070862395,-0.080003667,TRUE,FALSE
3/31/2008,-0.079113096,-0.070862395,-0.077514283,TRUE,TRUE
10/15/2008,-0.078745751,-0.110355868,-0.118998856,FALSE,FALSE
4/3/2020,-0.078740159,-0.087218276,-0.096028195,FALSE,FALSE
10/23/2008,-0.077892758,-0.110355868,-0.118998856,FALSE,FALSE
3/30/2020,-0.077828488,-0.087218276,-0.090861092,FALSE,FALSE
5/18/2020,-0.074992287,-0.093877945,-0.106218596,FALSE,FALSE
2/2/2009,-0.074834332,-0.126711524,-0.131809348,FALSE,FALSE
6/24/2020,-0.074571284,-0.093877945,-0.106218596,FALSE,FALSE
12/1/2008,-0.074222226,-0.126711524,-0.12853948,FALSE,FALSE
4/30/2007,-0.074105827,-0.061265614,-0.060718743,TRUE,TRUE
1/15/2009,-0.073566013,-0.126711524,-0.131809348,FALSE,FALSE
5/19/2010,-0.072819888,-0.06131096,-0.065130634,TRUE,TRUE
10/18/2007,-0.072148415,-0.056437201,-0.059633889,TRUE,TRUE
11/20/2008,-0.071788176,-0.126711524,-0.12853948,FALSE,FALSE
2/20/2009,-0.070955353,-0.126711524,-0.131809348,FALSE,FALSE
3/2/2009,-0.070676304,-0.126711524,-0.131809348,FALSE,FALSE
3/7/2008,-0.069523885,-0.060434301,-0.062934141,TRUE,TRUE
1/21/2009,-0.068005384,-0.126711524,-0.131809348,FALSE,FALSE
11/18/2008,-0.067925708,-0.126711524,-0.12853948,FALSE,FALSE
12/11/2006,-0.067591715,-0.05460239,-0.054280319,TRUE,TRUE
4/21/2009,-0.065392863,-0.121031261,-0.130027305,FALSE,FALSE
7/1/2008,-0.065219667,-0.070862395,-0.07936831,FALSE,FALSE
6/27/2008,-0.065080817,-0.070862395,-0.078154758,FALSE,FALSE
10/8/2008,-0.064529365,-0.093413893,-0.100468691,FALSE,FALSE
6/8/2006,-0.064510608,-0.054271211,-0.054625977,TRUE,TRUE
5/19/2006,-0.064508405,-0.048488262,-0.04843479,TRUE,TRUE
10/27/2009,-0.063313049,-0.103012953,-0.105091495,FALSE,FALSE
5/20/2009,-0.062488103,-0.121031261,-0.130027305,FALSE,FALSE
1/18/2008,-0.062097003,-0.056437201,-0.060362961,TRUE,TRUE
7/27/2020,-0.061026686,-0.093877945,-0.106218596,FALSE,FALSE
4/28/2009,-0.060634719,-0.121031261,-0.130027305,FALSE,FALSE
9/17/2008,-0.060324417,-0.084970817,-0.092831057,FALSE,FALSE
7/8/2009,-0.060085772,-0.121031261,-0.13057666,FALSE,FALSE
9/26/2008,-0.060046152,-0.084970817,-0.092831057,FALSE,FALSE
10/17/2008,-0.059833251,-0.110355868,-0.118998856,FALSE,FALSE
4/2/2018,-0.059277886,-0.03021893,-0.031662987,TRUE,TRUE
3/9/2020,-0.058805399,-0.035557504,-0.035997942,TRUE,TRUE
3/3/2008,-0.058703733,-0.060035799,-0.062123327,FALSE,FALSE
2/16/2009,-0.058471626,-0.126711524,-0.131809348,FALSE,FALSE
4/2/2007,-0.057890465,-0.060755834,-0.059890577,FALSE,FALSE
9/23/2008,-0.057573737,-0.084970817,-0.092831057,FALSE,FALSE
12/22/2008,-0.057317283,-0.126711524,-0.12853948,FALSE,FALSE
2/17/2009,-0.056967466,-0.126711524,-0.131809348,FALSE,FALSE
5/31/2006,-0.056850096,-0.050369248,-0.052420533,TRUE,TRUE
2/1/2016,-0.056264262,-0.048796835,-0.054519321,TRUE,TRUE
11/11/2016,-0.05536468,-0.049482455,-0.048730383,TRUE,TRUE
4/5/2016,-0.055076114,-0.048796835,-0.055128333,TRUE,FALSE
3/14/2007,-0.054924621,-0.060755834,-0.059437673,FALSE,FALSE
5/26/2009,-0.054847822,-0.121031261,-0.130027305,FALSE,FALSE
2/24/2011,-0.054415121,-0.041196919,-0.04456911,TRUE,TRUE
7/16/2013,-0.054287273,-0.037360082,-0.037607322,TRUE,TRUE
1/21/2008,-0.05387326,-0.060035799,-0.061969178,FALSE,FALSE
8/17/2009,-0.053563897,-0.121031261,-0.12985508,FALSE,FALSE
12/26/2008,-0.053520725,-0.126711524,-0.12853948,FALSE,FALSE
8/16/2007,-0.052924802,-0.056437201,-0.057783416,FALSE,FALSE
2/28/2007,-0.052864926,-0.060755834,-0.058906211,FALSE,FALSE
8/14/2008,-0.052415313,-0.084970817,-0.092831057,FALSE,FALSE
1/27/2010,-0.052364962,-0.072933632,-0.08364339,FALSE,FALSE
8/16/2013,-0.052265131,-0.039162941,-0.041212475,TRUE,TRUE
6/12/2006,-0.052262941,-0.058708276,-0.057442228,FALSE,FALSE
3/4/2008,-0.052214036,-0.060434301,-0.062934141,FALSE,FALSE
3/5/2009,-0.052123572,-0.126711524,-0.131809348,FALSE,FALSE
9/3/2013,-0.052078934,-0.045293416,-0.04556892,TRUE,TRUE
5/8/2009,-0.051975192,-0.121031261,-0.130027305,FALSE,FALSE
5/11/2020,-0.051969255,-0.093877945,-0.106218596,FALSE,FALSE
5/6/2009,-0.051838644,-0.121031261,-0.130027305,FALSE,FALSE
8/21/2008,-0.051710415,-0.084970817,-0.092831057,FALSE,FALSE
