Date,PL,VaR,ES,Exception_VaR,Exception_ES
3/12/2020,-0.122236694,-0.068221736,-0.073818848,TRUE,TRUE
2/27/2018,-0.121875018,-0.075791133,-0.082282352,TRUE,TRUE
2/15/2018,-0.120671959,-0.065774533,-0.067900401,TRUE,TRUE
5/16/2018,-0.120418841,-0.088731855,-0.092406899,TRUE,TRUE
10/24/2008,-0.116266865,-0.070133345,-0.072356641,TRUE,TRUE
7/8/2019,-0.110024446,-0.072762261,-0.071319085,TRUE,TRUE
8/24/2015,-0.105114524,-0.057605825,-0.058389922,TRUE,TRUE
4/2/2007,-0.100168709,-0.066233266,-0.067175578,TRUE,TRUE
3/30/2009,-0.098894854,-0.075605137,-0.08037819,TRUE,TRUE
4/28/2009,-0.097964258,-0.079441572,-0.085173773,TRUE,TRUE
2/14/2018,-0.097741965,-0.056566888,-0.059861832,TRUE,TRUE
3/3/2008,-0.096461417,-0.05959597,-0.064479197,TRUE,TRUE
2/10/2016,-0.088888923,-0.067590726,-0.069853005,TRUE,TRUE
11/21/2016,-0.088814711,-0.062521432,-0.064850632,TRUE,TRUE
9/3/2019,-0.08474576,-0.072762261,-0.076360934,TRUE,TRUE
12/11/2006,-0.084407973,-0.055673096,-0.059684985,TRUE,TRUE
6/13/2006,-0.081498707,-0.055097875,-0.059717831,TRUE,TRUE
9/21/2018,-0.080757123,-0.109307171,-0.102086099,FALSE,FALSE
8/7/2018,-0.079955633,-0.109307171,-0.100768725,FALSE,FALSE
1/7/2009,-0.079460763,-0.075605137,-0.08263489,TRUE,FALSE
7/29/2008,-0.079421597,-0.060591138,-0.067480602,TRUE,TRUE
10/27/2017,-0.079353987,-0.051166431,-0.056836613,TRUE,TRUE
2/3/2015,-0.07794576,-0.046782299,-0.050120775,TRUE,TRUE
7/6/2009,-0.076463353,-0.088897545,-0.090076377,FALSE,FALSE
5/13/2019,-0.074782574,-0.075400521,-0.078614554,FALSE,FALSE
5/18/2006,-0.074589941,-0.0467295,-0.049217404,TRUE,TRUE
9/20/2013,-0.074084051,-0.05788392,-0.05975198,TRUE,TRUE
6/8/2009,-0.073060791,-0.088897545,-0.089758572,FALSE,FALSE
2/19/2018,-0.072082858,-0.075083943,-0.079087138,FALSE,FALSE
