Date,PL,VaR,ES,Exception_VaR,Exception_ES
3/24/2020,0.109360108,-0.068277213,-0.069759031,FALSE,FALSE
10/13/2008,0.096258847,-0.034890027,-0.043313475,FALSE,FALSE
3/13/2020,0.092453896,-0.043642852,-0.044026229,FALSE,FALSE
3/17/2020,0.079147348,-0.045105092,-0.054185792,FALSE,FALSE
8/27/2020,0.078495967,-0.068277213,-0.070031443,FALSE,FALSE
3/26/2020,0.071519406,-0.068277213,-0.069759031,FALSE,FALSE
10/16/2013,0.064965976,-0.031748748,-0.032491486,FALSE,FALSE
3/30/2020,0.064109417,-0.068277213,-0.069759031,FALSE,FALSE
1/21/2009,0.063414679,-0.042779707,-0.053872612,FALSE,FALSE
3/26/2007,0.06275533,-0.019928716,-0.020995276,FALSE,FALSE
12/26/2018,0.061928083,-0.037785726,-0.037721813,FALSE,FALSE
3/2/2020,0.059457381,-0.033116008,-0.035651554,FALSE,FALSE
7/8/2008,0.058682452,-0.026525295,-0.027223144,FALSE,FALSE
4/16/2020,0.055641059,-0.068277213,-0.069466117,FALSE,FALSE
8/11/2011,0.053103007,-0.027777001,-0.029121839,FALSE,FALSE
1/25/2006,0.052671048,-0.032029003,-0.037940859,FALSE,FALSE
3/4/2020,0.052570818,-0.037727772,-0.037872511,FALSE,FALSE
3/10/2020,0.050116855,-0.042886928,-0.042125465,FALSE,FALSE
3/12/2009,0.049021766,-0.0604497,-0.063249902,FALSE,FALSE
11/13/2008,0.048440369,-0.037072146,-0.045007797,FALSE,FALSE
11/28/2018,0.044756893,-0.035800355,-0.036467054,FALSE,FALSE
1/29/2015,0.042616862,-0.02169627,-0.022271708,FALSE,FALSE
1/24/2018,0.042039524,-0.019075964,-0.019112842,FALSE,FALSE
4/6/2020,0.041283903,-0.068277213,-0.069759031,FALSE,FALSE
12/18/2013,0.041245506,-0.027710251,-0.028303769,FALSE,FALSE
10/15/2012,0.03998277,-0.020579847,-0.019668619,FALSE,FALSE
5/4/2009,0.039980784,-0.0604497,-0.064072513,FALSE,FALSE
8/6/2007,0.039733886,-0.024672945,-0.024747484,FALSE,FALSE
5/7/2009,0.03936636,-0.0604497,-0.064072513,FALSE,FALSE
3/31/2008,0.039193518,-0.026525295,-0.027181187,FALSE,FALSE
4/14/2020,0.038322668,-0.068277213,-0.069759031,FALSE,FALSE
1/3/2013,0.038065555,-0.021232501,-0.025011751,FALSE,FALSE
6/18/2009,0.037892033,-0.0604497,-0.064072513,FALSE,FALSE
8/27/2015,0.037744407,-0.025935385,-0.032622139,FALSE,FALSE
10/20/2008,0.037684779,-0.034890027,-0.043313475,FALSE,FALSE
4/2/2020,0.037482069,-0.068277213,-0.069759031,FALSE,FALSE
1/9/2006,0.037172903,-0.030736518,-0.036760258,FALSE,FALSE
4/8/2020,0.036860698,-0.068277213,-0.069759031,FALSE,FALSE
8/8/2007,0.036832334,-0.024672945,-0.024747484,FALSE,FALSE
12/2/2008,0.036291085,-0.042779707,-0.053872612,FALSE,FALSE
4/29/2008,0.036233288,-0.026525295,-0.027181187,FALSE,FALSE
5/5/2020,0.035622809,-0.068277213,-0.069466117,FALSE,FALSE
10/17/2013,0.035375931,-0.031748748,-0.032491486,FALSE,FALSE
7/19/2006,0.035346803,-0.027354652,-0.033680706,FALSE,FALSE
7/6/2016,0.035243485,-0.058719692,-0.061523741,FALSE,FALSE
5/14/2015,0.034871338,-0.021412445,-0.02222035,FALSE,FALSE
9/24/2018,0.034612584,-0.03349417,-0.033789738,FALSE,FALSE
10/28/2008,0.034417945,-0.037072146,-0.045007797,FALSE,FALSE
5/29/2008,0.034380738,-0.026525295,-0.027223144,FALSE,FALSE
3/11/2016,0.034332566,-0.044070872,-0.053865894,FALSE,FALSE
12/18/2014,0.034116631,-0.023136655,-0.023551238,FALSE,FALSE
5/20/2013,0.033342471,-0.027710251,-0.029757548,FALSE,FALSE
12/4/2006,0.032853813,-0.020531341,-0.023128329,FALSE,FALSE
10/16/2018,0.032751093,-0.035800355,-0.035272915,FALSE,FALSE
1/15/2019,0.032225049,-0.040034299,-0.04145159,FALSE,FALSE
5/7/2020,0.03194989,-0.068277213,-0.069466117,FALSE,FALSE
7/17/2019,0.031265006,-0.038229582,-0.038521731,FALSE,FALSE
10/14/2009,0.031218573,-0.055093791,-0.056699973,FALSE,FALSE
1/29/2016,0.031054182,-0.044070872,-0.053865894,FALSE,FALSE
7/18/2018,0.031050972,-0.03349417,-0.033789738,FALSE,FALSE
9/18/2007,0.030967495,-0.026251895,-0.026229447,FALSE,FALSE
10/22/2015,0.030805663,-0.037126438,-0.040418945,FALSE,FALSE
5/13/2008,0.030693404,-0.026525295,-0.027223144,FALSE,FALSE
1/7/2008,0.030650617,-0.025260029,-0.025096625,FALSE,FALSE
5/29/2020,0.030618893,-0.068277213,-0.069466117,FALSE,FALSE
11/27/2007,0.030599117,-0.025260029,-0.025096625,FALSE,FALSE
1/2/2018,0.030138444,-0.019075964,-0.019112842,FALSE,FALSE
6/8/2020,0.030046706,-0.068277213,-0.069466117,FALSE,FALSE
8/5/2011,0.029936438,-0.022575831,-0.023199324,FALSE,FALSE
3/4/2009,0.029681407,-0.0604497,-0.061354039,FALSE,FALSE
10/1/2007,0.029653155,-0.026251895,-0.026229447,FALSE,FALSE
7/17/2020,0.029564294,-0.068277213,-0.070031443,FALSE,FALSE
12/16/2008,0.029434505,-0.042779707,-0.053872612,FALSE,FALSE
6/10/2010,0.029219409,-0.024642686,-0.024361083,FALSE,FALSE
11/7/2008,0.029028656,-0.037072146,-0.045007797,FALSE,FALSE
7/15/2008,0.028993241,-0.026525295,-0.027223144,FALSE,FALSE
7/20/2017,0.028727453,-0.025844501,-0.031218454,FALSE,FALSE
9/28/2017,0.02857137,-0.025844501,-0.031159652,FALSE,FALSE
1/30/2019,0.028555,-0.040034299,-0.04145159,FALSE,FALSE
1/4/2019,0.028541226,-0.040034299,-0.04145159,FALSE,FALSE
11/30/2011,0.028275212,-0.027921118,-0.030179112,FALSE,FALSE
10/15/2015,0.0282416,-0.037126438,-0.040418945,FALSE,FALSE
6/18/2015,0.028206691,-0.021412445,-0.02222035,FALSE,FALSE
4/17/2009,0.028109628,-0.0604497,-0.064072513,FALSE,FALSE
3/9/2018,0.02796184,-0.024134886,-0.029263464,FALSE,FALSE
10/16/2008,0.027839605,-0.034890027,-0.043313475,FALSE,FALSE
3/30/2009,0.027682313,-0.0604497,-0.063950556,FALSE,FALSE
9/2/2008,0.027511753,-0.023521724,-0.025219755,FALSE,FALSE
1/26/2006,0.027270621,-0.032029003,-0.037940859,FALSE,FALSE
1/6/2017,0.027203979,-0.048701212,-0.056699919,FALSE,FALSE
6/30/2020,0.027187933,-0.068277213,-0.070031443,FALSE,FALSE
10/15/2019,0.027060925,-0.038229582,-0.038777465,FALSE,FALSE
3/17/2009,0.026959292,-0.0604497,-0.063249902,FALSE,FALSE
7/27/2012,0.026914153,-0.027921118,-0.029764831,FALSE,FALSE
6/29/2016,0.026890281,-0.058719692,-0.061523741,FALSE,FALSE
6/22/2016,0.026769202,-0.058719692,-0.060641005,FALSE,FALSE
7/24/2009,0.026688005,-0.0604497,-0.064072513,FALSE,FALSE
7/29/2020,0.026637252,-0.068277213,-0.070031443,FALSE,FALSE
6/17/2009,0.026604022,-0.0604497,-0.064072513,FALSE,FALSE
6/25/2020,0.026575028,-0.068277213,-0.070031443,FALSE,FALSE
9/28/2009,0.026410221,-0.0604497,-0.064072513,FALSE,FALSE
3/26/2018,0.026386555,-0.024714963,-0.030375966,FALSE,FALSE
8/13/2019,0.026340596,-0.038229582,-0.03861423,FALSE,FALSE
1/8/2008,0.026260907,-0.025260029,-0.025096625,FALSE,FALSE
4/22/2015,0.026103545,-0.021412445,-0.02222035,FALSE,FALSE
12/4/2015,0.026047496,-0.037126438,-0.040418945,FALSE,FALSE
3/23/2009,0.0256626,-0.0604497,-0.063249902,FALSE,FALSE
7/21/2010,0.025489827,-0.023539304,-0.02336208,FALSE,FALSE
2/3/2009,0.025373479,-0.042779707,-0.053872612,FALSE,FALSE
8/5/2008,0.02532305,-0.025460167,-0.026480203,FALSE,FALSE
5/11/2020,0.025293523,-0.068277213,-0.069466117,FALSE,FALSE
8/26/2015,0.025174777,-0.025935385,-0.032622139,FALSE,FALSE
2/24/2009,0.025093593,-0.042779707,-0.053872612,FALSE,FALSE
6/29/2012,0.024797397,-0.027921118,-0.029764831,FALSE,FALSE
9/8/2008,0.024732577,-0.024015884,-0.025403862,FALSE,FALSE
7/23/2013,0.024581034,-0.031748748,-0.032491486,FALSE,FALSE
7/22/2015,0.024517726,-0.021412445,-0.02222035,FALSE,FALSE
3/20/2007,0.024445241,-0.019928716,-0.020995276,FALSE,FALSE
2/1/2008,0.024385902,-0.026525295,-0.027181187,FALSE,FALSE
9/11/2008,0.024352332,-0.024015884,-0.025403862,FALSE,FALSE
1/25/2018,0.024303305,-0.019075964,-0.019112842,FALSE,FALSE
4/17/2013,0.02417574,-0.027710251,-0.028865552,FALSE,FALSE
1/18/2007,0.024054316,-0.020531341,-0.023128329,FALSE,FALSE
4/6/2016,0.02402469,-0.044070872,-0.053865894,FALSE,FALSE
9/23/2008,0.0239762,-0.027225365,-0.029360814,FALSE,FALSE
3/18/2008,0.023972603,-0.026525295,-0.027181187,FALSE,FALSE
10/2/2009,0.023829087,-0.0604497,-0.064072513,FALSE,FALSE
6/7/2013,0.023744515,-0.027710251,-0.030579458,FALSE,FALSE
1/22/2020,0.023737857,-0.03110934,-0.033196873,FALSE,FALSE
3/13/2008,0.023568326,-0.026525295,-0.027181187,FALSE,FALSE
1/26/2009,0.023480362,-0.042779707,-0.053872612,FALSE,FALSE
7/1/2008,0.023409437,-0.026525295,-0.027223144,FALSE,FALSE
3/20/2008,0.023349881,-0.026525295,-0.027181187,FALSE,FALSE
7/18/2019,0.023320895,-0.038229582,-0.038521731,FALSE,FALSE
11/21/2008,0.023237339,-0.040469954,-0.052822692,FALSE,FALSE
2/16/2016,0.02316189,-0.044070872,-0.053865894,FALSE,FALSE
6/4/2019,0.023114516,-0.038229582,-0.038521731,FALSE,FALSE
11/23/2016,0.023097167,-0.049037689,-0.058102974,FALSE,FALSE
5/8/2015,0.023010753,-0.021412445,-0.02222035,FALSE,FALSE
11/18/2015,0.023006455,-0.037126438,-0.040418945,FALSE,FALSE
3/13/2006,0.022996261,-0.032029003,-0.037940859,FALSE,FALSE
6/23/2016,0.022973644,-0.058719692,-0.060641005,FALSE,FALSE
3/17/2008,0.022966135,-0.026525295,-0.027181187,FALSE,FALSE
4/2/2013,0.02293962,-0.025237001,-0.027591286,FALSE,FALSE
8/23/2011,0.022883716,-0.027921118,-0.030025152,FALSE,FALSE
9/13/2018,0.022846035,-0.03349417,-0.033789738,FALSE,FALSE
9/6/2007,0.022815159,-0.026251895,-0.026229447,FALSE,FALSE
9/16/2008,0.022742818,-0.024015884,-0.025403862,FALSE,FALSE
12/3/2008,0.022705408,-0.042779707,-0.053872612,FALSE,FALSE
11/18/2008,0.022595806,-0.037238553,-0.04580726,FALSE,FALSE
9/8/2015,0.0225215,-0.027591752,-0.035453994,FALSE,FALSE
6/25/2007,0.022512257,-0.01917957,-0.020818225,FALSE,FALSE
10/21/2014,0.02243126,-0.022408132,-0.022963325,FALSE,FALSE
4/27/2006,0.022378982,-0.032029003,-0.037940859,FALSE,FALSE
9/30/2019,0.022360729,-0.038229582,-0.039101528,FALSE,FALSE
8/7/2007,0.022213855,-0.024672945,-0.024747484,FALSE,FALSE
8/5/2020,0.022115471,-0.068277213,-0.070031443,FALSE,FALSE
11/28/2011,0.022094099,-0.027921118,-0.030179112,FALSE,FALSE
6/25/2009,0.021919558,-0.0604497,-0.064072513,FALSE,FALSE
3/8/2012,0.021862818,-0.027921118,-0.029713643,FALSE,FALSE
7/7/2010,0.021846265,-0.024642686,-0.024361083,FALSE,FALSE
10/17/2014,0.021755413,-0.022408132,-0.022963325,FALSE,FALSE
2/12/2016,0.021739158,-0.044070872,-0.053865894,FALSE,FALSE
11/7/2018,0.021702382,-0.035800355,-0.036010891,FALSE,FALSE
10/23/2008,0.021537319,-0.037072146,-0.045007797,FALSE,FALSE
11/9/2012,0.021424004,-0.021232501,-0.025011751,FALSE,FALSE
7/8/2009,0.02139396,-0.0604497,-0.064072513,FALSE,FALSE
3/16/2009,0.021344673,-0.0604497,-0.063249902,FALSE,FALSE
4/23/2019,0.021339363,-0.038229582,-0.038521731,FALSE,FALSE
2/11/2014,0.021259446,-0.027710251,-0.028618844,FALSE,FALSE
5/15/2006,0.021245775,-0.032029003,-0.037940859,FALSE,FALSE
