Date,PL,VaR,ES,Exception_VaR,Exception_ES
3/23/2020,-0.134619963,-0.068981165,-0.078010619,TRUE,TRUE
3/12/2020,-0.132598936,-0.062717955,-0.062360832,TRUE,TRUE
10/24/2008,-0.121771928,-0.07406906,-0.075461229,TRUE,TRUE
10/27/2008,-0.096157941,-0.078131765,-0.084027522,TRUE,TRUE
3/30/2009,-0.090678636,-0.078131765,-0.084777378,TRUE,TRUE
3/3/2008,-0.089716537,-0.064337732,-0.065706628,TRUE,TRUE
7/6/2009,-0.08628735,-0.084764123,-0.088309663,TRUE,FALSE
5/18/2006,-0.084218008,-0.033992129,-0.037505646,TRUE,TRUE
10/18/2007,-0.084099316,-0.059525618,-0.061449625,TRUE,TRUE
8/24/2015,-0.082616845,-0.047246854,-0.047346878,TRUE,TRUE
2/22/2012,-0.080511307,-0.04777794,-0.053296106,TRUE,TRUE
12/11/2006,-0.080387858,-0.042875077,-0.048905405,TRUE,TRUE
10/17/2008,-0.078608202,-0.07406906,-0.076339807,TRUE,TRUE
5/23/2013,-0.078459618,-0.043340978,-0.044915713,TRUE,TRUE
7/1/2008,-0.077635882,-0.06742197,-0.07082784,TRUE,TRUE
3/16/2020,-0.077066091,-0.063476085,-0.074936756,TRUE,TRUE
5/17/2011,-0.077055397,-0.041478706,-0.042416984,TRUE,TRUE
9/25/2019,-0.073859899,-0.046304588,-0.047226814,TRUE,TRUE
1/21/2008,-0.070356654,-0.059525618,-0.062333731,TRUE,TRUE
7/29/2008,-0.069702567,-0.07406906,-0.074094917,FALSE,FALSE
8/21/2008,-0.06952096,-0.07406906,-0.075469199,FALSE,FALSE
2/16/2016,-0.068215738,-0.050100212,-0.055674527,TRUE,TRUE
11/9/2011,-0.067716388,-0.045153994,-0.049429597,TRUE,TRUE
6/8/2009,-0.066954574,-0.084764123,-0.088309663,FALSE,FALSE
11/21/2016,-0.066896239,-0.05201937,-0.053539796,TRUE,TRUE
5/18/2020,-0.066706679,-0.075495057,-0.089708407,FALSE,FALSE
11/25/2008,-0.065844519,-0.084273453,-0.088267646,FALSE,FALSE
2/11/2008,-0.064367504,-0.062489517,-0.065103525,TRUE,FALSE
4/2/2007,-0.064306745,-0.056280023,-0.061380613,TRUE,TRUE
10/22/2008,-0.064062916,-0.078131765,-0.077999904,FALSE,FALSE
2/3/2020,-0.063903298,-0.047734944,-0.05239678,TRUE,TRUE
8/14/2008,-0.063216121,-0.07406906,-0.075412271,FALSE,FALSE
3/9/2020,-0.063031434,-0.06066121,-0.060381448,TRUE,TRUE
10/8/2008,-0.062608834,-0.07406906,-0.076339807,FALSE,FALSE
1/7/2009,-0.062592182,-0.084273453,-0.088267646,FALSE,FALSE
3/6/2020,-0.062391681,-0.056889023,-0.05807169,TRUE,TRUE
3/13/2008,-0.061792925,-0.06742197,-0.071230052,FALSE,FALSE
5/4/2020,-0.061154824,-0.075495057,-0.089708407,FALSE,FALSE
2/14/2007,-0.060598116,-0.049645902,-0.057585326,TRUE,TRUE
7/15/2008,-0.060497662,-0.07406906,-0.074011385,FALSE,FALSE
11/11/2008,-0.060306788,-0.084273453,-0.088267646,FALSE,FALSE
1/15/2016,-0.059933689,-0.047857106,-0.051610684,TRUE,TRUE
2/28/2013,-0.059862656,-0.042629197,-0.042082089,TRUE,TRUE
4/3/2020,-0.059233465,-0.075495057,-0.089708407,FALSE,FALSE
10/11/2018,-0.059214069,-0.042158309,-0.04332942,TRUE,TRUE
2/28/2020,-0.058860107,-0.051578081,-0.055422755,TRUE,TRUE
8/16/2007,-0.058409345,-0.056280023,-0.057979046,TRUE,TRUE
8/31/2020,-0.057149236,-0.075495057,-0.090322036,FALSE,FALSE
6/11/2020,-0.05620673,-0.075495057,-0.090322036,FALSE,FALSE
8/11/2017,-0.055780308,-0.03768877,-0.040586122,TRUE,TRUE
8/21/2007,-0.055726886,-0.059525618,-0.060037223,FALSE,FALSE
1/30/2015,-0.05519874,-0.042418968,-0.04254803,TRUE,TRUE
10/1/2019,-0.054837488,-0.047593656,-0.05246241,TRUE,TRUE
3/19/2020,-0.053671018,-0.068981165,-0.078010619,FALSE,FALSE
11/21/2007,-0.053599887,-0.062489517,-0.06663595,FALSE,FALSE
9/23/2013,-0.053160188,-0.045051602,-0.051172226,TRUE,TRUE
4/5/2016,-0.05315866,-0.055474635,-0.059312827,FALSE,FALSE
4/1/2020,-0.052324118,-0.075495057,-0.089708407,FALSE,FALSE
12/12/2006,-0.051785681,-0.046028666,-0.055582031,TRUE,FALSE
3/2/2020,-0.051485168,-0.056889023,-0.057386526,FALSE,FALSE
10/17/2007,-0.051382101,-0.059525618,-0.061317338,FALSE,FALSE
6/27/2008,-0.050958276,-0.06742197,-0.07082784,FALSE,FALSE
1/12/2009,-0.050937695,-0.084273453,-0.088267646,FALSE,FALSE
11/18/2008,-0.05090333,-0.084273453,-0.088267646,FALSE,FALSE
1/20/2016,-0.050833578,-0.052326445,-0.055305368,FALSE,FALSE
1/25/2018,-0.050772962,-0.034062699,-0.037689745,TRUE,TRUE
5/11/2009,-0.050092499,-0.084764123,-0.088309663,FALSE,FALSE
12/12/2011,-0.04974404,-0.044061041,-0.052140407,TRUE,FALSE
1/27/2010,-0.049698818,-0.058692157,-0.06466824,FALSE,FALSE
2/16/2009,-0.049377023,-0.084273453,-0.088155728,FALSE,FALSE
8/11/2015,-0.049336912,-0.043334093,-0.044254761,TRUE,TRUE
3/9/2009,-0.048666475,-0.084273453,-0.088155728,FALSE,FALSE
8/17/2009,-0.048479779,-0.088526906,-0.089562186,FALSE,FALSE
2/10/2016,-0.048189182,-0.050100212,-0.054708599,FALSE,FALSE
12/6/2019,-0.048185638,-0.047142455,-0.051619023,TRUE,FALSE
12/16/2014,-0.04814034,-0.038565347,-0.037866918,TRUE,TRUE
3/2/2007,-0.048074935,-0.056280023,-0.0606881,FALSE,FALSE
2/2/2009,-0.047958263,-0.084273453,-0.088155728,FALSE,FALSE
10/5/2018,-0.047908604,-0.04055924,-0.041321253,TRUE,TRUE
10/23/2008,-0.047439461,-0.07406906,-0.075461229,FALSE,FALSE
6/8/2006,-0.047418784,-0.040470632,-0.048824816,TRUE,FALSE
7/11/2014,-0.04731513,-0.038565347,-0.040614229,TRUE,TRUE
7/30/2019,-0.047265854,-0.042724633,-0.045134719,TRUE,TRUE
5/5/2020,-0.047246361,-0.075495057,-0.089708407,FALSE,FALSE
10/24/2019,-0.047014019,-0.051127387,-0.053571031,FALSE,FALSE
11/12/2010,-0.046962351,-0.038687022,-0.039641239,TRUE,TRUE
8/1/2007,-0.046679865,-0.056280023,-0.057217128,FALSE,FALSE
8/12/2015,-0.046316899,-0.045963867,-0.046354746,TRUE,FALSE
