Date,PL,VaR,ES,Exception_VaR,Exception_ES
3/16/2020,-0.110435937,-0.034371233,-0.041264986,TRUE,TRUE
10/9/2008,-0.094373355,-0.0450029,-0.047594999,TRUE,TRUE
3/12/2020,-0.084273917,-0.028719587,-0.031977196,TRUE,TRUE
11/5/2008,-0.080368253,-0.059713962,-0.06463482,TRUE,TRUE
5/21/2007,-0.078495912,-0.0233952,-0.025436553,TRUE,TRUE
12/3/2018,-0.077859997,-0.027439805,-0.029440368,TRUE,TRUE
2/7/2008,-0.076068045,-0.029100742,-0.036312144,TRUE,TRUE
11/20/2008,-0.071611928,-0.069876364,-0.070631596,TRUE,TRUE
12/1/2008,-0.070267104,-0.073884548,-0.073217655,FALSE,FALSE
3/18/2020,-0.069742175,-0.041381035,-0.054644674,TRUE,TRUE
9/29/2008,-0.063431961,-0.030498065,-0.038534828,TRUE,TRUE
7/23/2014,-0.059751972,-0.022202664,-0.022327842,TRUE,TRUE
11/19/2008,-0.057795751,-0.069876364,-0.069897855,FALSE,FALSE
8/8/2011,-0.056910593,-0.027227764,-0.027612582,TRUE,TRUE
10/25/2017,-0.056571171,-0.01913148,-0.019454397,TRUE,TRUE
10/15/2008,-0.055844208,-0.056874133,-0.058009338,FALSE,FALSE
10/21/2008,-0.054263613,-0.059713962,-0.061983941,FALSE,FALSE
4/22/2009,-0.052716656,-0.070952964,-0.072289505,FALSE,FALSE
6/11/2020,-0.051874581,-0.057467129,-0.065028526,FALSE,FALSE
3/9/2009,-0.051148225,-0.070952964,-0.072289505,FALSE,FALSE
8/10/2011,-0.050830843,-0.027948619,-0.032681795,TRUE,TRUE
3/2/2009,-0.050447994,-0.070952964,-0.072289505,FALSE,FALSE
10/8/2008,-0.050048639,-0.035722255,-0.044189909,TRUE,TRUE
3/23/2020,-0.044691062,-0.056886411,-0.061362137,FALSE,FALSE
2/17/2009,-0.04459697,-0.070952964,-0.072289505,FALSE,FALSE
5/14/2020,-0.043986919,-0.057467129,-0.063866037,FALSE,FALSE
2/5/2020,-0.043505922,-0.023534176,-0.022992664,TRUE,TRUE
2/5/2018,-0.043396121,-0.023028165,-0.029324996,TRUE,TRUE
10/26/2017,-0.041633963,-0.019276086,-0.025975635,TRUE,TRUE
6/24/2016,-0.041353429,-0.032980469,-0.032263777,TRUE,TRUE
11/12/2008,-0.041063488,-0.069876364,-0.069897855,FALSE,FALSE
4/8/2008,-0.039751211,-0.031383238,-0.044754695,TRUE,FALSE
1/9/2012,-0.039410979,-0.035513362,-0.039469275,TRUE,FALSE
3/9/2020,-0.039169419,-0.026703589,-0.029219471,TRUE,TRUE
5/7/2015,-0.039113407,-0.029039657,-0.033227677,TRUE,TRUE
1/29/2009,-0.038195432,-0.073884548,-0.075291133,FALSE,FALSE
6/20/2013,-0.038073038,-0.024928036,-0.025503313,TRUE,TRUE
4/25/2018,-0.037401576,-0.034195678,-0.033376285,TRUE,TRUE
2/25/2009,-0.036967973,-0.070952964,-0.072289505,FALSE,FALSE
10/24/2008,-0.036917245,-0.059713962,-0.06463482,FALSE,FALSE
11/9/2011,-0.036839746,-0.033467799,-0.037959452,TRUE,FALSE
9/1/2015,-0.035670633,-0.03160472,-0.031279969,TRUE,TRUE
5/6/2010,-0.035645124,-0.027767064,-0.0281819,TRUE,TRUE
3/27/2009,-0.034697186,-0.070952964,-0.072289505,FALSE,FALSE
8/21/2015,-0.034652284,-0.028938145,-0.02940063,TRUE,TRUE
7/10/2012,-0.034342091,-0.038151075,-0.041190969,FALSE,FALSE
1/15/2016,-0.034260105,-0.033046042,-0.032950131,TRUE,TRUE
8/25/2011,-0.034132841,-0.03058098,-0.036741683,TRUE,FALSE
11/9/2006,-0.033226957,-0.023425904,-0.026384651,TRUE,TRUE
7/2/2009,-0.03301895,-0.070952964,-0.072289505,FALSE,FALSE
8/4/2011,-0.032775612,-0.026202247,-0.026390945,TRUE,TRUE
10/22/2008,-0.031993628,-0.059713962,-0.06463482,FALSE,FALSE
12/9/2014,-0.031826163,-0.028552431,-0.031755424,TRUE,TRUE
2/8/2016,-0.031648603,-0.034460116,-0.034027326,FALSE,FALSE
1/22/2008,-0.031528852,-0.026509831,-0.034207039,TRUE,FALSE
5/26/2015,-0.031374239,-0.030712212,-0.035451863,TRUE,FALSE
10/23/2009,-0.031295112,-0.064156141,-0.063443187,FALSE,FALSE
7/27/2007,-0.031231681,-0.027632386,-0.035095557,TRUE,FALSE
4/28/2009,-0.031051934,-0.070952964,-0.072289505,FALSE,FALSE
10/24/2018,-0.031011616,-0.030698685,-0.030827427,TRUE,TRUE
1/7/2016,-0.030566698,-0.033046042,-0.032172055,FALSE,FALSE
6/4/2010,-0.030060092,-0.030148706,-0.030407726,FALSE,FALSE
7/25/2014,-0.029552794,-0.023167247,-0.028868968,TRUE,TRUE
5/29/2013,-0.02948315,-0.022398651,-0.023539781,TRUE,TRUE
4/11/2008,-0.029425205,-0.035722255,-0.046824917,FALSE,FALSE
3/3/2020,-0.029377204,-0.025988969,-0.028310299,TRUE,TRUE
4/27/2010,-0.028955507,-0.026019638,-0.027485818,TRUE,TRUE
3/5/2008,-0.028859322,-0.031383238,-0.044385906,FALSE,FALSE
10/27/2006,-0.028623501,-0.022565143,-0.024769823,TRUE,TRUE
1/24/2014,-0.028597449,-0.021604135,-0.02466679,TRUE,TRUE
8/7/2014,-0.028505576,-0.026059433,-0.030508505,TRUE,FALSE
9/8/2008,-0.028489334,-0.030498065,-0.038259079,FALSE,FALSE
1/28/2011,-0.028296771,-0.028346612,-0.028959862,FALSE,FALSE
9/22/2015,-0.028133684,-0.033267484,-0.032874674,FALSE,FALSE
3/11/2020,-0.028035129,-0.028176476,-0.031545526,FALSE,FALSE
5/20/2010,-0.027712865,-0.030148706,-0.030176814,FALSE,FALSE
2/22/2011,-0.027586257,-0.028632726,-0.029414299,FALSE,FALSE
10/6/2008,-0.027471284,-0.035722255,-0.044189909,FALSE,FALSE
2/24/2020,-0.02692674,-0.024385402,-0.026734252,TRUE,TRUE
2/5/2008,-0.026882825,-0.028962557,-0.035694912,FALSE,FALSE
6/10/2016,-0.026866404,-0.032980469,-0.032237067,FALSE,FALSE
3/16/2011,-0.026854639,-0.028632726,-0.029592586,FALSE,FALSE
5/14/2010,-0.026788202,-0.030148706,-0.029937085,FALSE,FALSE
7/26/2007,-0.026600817,-0.026403018,-0.034443942,TRUE,FALSE
1/5/2010,-0.026530113,-0.047580992,-0.045239607,FALSE,FALSE
10/2/2019,-0.02647133,-0.024450863,-0.033626311,TRUE,FALSE
7/26/2017,-0.02645379,-0.019276086,-0.020399068,TRUE,TRUE
2/26/2009,-0.026451613,-0.070952964,-0.072289505,FALSE,FALSE
12/17/2007,-0.026415132,-0.025371448,-0.033835322,TRUE,FALSE
12/15/2014,-0.026402618,-0.029084675,-0.033240031,FALSE,FALSE
7/28/2008,-0.026360586,-0.030498065,-0.038259079,FALSE,FALSE
9/9/2016,-0.026345978,-0.03111847,-0.031900574,FALSE,FALSE
11/14/2008,-0.026322858,-0.069876364,-0.069897855,FALSE,FALSE
11/2/2012,-0.026304079,-0.030073236,-0.030130466,FALSE,FALSE
1/13/2009,-0.026260999,-0.073884548,-0.075291133,FALSE,FALSE
2/17/2016,-0.026198641,-0.034460116,-0.034297751,FALSE,FALSE
9/21/2011,-0.026171759,-0.033467799,-0.037959452,FALSE,FALSE
8/24/2015,-0.025709483,-0.03160472,-0.031200411,FALSE,FALSE
1/30/2015,-0.025686448,-0.029039657,-0.032831407,FALSE,FALSE
