Date,PL,VaR,ES,Exception_VaR,Exception_ES
9/29/2008,-0.175949392,-0.08056199,-0.081848845,TRUE,TRUE
12/1/2008,-0.157443164,-0.110078855,-0.121242809,TRUE,TRUE
3/18/2020,-0.148186668,-0.084450191,-0.088232405,TRUE,TRUE
3/16/2020,-0.137851358,-0.066967342,-0.074065723,TRUE,TRUE
10/15/2008,-0.134090134,-0.095660887,-0.107912309,TRUE,TRUE
4/20/2009,-0.129756952,-0.126131485,-0.134742671,TRUE,FALSE
3/12/2020,-0.124239866,-0.05421952,-0.061595005,TRUE,TRUE
1/22/2016,-0.12100891,-0.04000114,-0.04270218,TRUE,TRUE
3/5/2009,-0.117847993,-0.124757666,-0.132266602,FALSE,FALSE
10/9/2008,-0.11504428,-0.089833394,-0.101722007,TRUE,TRUE
3/30/2009,-0.11349481,-0.126131485,-0.134350453,FALSE,FALSE
2/17/2009,-0.113087675,-0.124757666,-0.130731452,FALSE,FALSE
11/12/2008,-0.104910759,-0.109908659,-0.11888651,FALSE,FALSE
11/6/2008,-0.104563421,-0.107953023,-0.116207126,FALSE,FALSE
1/11/2008,-0.100572326,-0.053227014,-0.050911355,TRUE,TRUE
2/10/2009,-0.10028169,-0.124757666,-0.130342143,FALSE,FALSE
4/14/2009,-0.099217942,-0.126131485,-0.134742671,FALSE,FALSE
3/9/2020,-0.091925325,-0.048895929,-0.046781715,TRUE,TRUE
4/1/2020,-0.090760483,-0.108405741,-0.106033157,FALSE,FALSE
10/2/2008,-0.090548981,-0.086596802,-0.099017604,TRUE,FALSE
9/15/2008,-0.089088598,-0.066240346,-0.069739447,TRUE,TRUE
8/8/2011,-0.088328703,-0.037675691,-0.040953954,TRUE,TRUE
2/19/2009,-0.087234043,-0.124757666,-0.132266602,FALSE,FALSE
1/22/2010,-0.084677419,-0.113295314,-0.111279292,FALSE,FALSE
9/17/2008,-0.084003299,-0.072847319,-0.075055988,TRUE,TRUE
5/11/2009,-0.083098556,-0.131966875,-0.137360899,FALSE,FALSE
3/2/2009,-0.08291874,-0.124757666,-0.132266602,FALSE,FALSE
1/20/2009,-0.082892416,-0.124757666,-0.130342143,FALSE,FALSE
11/20/2008,-0.080576307,-0.110078855,-0.121242809,FALSE,FALSE
9/22/2008,-0.076980219,-0.079336344,-0.07921226,FALSE,FALSE
3/11/2020,-0.076669949,-0.050618563,-0.055740135,TRUE,TRUE
7/24/2008,-0.074478902,-0.059897107,-0.066457822,TRUE,TRUE
12/10/2008,-0.07428089,-0.124757666,-0.130743077,FALSE,FALSE
3/19/2009,-0.072391767,-0.126131485,-0.134350453,FALSE,FALSE
8/10/2011,-0.071583496,-0.041130185,-0.049924631,TRUE,TRUE
6/11/2020,-0.071213317,-0.108405741,-0.109926059,FALSE,FALSE
7/22/2008,-0.071149141,-0.057405159,-0.063370744,TRUE,TRUE
3/23/2020,-0.069616889,-0.108405741,-0.103777188,FALSE,FALSE
11/5/2008,-0.066733736,-0.107953023,-0.116207126,FALSE,FALSE
12/11/2008,-0.066326534,-0.124757666,-0.130743077,FALSE,FALSE
11/11/2008,-0.06588824,-0.109908659,-0.11888651,FALSE,FALSE
10/4/2010,-0.065342271,-0.051806706,-0.056255283,TRUE,TRUE
2/12/2015,-0.064294836,-0.030447422,-0.031175181,TRUE,TRUE
1/29/2009,-0.063865602,-0.124757666,-0.130342143,FALSE,FALSE
2/23/2009,-0.063222822,-0.124757666,-0.132266602,FALSE,FALSE
3/20/2009,-0.061973986,-0.126131485,-0.134350453,FALSE,FALSE
5/13/2020,-0.061462594,-0.108405741,-0.109926059,FALSE,FALSE
7/9/2008,-0.061131193,-0.055407068,-0.062225709,TRUE,FALSE
1/14/2009,-0.061084781,-0.124757666,-0.130342143,FALSE,FALSE
10/7/2008,-0.060525441,-0.089833394,-0.101722007,FALSE,FALSE
6/6/2008,-0.05861265,-0.054311719,-0.060347617,TRUE,FALSE
6/22/2009,-0.057223988,-0.131966875,-0.137360899,FALSE,FALSE
2/25/2020,-0.05686871,-0.032996303,-0.034802883,TRUE,TRUE
2/8/2018,-0.056297457,-0.022374737,-0.026521066,TRUE,TRUE
9/9/2008,-0.05626846,-0.066240346,-0.069404706,FALSE,FALSE
8/3/2007,-0.056148383,-0.031383919,-0.033744732,TRUE,TRUE
11/7/2007,-0.054635496,-0.042780628,-0.044343849,TRUE,TRUE
9/1/2009,-0.054405677,-0.131966875,-0.137360899,FALSE,FALSE
7/24/2007,-0.053974726,-0.025569435,-0.026905252,TRUE,TRUE
5/13/2009,-0.053438151,-0.131966875,-0.137360899,FALSE,FALSE
