Date,PL,VaR,ES,Exception_VaR,Exception_ES
1/20/2009,-0.289693593,-0.197021418,-0.19512403,TRUE,TRUE
10/7/2008,-0.262259489,-0.086340849,-0.11841255,TRUE,TRUE
2/27/2009,-0.257518797,-0.211204207,-0.223290968,TRUE,TRUE
4/20/2009,-0.243396226,-0.235753711,-0.235346355,TRUE,TRUE
9/15/2008,-0.213100254,-0.072274113,-0.074205683,TRUE,TRUE
12/1/2008,-0.209230769,-0.158341841,-0.17139134,TRUE,TRUE
8/8/2011,-0.203182375,-0.050589666,-0.055673302,TRUE,TRUE
2/10/2009,-0.193033382,-0.211204207,-0.219303931,FALSE,FALSE
1/15/2009,-0.184313725,-0.19282487,-0.187068464,FALSE,FALSE
3/30/2009,-0.178474114,-0.235753711,-0.235346355,FALSE,FALSE
9/29/2008,-0.175749341,-0.082341068,-0.101907126,TRUE,TRUE
3/16/2020,-0.153973469,-0.055949716,-0.074466683,TRUE,TRUE
3/9/2020,-0.147024471,-0.049706441,-0.050692734,TRUE,TRUE
1/22/2009,-0.145209581,-0.211204207,-0.219104501,FALSE,FALSE
11/19/2008,-0.140223831,-0.145164183,-0.160153395,FALSE,FALSE
2/19/2009,-0.140043764,-0.211204207,-0.223290968,FALSE,FALSE
11/20/2008,-0.138591118,-0.158341841,-0.166714473,FALSE,FALSE
1/16/2009,-0.137019231,-0.197021418,-0.19512403,FALSE,FALSE
2/17/2009,-0.120287253,-0.211204207,-0.223290968,FALSE,FALSE
1/12/2009,-0.120092379,-0.19282487,-0.186797995,FALSE,FALSE
3/5/2009,-0.116991643,-0.235753711,-0.235346355,FALSE,FALSE
2/3/2009,-0.116666667,-0.211204207,-0.219303931,FALSE,FALSE
11/5/2008,-0.113330652,-0.144396892,-0.155975676,FALSE,FALSE
2/4/2009,-0.113207547,-0.211204207,-0.219303931,FALSE,FALSE
10/9/2008,-0.111764751,-0.133167357,-0.147914131,FALSE,FALSE
8/10/2011,-0.109210526,-0.063396155,-0.081293971,TRUE,TRUE
3/20/2009,-0.106782107,-0.235753711,-0.235346355,FALSE,FALSE
12/11/2008,-0.106650743,-0.19282487,-0.186797995,FALSE,FALSE
10/15/2008,-0.102148545,-0.144396892,-0.152908248,FALSE,FALSE
5/13/2009,-0.101957586,-0.250598737,-0.243753196,FALSE,FALSE
6/11/2020,-0.10037594,-0.088201395,-0.101484231,TRUE,FALSE
6/22/2009,-0.096822995,-0.250598737,-0.243753196,FALSE,FALSE
3/19/2009,-0.096479791,-0.235753711,-0.235346355,FALSE,FALSE
10/3/2011,-0.096405229,-0.08121944,-0.102952732,TRUE,FALSE
3/12/2020,-0.095280106,-0.05283287,-0.066790435,TRUE,TRUE
7/16/2010,-0.091617934,-0.063106282,-0.064000606,TRUE,TRUE
11/12/2008,-0.090422735,-0.145164183,-0.160090378,FALSE,FALSE
9/22/2008,-0.088847332,-0.080223402,-0.099089505,TRUE,FALSE
2/2/2009,-0.088145897,-0.211204207,-0.219303931,FALSE,FALSE
5/11/2009,-0.086803105,-0.250598737,-0.243753196,FALSE,FALSE
4/28/2009,-0.08632287,-0.250598737,-0.243753196,FALSE,FALSE
11/17/2008,-0.084652862,-0.145164183,-0.160153395,FALSE,FALSE
4/14/2009,-0.084392015,-0.235753711,-0.235346355,FALSE,FALSE
10/24/2008,-0.083913043,-0.144396892,-0.155968436,FALSE,FALSE
7/24/2008,-0.08373206,-0.065305523,-0.064074931,TRUE,TRUE
9/2/2011,-0.083438685,-0.076869044,-0.098203613,TRUE,FALSE
1/29/2009,-0.082543978,-0.211204207,-0.219303931,FALSE,FALSE
3/2/2009,-0.081012658,-0.235753711,-0.235346355,FALSE,FALSE
7/15/2008,-0.0808933,-0.05820065,-0.058921337,TRUE,TRUE
3/23/2020,-0.080833757,-0.083956083,-0.095016211,FALSE,FALSE
9/17/2008,-0.079526162,-0.076986359,-0.097488238,TRUE,FALSE
8/22/2011,-0.078909613,-0.074587551,-0.093776577,TRUE,FALSE
9/21/2011,-0.075362319,-0.08121944,-0.102238447,FALSE,FALSE
11/6/2008,-0.074942483,-0.145164183,-0.160090378,FALSE,FALSE
8/5/2011,-0.074745187,-0.046537702,-0.050349817,TRUE,TRUE
8/4/2011,-0.07442348,-0.043585751,-0.044775057,TRUE,TRUE
3/24/2009,-0.074358974,-0.235753711,-0.235346355,FALSE,FALSE
6/24/2016,-0.074074074,-0.051321228,-0.051986392,TRUE,TRUE
10/30/2009,-0.073108709,-0.226655152,-0.227488803,FALSE,FALSE
8/13/2008,-0.072919951,-0.068918428,-0.071538277,TRUE,TRUE
3/20/2020,-0.072169855,-0.076380774,-0.091982343,FALSE,FALSE
9/4/2008,-0.071601914,-0.071559272,-0.073352931,TRUE,FALSE
11/7/2012,-0.071428571,-0.050561006,-0.051093803,TRUE,TRUE
5/6/2010,-0.071306328,-0.080092851,-0.079829751,FALSE,FALSE
10/31/2011,-0.070748299,-0.090051622,-0.106431207,FALSE,FALSE
10/8/2008,-0.070256626,-0.133167357,-0.147914131,FALSE,FALSE
7/14/2008,-0.070143055,-0.053286079,-0.055127962,TRUE,TRUE
4/1/2020,-0.068770608,-0.088201395,-0.099165006,FALSE,FALSE
2/11/2016,-0.068447412,-0.048449083,-0.047665661,TRUE,TRUE
1/13/2009,-0.06824147,-0.19282487,-0.187068464,FALSE,FALSE
6/26/2008,-0.067643816,-0.046297579,-0.046884159,TRUE,TRUE
8/12/2008,-0.06740569,-0.068918428,-0.069810691,FALSE,FALSE
2/18/2009,-0.067346939,-0.211204207,-0.223290968,FALSE,FALSE
10/6/2008,-0.065545215,-0.086340849,-0.11841255,FALSE,FALSE
4/15/2020,-0.064896713,-0.088201395,-0.101156764,FALSE,FALSE
9/1/2009,-0.064241103,-0.250598737,-0.243753196,FALSE,FALSE
