Date,PL,VaR,ES,Exception_VaR,Exception_ES
1/20/2009,-0.189596187,-0.124578337,-0.130232067,TRUE,TRUE
12/1/2008,-0.167489509,-0.122603187,-0.120235731,TRUE,TRUE
9/17/2008,-0.139162437,-0.056403219,-0.06571474,TRUE,TRUE
4/16/2010,-0.127910167,-0.044114636,-0.044087997,TRUE,TRUE
3/16/2020,-0.12705308,-0.057827154,-0.070544159,TRUE,TRUE
9/29/2008,-0.125298988,-0.064895741,-0.082997205,TRUE,TRUE
10/10/2008,-0.123828271,-0.112395038,-0.103357948,TRUE,TRUE
3/12/2020,-0.123392903,-0.047222857,-0.056977446,TRUE,TRUE
9/15/2008,-0.121328099,-0.053198098,-0.054502457,TRUE,TRUE
3/18/2020,-0.117539511,-0.086115191,-0.084295956,TRUE,TRUE
4/14/2009,-0.115558922,-0.132369347,-0.143126679,FALSE,FALSE
2/17/2009,-0.111353015,-0.132369347,-0.143089775,FALSE,FALSE
11/19/2008,-0.110430423,-0.122603187,-0.118317308,FALSE,FALSE
11/12/2008,-0.105650763,-0.122603187,-0.114736836,FALSE,FALSE
3/9/2020,-0.103914998,-0.040350902,-0.041393659,TRUE,TRUE
10/9/2008,-0.103097363,-0.097441847,-0.096405811,TRUE,TRUE
8/10/2011,-0.100953367,-0.039586836,-0.041578747,TRUE,TRUE
4/30/2010,-0.093859258,-0.044114636,-0.057137376,TRUE,TRUE
6/11/2020,-0.090811159,-0.1108635,-0.100583651,FALSE,FALSE
6/26/2020,-0.086479978,-0.1108635,-0.104596407,FALSE,FALSE
11/10/2008,-0.084469016,-0.122603187,-0.11395721,FALSE,FALSE
2/27/2007,-0.08411215,-0.032288809,-0.033817438,TRUE,TRUE
11/9/2011,-0.082059346,-0.054665523,-0.062231342,TRUE,TRUE
11/5/2008,-0.079684211,-0.122603187,-0.113741118,FALSE,FALSE
10/15/2008,-0.07933279,-0.122603187,-0.112426991,FALSE,FALSE
11/6/2008,-0.076747101,-0.122603187,-0.11395721,FALSE,FALSE
2/10/2009,-0.076514425,-0.132369347,-0.143089775,FALSE,FALSE
10/24/2008,-0.075336156,-0.122603187,-0.113630897,FALSE,FALSE
10/27/2008,-0.074900447,-0.122603187,-0.113741118,FALSE,FALSE
11/12/2018,-0.07455644,-0.041924469,-0.040832311,TRUE,TRUE
1/12/2009,-0.074475693,-0.124578337,-0.130232067,FALSE,FALSE
3/6/2009,-0.074278009,-0.132369347,-0.143126679,FALSE,FALSE
3/20/2020,-0.074118674,-0.1108635,-0.095815441,FALSE,FALSE
10/7/2008,-0.072580645,-0.095928192,-0.094053533,FALSE,FALSE
6/24/2016,-0.070745465,-0.045120931,-0.044889232,TRUE,TRUE
3/30/2009,-0.070503357,-0.132369347,-0.143126679,FALSE,FALSE
9/22/2008,-0.069491555,-0.059199314,-0.080490874,TRUE,FALSE
3/11/2020,-0.067588861,-0.044373598,-0.052210916,TRUE,TRUE
10/30/2008,-0.067069453,-0.122603187,-0.113741118,FALSE,FALSE
11/7/2012,-0.065504927,-0.042939269,-0.049114184,TRUE,TRUE
11/17/2008,-0.063539649,-0.122603187,-0.118317308,FALSE,FALSE
4/1/2020,-0.060159152,-0.1108635,-0.100083965,FALSE,FALSE
8/12/2008,-0.060112343,-0.051843831,-0.052921626,TRUE,TRUE
8/8/2011,-0.060073462,-0.034214519,-0.036927213,TRUE,TRUE
12/11/2007,-0.058249019,-0.050155445,-0.054593889,TRUE,TRUE
11/20/2008,-0.057629576,-0.122603187,-0.120235731,FALSE,FALSE
8/9/2007,-0.057165043,-0.040557787,-0.045964526,TRUE,TRUE
1/29/2009,-0.056784449,-0.132369347,-0.143089775,FALSE,FALSE
12/9/2008,-0.056772584,-0.124578337,-0.130232067,FALSE,FALSE
9/18/2008,-0.056768559,-0.059199314,-0.079704319,FALSE,FALSE
3/19/2009,-0.056532038,-0.132369347,-0.143126679,FALSE,FALSE
10/23/2008,-0.056318409,-0.122603187,-0.113630897,FALSE,FALSE
11/1/2011,-0.054860811,-0.053994472,-0.061005828,TRUE,FALSE
2/5/2008,-0.054482081,-0.05435713,-0.056866891,TRUE,FALSE
10/31/2011,-0.054462264,-0.053390801,-0.059804372,TRUE,FALSE
10/7/2011,-0.053507587,-0.050332842,-0.058721109,TRUE,FALSE
